pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.0015992099815073657,-0.8640354689885111,0.38757503683955624,15599,15659,0.6070975377054809,False
bdce,correlated-propagation,-0.0018614926956829203,-0.9991475959332148,0.31773093497661703,15657,15590,0.530138194021488,False
bdce,mem2reg,0.0010798572504533976,1.144619866714878,0.2523753625246914,15725,15771,0.45543867264824495,False
bdce,sroa,0.0016967504507969244,1.7906994405816514,0.07335120579094166,15681,15615,0.1847223934902428,False
bdce,instsimplify,0.002476652711943028,1.3262218647705073,0.18477596506093463,15601,15482,0.366052857745189,False
bdce,constmerge,-0.003351450503517206,-1.79284845180818,0.07300688730771906,15569,15494,0.18421067699550764,False
bdce,function-attrs,0.0007757484027228756,0.4194043702346925,0.6749235148818215,15650,15589,0.8263172321831909,False
bdce,deadargelim,-0.0023621944459426003,-1.2727598634785353,0.20311278334844815,15517,15588,0.3891338843407647,False
bdce,globaldce,-0.0011530627141884686,-0.6204692928524539,0.5349534051346696,15498,15651,0.7335005372924952,False
bdce,elim-avail-extern,-0.003409463100375598,-1.8271501973019606,0.06768667281607142,15739,15675,0.17358284921266254,False
bdce,mergefunc,-0.0028455179813021703,-1.5304957922967997,0.12590428070452658,15383,15554,0.2777696694303809,False
bdce,instcombine,0.012704677793866026,7.545021091182295,4.6455347500680364e-14,15631,15554,7.16217089813639e-13,True
bdce,simplifycfg,0.007644470476376675,4.210869394927077,2.550978419588848e-05,15647,15753,0.0001558444850407165,True
bdce,tailcallelim,-0.012527306353480872,-7.0929422743418735,1.3410500813608146e-12,15438,15608,1.8491380699327287e-11,True
bdce,reassociate,-0.005143114480018196,-2.761685904630748,0.005753734358641316,15559,15705,0.02131657875916688,True
bdce,memcpyopt,-0.002890948687422512,-1.5526171710778507,0.12052478158366045,15628,15521,0.26893164939123326,False
bdce,sccp,0.004415142575744657,2.386324140191461,0.01702365609550646,15608,15664,0.0543314077180141,False
bdce,dce,-0.0016412570947553773,-0.8800457383821274,0.37884126425731895,15753,15664,0.5972392877744207,False
bdce,adce,-0.0009670827331379472,-0.5225032952358521,0.601323650134695,15597,15712,0.7762549613457091,False
bdce,dse,0.0012602621520917956,0.7015534845747713,0.4829628818344783,15723,15604,0.6889918561981118,False
bdce,jump-threading,0.0008353530730663139,0.46145206270888195,0.6444775380559973,15576,15485,0.8041055240787689,False
bdce,loop-idiom,-0.0016453048837492545,-0.8866139500006996,0.3752936139954429,15497,15719,0.5937978959216786,False
bdce,loop-deletion,-0.0039797243669885685,-2.145750748365168,0.03190055909640979,15535,15686,0.0923983649567609,False
bdce,gvn,0.01553669942754693,9.701534580359192,3.19379637785281e-22,15683,15595,7.534281093778075e-21,True
bdce,gvn-hoist,-0.0020303159249864255,-1.0921387775669504,0.2747805903414121,15352,15701,0.481916278711546,False
bdce,gvn-sink,0.00104279610166369,0.5578539304660296,0.5769481409838528,15640,15516,0.7631561956085668,False
bdce,newgvn,0.006226465257158087,3.8437466911846183,0.00012141030741897926,15825,15496,0.0006686958703976411,True
bdce,early-cse,0.005596233956596142,3.134220499037548,0.0017247039974734046,15611,15711,0.00747117351117904,True
bdce,mergereturn,-0.0047944710971072335,-2.569707708522158,0.01018304949576218,15658,15452,0.03479652864345959,True
bdce,globalopt,0.0007257053777323663,0.39017787285495736,0.6964077012233116,15601,15431,0.8406697157800519,False
bdce,strip-dead-prototypes,-0.0019932382508311974,-1.070030344467871,0.28461389341434357,15671,15663,0.49178609154548236,False
bdce,indvars,0.004444278600116758,2.4170108316816856,0.015654204306346026,15704,15742,0.05032993765488591,False
bdce,mergeicmps,-0.0036104762730548856,-1.9431318489474425,0.05200924115093736,15543,15561,0.14017081097527234,False
bdce,separate-const-offset-from-gep,-0.003046108263691727,-1.637777806571995,0.10147818867362907,15493,15555,0.23611918410334604,False
bdce,libcalls-shrinkwrap,-0.0026277179855572763,-1.4084884098980965,0.15899645344795682,15619,15611,0.3313624862704624,False
bdce,flattencfg,0.0004078533847728383,0.21834747600346419,0.8271598155481873,15539,15635,0.9181286388000854,False
bdce,loop-reduce,-0.004072827428699077,-2.2138780463966734,0.026844355731346872,15720,15572,0.08006283095502997,False
bdce,loop-unroll,0.002088348613361213,1.1194912726948956,0.2629392628653339,15530,15554,0.4678192427899353,False
bdce,loop-rotate,-0.0007653293108708104,-0.400892679699509,0.6885018650247261,15783,15647,0.8357498203594361,False
bdce,partial-inliner,0.0006475319778584954,0.3458508740664955,0.729457116050686,15667,15613,0.86364680226752,False
