pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.00011969355368363077,-0.07949548611496171,0.9366388219036058,26665,26375,0.9726538389219095,False
bdce,correlated-propagation,-0.00038207144256574566,-0.2518560081293695,0.8011533415445534,26651,26309,0.9199499655700193,False
bdce,mem2reg,-0.005827782456157116,-4.689621119283859,2.7439211255229365e-06,26412,26616,2.540235254739437e-05,True
bdce,sroa,-0.007088306824199475,-5.9375586412754515,2.910898211069767e-09,26794,26317,4.237575239609371e-08,True
bdce,instsimplify,-0.00037892890618163033,-0.25887630310408916,0.7957316895120793,26322,26675,0.9164956753321478,False
bdce,constmerge,-0.0013256628859448227,-0.8851348553047461,0.3760878960637933,26527,26769,0.64119587309113,False
bdce,function-attrs,-0.001351756295051243,-0.9003058317519818,0.3679616064943523,26547,26508,0.6314363063242259,False
bdce,deadargelim,-0.000757418408971422,-0.5072879261372524,0.6119549182188166,26564,26491,0.8194368040122518,False
bdce,globaldce,-0.00435921123379962,-2.912009486852283,0.0035926162380677125,26617,26336,0.018153142178416983,True
bdce,elim-avail-extern,-0.002043890102058743,-1.3719904533360467,0.1700722138013859,26369,26710,0.39199693304663163,False
bdce,mergefunc,-0.0020399039713386857,-1.354367675979375,0.17562487680347133,26625,26397,0.40008552505083983,False
bdce,instcombine,0.01035954483216689,8.043635711293303,8.901380352812708e-16,26625,26142,2.308463937855269e-14,True
bdce,simplifycfg,0.00835467055398853,5.648868262308127,1.6233752886203207e-08,26539,26188,2.1845833780883765e-07,True
bdce,tailcallelim,-0.0016213799372725712,-1.0788127518527932,0.2806761217968961,26675,26307,0.5351108879250811,False
bdce,reassociate,-0.0006032484229034352,-0.4002347917932468,0.6889852041818177,26621,26408,0.8706247368751204,False
bdce,memcpyopt,-0.00020689941260704225,-0.13796087735166168,0.8902718630559511,26348,26474,0.9595128040823855,False
bdce,sccp,0.0003187535391505625,0.2132142571659088,0.8311606649823381,26584,26681,0.9369099493583293,False
bdce,dce,-7.46269726746851e-05,-0.049837550865360014,0.9602520317413022,26189,26448,0.9833114755127499,False
bdce,adce,0.0005024028494155508,0.33151225398827894,0.7402588974088036,26563,26440,0.8920089082777793,False
bdce,dse,0.005606813685112011,3.7876047889600413,0.00015227407341651195,26472,26655,0.0010822237232287854,True
bdce,jump-threading,0.002297628460805834,1.5547934200023132,0.12000126940968422,26445,26366,0.3081475219726711,False
bdce,loop-idiom,-0.004177961190061696,-2.7325925712078636,0.006285882039770189,26604,26445,0.02909635232593388,True
bdce,loop-deletion,-0.0016868499960544514,-1.1138295871405426,0.2653573732857172,26511,26296,0.5177520900875362,False
bdce,gvn,-0.0014900528869735696,-1.1851818637779885,0.23595084076111691,26785,26464,0.48174321815460575,False
bdce,gvn-hoist,0.00013207831549910676,0.08902516763165065,0.9290622468501325,26447,26300,0.9713328024110146,False
bdce,gvn-sink,-0.0009353992358749896,-0.6172655798827967,0.5370622245150862,26448,26454,0.7682876382395888,False
bdce,newgvn,-0.003553577762088589,-2.86890472398837,0.004120577300354694,26686,26612,0.020373965540642653,True
bdce,early-cse,-0.00013998622651661963,-0.09873839963738203,0.9213463534624698,26574,26429,0.9701512019787663,False
bdce,mergereturn,-0.00021815266449481951,-0.14382013225721604,0.8856430500009089,26505,26670,0.9562329941898585,False
bdce,globalopt,-0.0018376192064774033,-1.2238749175605343,0.2210048482505855,26584,26621,0.46711747239770735,False
bdce,strip-dead-prototypes,-0.00013602240950993938,-0.09055914322519093,0.9278432378801023,26746,26540,0.9713328024110146,False
bdce,indvars,-0.0012368904194212105,-0.8333346889136016,0.4046597281218091,26779,26594,0.6711764063214758,False
bdce,mergeicmps,0.0007373866183068567,0.48428613066847154,0.6281848277163783,26416,26359,0.8293903524401002,False
bdce,separate-const-offset-from-gep,-0.0027184012045903816,-1.7840879533411318,0.07441507781177824,26690,26503,0.2181208418494937,False
bdce,libcalls-shrinkwrap,0.00024677396930150586,0.1632015655329135,0.8703603532993586,26519,26718,0.9518493775634244,False
bdce,flattencfg,-0.0012873307872013906,-0.8629441987305795,0.38817204059232263,26580,26595,0.6529560614087352,False
bdce,loop-reduce,-0.0031517958585977612,-2.1225253997243367,0.033798241973330805,26789,26563,0.1198118241793945,False
bdce,loop-unroll,-0.016010798431766282,-9.82424041266365,9.262919723048247e-23,26545,26364,5.580552866993374e-21,True
bdce,loop-rotate,-0.002757941958350385,-1.8022863109521527,0.07150605515566137,26617,26348,0.21165616383045915,False
bdce,partial-inliner,-0.0004067597179188698,-0.2727551649613816,0.7850424894270047,26712,26267,0.9113450137104104,False
bdce,lower-expect,-0.0024926999405841532,-1.6649946225454757,0.09591972840544837,26486,26634,0.26267248701799706,False
bdce,alignment-from-assumptions,-0.0008005320813135319,-0.5423816574071093,0.5875578759469265,26663,26755,0.8028180886978941,False
bdce,rpo-function-attrs,-0.0019812645119822725,-1.3259005353877487,0.18487836522280313,26519,26434,0.4144949963555605,False
bdce,attributor,-0.0013302548376827872,-0.9213199521166653,0.35688764395815187,26270,26311,0.6189951232794308,False
bdce,inferattrs,-0.0013702896056933533,-0.8919478306738331,0.3724249557321178,26544,26340,0.6371411649833872,False
bdce,called-value-propagation,-0.0019374648872533817,-1.2802298394725957,0.2004699196841684,26396,26586,0.43868703541233567,False
bdce,licm,-0.0038023360783802085,-2.3386914603052404,0.019355102555380484,26615,26406,0.07663759515355911,False
bdce,loop-simplify,-0.0021441669766411042,-1.4081149355635734,0.15910290779735253,26494,26481,0.37330556437054074,False
bdce,div-rem-pairs,0.00015370230845124233,0.10247371192190925,0.9183810649788373,26434,26686,0.9698975864231734,False
bdce,float2int,-0.0032591402331940134,-2.1494938124682883,0.03159977998080394,26549,26657,0.11352728294020938,False
bdce,inline,-0.0014397220653646903,-0.95377507855946,0.3402018495186917,26731,26359,0.6014584391490729,False
bdce,sink,-0.004162473994288207,-2.789194843584596,0.005285810386284192,26569,26533,0.024908824876881945,True
bdce,loop-vectorize,-0.0118779845163976,-6.935542989363621,4.0946397434688e-12,26444,26604,7.860102566384227e-11,True
bdce,slp-vectorizer,-0.0026889596892835654,-1.8069895710255597,0.07076955375832401,26889,26410,0.21026826442913268,False
bdce,callsite-splitting,0.0019018132177902047,1.270363428806802,0.20396076378205774,26600,26695,0.4434390457105224,False
bdce,dfa-jump-threading,-0.0023497169074910285,-1.5622764141337355,0.11822887837448025,26514,26310,0.3049962369660505,False
bdce,consthoist,-0.0012439938512061044,-0.8167847779601529,0.4140550823326326,26709,26631,0.6788962360112464,False
bdce,mldst-motion,-0.0011363655668122363,-0.7615984510140161,0.44630308867495755,26592,26429,0.7049277784200253,False
bdce,slsr,-0.0013058115651417013,-0.8636585708995498,0.387779376052359,26720,26430,0.6525758644697198,False
bdce,loop-interchange,-0.0007468625626274594,-0.4851869965079189,0.6275457079891004,26367,26712,0.8288259671114053,False
bdce,loop-fusion,0.0027409486889918844,1.7988132472762406,0.07205390695132188,26484,26639,0.21295328273311434,False
bdce,loop-distribute,-0.0021934503340833023,-1.484548908837609,0.13766929276227488,26443,26670,0.34227050770783696,False
bdce,loop-load-elim,-0.004249544628329771,-2.8192922993916025,0.0048147534548387,26570,26395,0.023077814601160773,True
bdce,loop-sink,-0.00217974754010114,-1.4425100262847712,0.14916446570588507,26312,26601,0.36012826615551535,False
bdce,loop-unroll-and-jam,-0.002300437003335931,-1.5280372163784564,0.12650924832192473,26531,26626,0.3216481158315402,False
bdce,hotcoldsplit,-0.0005419259960796063,-0.3569360873214363,0.7211410772984359,26506,26379,0.8831402750981364,False
bdce,irce,-0.004028809908348363,-2.6671811410843893,0.007651360005904618,26482,26737,0.034439914693244235,True
bdce,nary-reassociate,-0.0006573663354760284,-0.43745850106909623,0.6617806477365804,26437,26581,0.852458694339542,False
bdce,scalarizer,-0.0016618619797310052,-1.0865474831024688,0.27724179178950087,26517,26490,0.5301166292225027,False
bdce,vector-combine,-0.001022130131106691,-0.6783144774956912,0.49757526979410793,26781,26466,0.7411581424548219,False
bdce,always-inline,-0.002669311772291516,-1.7681914702722559,0.0770346476588279,26562,26516,0.22329213932788314,False
bdce,globalsplit,0.001109347346521905,0.7371914458991411,0.4610091768201901,26616,26744,0.7163936255666128,False
bdce,lowerswitch,-0.001970863338875528,-1.2955389554135495,0.19513999577378133,26694,26609,0.43100294610836304,False
bdce,early-cse-memssa,-0.005795447997816505,-4.802837992219751,1.5685975400374334e-06,26494,26455,1.5204524670263836e-05,True
bdce,simple-loop-unswitch,-0.0006510447931186714,-0.4349699906133873,0.663585978706053,26533,26548,0.8542415163093042,False
bdce,loop-versioning,-0.0025125514764182677,-1.6279453991985768,0.10354240237010334,26625,26429,0.2771510920583217,False
bdce,loop-flatten,-0.0029454969566894973,-1.975529639891824,0.04821327031614884,26451,26405,0.15767696751635263,False
bdce,loop-reroll,-0.0005187759084558374,-0.3426493342284683,0.7318636427464646,26505,26462,0.8875757384434599,False
