pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,0.0019427535282112163,1.4297126484330487,0.15280424020881778,32953,33078,0.3691433711645468,False
bdce,correlated-propagation,0.0010241821514734295,0.7538457861571874,0.45094452026668774,32971,32953,0.7012118502017564,False
bdce,mem2reg,-0.0058002210575093804,-5.145873103697746,2.6704231539636337e-07,32919,32900,2.5948826478713625e-06,True
bdce,sroa,-0.006363716553999144,-5.653277718932613,1.5806526149788094e-08,32991,32962,1.7735918739991455e-07,True
bdce,instsimplify,0.001409177825231478,1.0532264113961816,0.2922410804219823,33268,32955,0.5531252155304412,False
bdce,constmerge,-0.0007349388598774098,-0.5433404737652187,0.5868972384367108,32960,33015,0.7891764339288315,False
bdce,function-attrs,0.0017837937829185413,1.3154035733049234,0.18837887115154467,33258,32837,0.4234510146619569,False
bdce,deadargelim,0.00027074369184720837,0.20034301045460082,0.8412129418161425,33281,32988,0.937065032756928,False
bdce,globaldce,0.0016406131088331777,1.2150417694523028,0.22435449507505045,33003,33191,0.4688218797832965,False
bdce,elim-avail-extern,0.0024714631926938124,1.8148389460794825,0.06955322176473723,32778,32918,0.21395947873582952,False
bdce,mergefunc,-0.000498486346133642,-0.3685749923678985,0.7124457185575346,33118,32997,0.8659913224667302,False
bdce,instcombine,0.009426694681384129,7.53639853339094,4.892658292422314e-14,32926,33160,1.303377542389509e-12,True
bdce,simplifycfg,0.00901213650966648,6.7079369023723485,1.98979226394307e-11,33058,33050,3.4026316618345253e-10,True
bdce,tailcallelim,0.0007142526265323523,0.5287915382663974,0.596951839916986,33168,33094,0.7954673202179557,False
bdce,reassociate,0.0021732076455181493,1.6000634620354113,0.10958928854280202,33269,32830,0.29481197012231597,False
bdce,memcpyopt,0.0025206481643849643,1.856937445520536,0.06332450834996536,33048,32938,0.19849006546886216,False
bdce,sccp,0.0030070325685244703,2.2213471585185895,0.02633083047373809,32896,33228,0.10059661671722767,False
bdce,dce,0.0036343347751260913,2.6716638098428764,0.00754948354282783,33029,32682,0.034658590332607014,True
bdce,adce,0.0034442863112147948,2.5318251641748573,0.011349347837140504,33484,32794,0.04930847363488036,True
bdce,dse,0.007952563317658645,5.9296021806993595,3.0517119668200202e-09,33064,33089,3.8180524159959105e-08,True
bdce,jump-threading,0.005472579021060464,4.095450679408199,4.218498682808008e-05,33138,32843,0.0003251897803518929,True
bdce,loop-idiom,0.00044545346976859745,0.32798367974513637,0.74292504500928,33047,32815,0.8814287834682767,False
bdce,loop-deletion,0.00019858099934882967,0.14674338820536742,0.8833350166479207,32873,33435,0.9517882420726813,False
bdce,gvn,-0.002780676297901463,-2.2266074878792317,0.02597688827580385,33182,32797,0.09943841103425989,False
bdce,gvn-hoist,0.0016374797350464099,1.218223536843362,0.22314339362168079,33142,32858,0.467538539016855,False
bdce,gvn-sink,0.0013815348599010013,1.0378916812136694,0.2993242710579407,33218,33104,0.5597790628943632,False
