pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.001447562031471894,-1.460824378877295,0.14406640063344064,56929,57046,0.35019492543796005,False
bdce,correlated-propagation,8.35786735996491e-05,0.08432793761059904,0.9327958489289068,56834,56906,0.967380440785381,False
bdce,mem2reg,-0.0036760180834672918,-4.682758874437787,2.833650662456974e-06,57003,56900,1.9674780131527502e-05,True
bdce,sroa,-0.004334859370022925,-5.50101988945504,3.7841344236289e-08,56298,57095,2.993670788470863e-07,True
bdce,instsimplify,-0.0004710413585979345,-0.4834265269682398,0.6287938516111122,56540,56692,0.8190494647744195,False
bdce,constmerge,0.0011760950035301088,1.1932035564247716,0.23279213852677072,57354,56972,0.4790404700319675,False
bdce,function-attrs,-0.0004103440587306939,-0.412892643567413,0.6796860456145248,57247,57046,0.8452367591700474,False
bdce,deadargelim,0.00021958664410504092,0.22292032799797612,0.8235979129873106,57212,57196,0.9175569647722951,False
bdce,globaldce,-0.0008593634977070996,-0.8680902998411303,0.38534672964438854,57054,56872,0.6368289309137378,False
bdce,elim-avail-extern,-0.0013509092176037796,-1.371641682398578,0.1701777134212263,56833,57051,0.3919027308430217,False
bdce,mergefunc,-0.0016900305333027443,-1.694084306228845,0.09025200243930519,56893,56830,0.25137044207135073,False
bdce,instcombine,0.007447391115135593,8.203392382088078,2.361014876073501e-16,56974,56874,4.917943752502038e-15,True
bdce,simplifycfg,0.005109781140320346,5.244005451456359,1.5740694607405992e-07,56914,57121,1.1922738894120282e-06,True
bdce,tailcallelim,-0.002015022845467007,-2.045955152928904,0.04076306729028462,57104,57184,0.13576535836963535,False
bdce,reassociate,-0.0007179316177816086,-0.7264838098371391,0.4675437192233137,57152,56966,0.7020326704288714,False
bdce,memcpyopt,-0.000595386773028117,-0.6009281669114107,0.5478890259420509,57125,56930,0.7620408284172111,False
bdce,sccp,-0.0009049476025252412,-0.9195231560640148,0.3578239379422508,57321,57107,0.614391710514106,False
bdce,dce,0.0005053502195990767,0.5103525176133386,0.609805502675907,56942,57216,0.8066244162086057,False
bdce,adce,-0.002431180431110458,-2.4649621026233266,0.013704234927045417,56991,57192,0.054153162436235976,False
bdce,dse,0.006432085381270269,6.5525433096535926,5.6805092980565643e-11,57190,56818,5.884887410367594e-10,True
bdce,jump-threading,0.005467668572561091,5.578114290654839,2.43688390278184e-08,57126,57088,1.9880341637982915e-07,True
bdce,loop-idiom,-0.002207273400017029,-2.223585094725681,0.026178325509832817,57305,56663,0.0944832467248897,False
bdce,loop-deletion,-0.0025549537786547227,-2.5928970478175484,0.009518335232880813,57231,57292,0.038907933999959565,True
bdce,gvn,-0.0074695423792650595,-8.560802272919567,1.1345410435040579e-17,56596,56945,2.81193843440626e-16,True
bdce,gvn-hoist,-0.0028237852389378926,-2.8544072164153076,0.004312501347024868,56531,57258,0.018996350140550483,True
bdce,gvn-sink,-0.0035857998607970454,-3.6176563557134167,0.00029741171832486056,56597,56866,0.0016334702509960084,True
bdce,newgvn,-0.0034595653110168767,-4.073622675742526,4.631881218689642e-05,56847,56805,0.0002851957052262364,True
bdce,early-cse,0.000245242887147723,0.26416587120631846,0.7916525841838812,57255,57093,0.9022443305192313,False
bdce,mergereturn,-0.002472064986581257,-2.4939562550059815,0.012634218947981493,56948,56871,0.050127255724716845,False
bdce,globalopt,-0.0005322501442484029,-0.5368275820883834,0.591387765220286,56895,57090,0.7920991162736588,False
bdce,strip-dead-prototypes,-0.00026717433224254794,-0.2715770581765979,0.7859477324911286,57173,57038,0.9006731985086567,False
bdce,indvars,-0.0012530315724071928,-1.272781907846791,0.20309803854713987,56982,57025,0.4428351441818484,False
bdce,mergeicmps,-0.0005323714974710403,-0.5361634989781227,0.5918466046415876,56980,56949,0.7920991162736588,False
bdce,separate-const-offset-from-gep,-0.00048118046621714594,-0.4887724966393094,0.6250037123262945,56927,57022,0.8177057695759908,False
bdce,libcalls-shrinkwrap,-0.0014062646015551294,-1.4160193622074386,0.15677256432125036,57341,56820,0.37162310041284286,False
bdce,flattencfg,0.0008101291833129687,0.8232650508860269,0.41035900633030425,56879,57087,0.6599449153139513,False
bdce,loop-reduce,-0.002610706826660314,-2.650089793347114,0.008048150522013721,56853,56970,0.03345706735053687,True
bdce,loop-unroll,-0.004271280043983583,-4.271102092848012,1.9466729587634515e-05,56803,56703,0.00012415588447097192,True
bdce,loop-rotate,-0.0008867296130942726,-0.8746732966050986,0.38175353996354644,56905,56877,0.6339893394814452,False
bdce,partial-inliner,-0.0006727465689113088,-0.680445722083337,0.4962236688093171,56415,56993,0.7238627463296857,False
bdce,lower-expect,-0.0012299024565752825,-1.250242538387355,0.21121352776998722,56737,57312,0.4531552365169653,False
bdce,alignment-from-assumptions,-0.0004017030006556177,-0.40635655005416565,0.6844814024415952,56777,57297,0.8459867582650875,False
bdce,rpo-function-attrs,6.12561601172068e-05,0.06190013133153492,0.9506424713902654,56870,57191,0.976238930714035,False
bdce,attributor,-0.0007079734307182672,-0.7635937679745628,0.44511095228437425,56513,56940,0.6846579336300306,False
bdce,inferattrs,-0.0017307416975898549,-1.7546924110588555,0.07931463290451217,56664,56840,0.23121285662536342,False
bdce,called-value-propagation,-0.0005378237800785501,-0.5432714279473564,0.586943994979366,57105,56990,0.7906682780664593,False
bdce,licm,-0.0030001080679003533,-2.931519624135299,0.0033737490624585493,57125,57103,0.015168313810089184,True
bdce,loop-simplify,-0.00042943210417417665,-0.4346693138863924,0.663803296230022,57199,57034,0.8343069096060782,False
