pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,3.3334035720866684e-05,0.061326294218465964,0.9510993777378445,225110,224037,0.971948111487839,False
bdce,correlated-propagation,0.00010792788007202292,0.19930538412616966,0.8420239578970365,224822,224641,0.9026459948329578,False
bdce,mem2reg,-0.0036204283666382286,-8.240918859444688,1.7134559050397638e-16,224437,224516,1.0181932206579233e-15,True
bdce,sroa,-0.004475535674326292,-10.279091552193204,8.810491077307656e-25,224549,224550,5.969183920196674e-24,True
bdce,instsimplify,0.00037539219433341264,0.7049887582360198,0.4808175988163428,224148,223660,0.6189617741501638,False
bdce,constmerge,-0.0006621726435030451,-1.2254529830696683,0.22040523522676442,225483,225058,0.3509991464611669,False
bdce,function-attrs,-0.001126858517118523,-2.079657674908216,0.0375575082093543,225099,224384,0.07869192196245664,False
bdce,deadargelim,-0.0005200110219369392,-0.9637887879978696,0.3351523471195557,225247,224583,0.4807533301539122,False
bdce,globaldce,-0.0014820711246669172,-2.7476910043552785,0.006001893077200424,225168,224530,0.015075954644205811,True
bdce,elim-avail-extern,-0.0013912894595336511,-2.576348849227095,0.00998530092749952,224839,224978,0.02395245145773975,True
bdce,mergefunc,-0.0014886339695445172,-2.7439580101764944,0.006070571621517914,224346,223821,0.015228929192738086,True
bdce,instcombine,0.010739234257242103,22.05796265028207,9.143949975548587e-108,224720,224438,1.9251455970025948e-106,True
bdce,simplifycfg,0.006797496507815637,12.74903063252103,3.2038349296690387e-37,224454,224204,2.7513635053912184e-36,True
bdce,tailcallelim,-0.001807995567324694,-3.3586014112933595,0.0007834446833177196,225241,224635,0.002294666701475086,True
bdce,reassociate,-0.0012669919651446815,-2.341670349315361,0.019198097004709105,225205,224443,0.043582462533588905,True
bdce,memcpyopt,-0.0005969444672793145,-1.0996958044264402,0.2714652730403596,224600,224385,0.4110819834594154,False
bdce,sccp,0.0006469557436226125,1.1950726369198252,0.23205928230625475,224776,224723,0.36525086395148454,False
bdce,dce,0.00021671642177084616,0.3997955816837416,0.6893072752867799,224922,224445,0.795323302894234,False
bdce,adce,-0.0003100022505584943,-0.5730671214675808,0.5665995345110885,224977,224444,0.6944612761018536,False
bdce,dse,0.0070296047961055375,13.293260031557857,2.5778653485542563e-40,225151,224216,2.3808775247496385e-39,True
bdce,jump-threading,0.00442125335102872,8.268700923244504,1.3578989449922674e-16,224643,224130,8.081356031291365e-16,True
bdce,loop-idiom,-0.0025455614214536793,-4.7015266340165764,2.583000024523995e-06,225402,224098,9.820415627219384e-06,True
bdce,loop-deletion,-0.001098005424423787,-2.0317949829966286,0.04217500143815919,225182,224939,0.0872463315540578,False
bdce,gvn,0.00013070608126669603,0.2705938977854106,0.7867035141053597,225285,224467,0.8660911613366541,False
bdce,gvn-hoist,-0.0009977689633579034,-1.8496236726840343,0.06436846560755802,224147,224535,0.12653961411606285,False
