source,target,ate_global,cate_crypto,cate_general,cate_loop_bench,cate_multimedia,cate_numeric,cate_pointer_data,cate_string_parse,cate_systems,cate_cluster_0,cate_cluster_1,cate_cluster_2,cate_cluster_3,cate_cluster_4,cate_cluster_5
bdce,instcombine,0.0107392342572421,0.0098857093164766,0.0122725585825595,0.012704677793866,0.0103595448321668,0.0149500279588829,0.0115825835216283,0.0094266946813841,0.0074473911151355,0.0140203112504416,0.0110163139397253,0.0103142463207066,0.008016855180608,0.0084175120903568,0.0038728470766768
bdce,simplifycfg,0.0067974965078156,0.0059109117652301,0.0082775070053532,0.0076444704763766,0.0083546705539885,0.0071084417513919,0.0025233706988585,0.0090121365096664,0.0051097811403203,0.0069807611434747,0.009698794626637,0.0057337735897228,0.0052031844124496,0.0050733821115316,0.0015395314101506
bdce,dse,0.0070296047961055,0.0066668981585557,0.0081485661824718,0.0012602621520917,0.005606813685112,0.0095217234205379,0.0083761426658918,0.0079525633176586,0.0064320853812702,0.0089117498909587,0.0055596268231044,0.0033982162626717,0.0091603793170999,0.0064092977334984,0.0040132323176037
loop-unroll,bdce,0.0089322979183237,0.0162225924790979,0.0214102388884181,-0.0020883486133612,0.0160107984317662,0.010341278645198,0.0039723012277342,0.00369310613796,0.0042712800439835,0.0144131890761752,0.0024752593739375,0.0148956935542725,0.0094417404989439,0.009403313096245,-0.0007377471609335
loop-vectorize,bdce,0.0184861257068464,0.008528871570124,0.0420760972653346,0.0531571099710485,0.0118779845163976,0.0412481882752421,0.0080305512416931,0.0031932283672409,0.0040675906186866,0.0354232635887641,0.0164209542644766,0.0003409407457498,0.0180698698456568,0.0041512425096711,0.0119148250644844
break-crit-edges,bdce,0.0086290791103025,0.0075142841351421,0.0111863644232684,0.0051700235459961,0.0088878721402583,0.0081617571496102,0.0073394620943952,0.0123616727904437,0.0067777838936501,0.0088042110515216,0.0116764242913155,0.0060570124448012,0.0091452850960959,0.0067044552962687,0.0014334660739722
sroa,ipsccp,0.0050653291406866,0.004094221331558,0.0016712126498621,-0.0008316567895102,0.0039537837339635,0.0118144710790554,0.0056819053603257,0.005261108328209,0.0040956908637858,0.0048783905365427,0.0026235742252341,0.0062225964696693,0.0102979672580885,0.0067852112152201,0.0013149903531194
ipsccp,instcombine,0.0097314430720576,0.009068062028564,0.013328802313925,0.00886315479322,0.0093257446709313,0.0108727925426567,0.0066722527846999,0.0094868078330948,0.0090640791565851,0.012204466210145,0.0098459875030099,0.0083438623277457,0.0098770194878777,0.0077794586759228,0.0035452577227006
ipsccp,simplifycfg,0.0056810541757703,0.0058136484860772,0.0078972389706967,0.0072603017086712,0.0057002840832818,-0.0014041629766306,0.0048169329151784,0.0083451896624147,0.0072426913057649,0.0061191135218621,0.0090243510922164,0.0009090249226935,0.002950052926177,0.0038531066095575,-0.002016423516744
ipsccp,dse,0.0079339664643444,0.0075840522761527,0.0091777144483239,0.0051311275206377,0.0070033612851767,0.0082411499228896,0.0103430947599686,0.0086699890274721,0.0080364512497712,0.0084608518026622,0.0073167728747435,0.010191892254096,0.0143908052749075,0.0068719015863987,0.0045831494807592
loop-unroll,ipsccp,0.0099576192524641,0.0178978307905654,0.0246803759141595,0.0025612503517002,0.0171507917276945,0.011082083884136,0.0032991824073401,0.0062338379485747,0.0029603191965176,0.0145200663063793,0.0037905775579125,0.0098769950274379,0.0150381480684314,0.0112026817974238,-0.0020672794639939
loop-vectorize,ipsccp,0.0181270821311053,0.014286366487652,0.040894089351895,0.054392619723613,0.0107800189128217,0.0429517500527515,0.0056736265508933,0.0032170477142035,0.0013170577874173,0.0340037150184399,0.0164356328844854,0.0112441643991531,0.0091440719029665,0.0038566037275946,0.0082111664367079
break-crit-edges,ipsccp,0.0081240883269283,0.0091734935353125,0.0110993383578422,0.0059723789601412,0.0083957652040979,0.0070070239138631,0.0035946886340975,0.0096922551547353,0.00760944439791,0.0079596374281474,0.0114968109434105,0.0053376912969082,0.0060250900442773,0.0075422366945775,-0.0016389772000073
correlated-propagation,instcombine,0.0105138243106274,0.0116768692594619,0.0132714269884415,0.0150334537058562,0.0096877216556279,0.0160056365578701,0.0062990851398358,0.0087719737378469,0.0068766851989536,0.0134124680836438,0.0103315552928818,0.0112833323872075,0.0087150586544494,0.0081622169572574,0.0054700211845384
correlated-propagation,simplifycfg,0.0075989356665271,0.0095164739677442,0.0090082552646374,0.0089454222073515,0.009938698130957,0.0044269759325858,0.004983228735798,0.0098056998315453,0.0065540958958348,0.0076029892047569,0.0101361946915345,0.0046785721965305,0.0079248875416075,0.0066349679503034,0.0005797284331374
correlated-propagation,dse,0.0072425873986928,0.0097492812319582,0.0078484524738872,0.0036473195848183,0.0043929185457072,0.0114066270239504,0.0079211518868408,0.0076968290853563,0.0058136375936755,0.0087687832497772,0.0053245419615328,0.0083431227357963,0.0114304585081247,0.006224779414771,0.0058007319658546
loop-unroll,correlated-propagation,0.0100522666284512,0.0203834342866107,0.0219082614679411,-0.0003421677961767,0.0186779247737147,0.0092652022271955,0.0054207195296934,0.0077698618087908,0.0031146398648194,0.0150540113098952,0.0036031567213345,0.0128584255368822,0.0068838243897931,0.0109184964528923,0.0049139056632176
licm,correlated-propagation,0.005409520544139,0.0069658497741826,0.0066185582040007,-0.0004795474693854,0.0035840176419144,0.0054694709619961,0.0033721318684753,0.0074860991686236,0.0056967084628064,0.0051095749232056,0.0057082040131343,0.0056194738434492,0.0121922726594219,0.0041524141945515,0.0061954532382765
loop-vectorize,correlated-propagation,0.0173920720102251,0.0089935330891122,0.0371356747494568,0.0507212951102325,0.0097155310454415,0.0412912497764662,0.0072524107158286,0.0051572522070669,0.00254215952688,0.0343136571426236,0.0168829891795834,0.0023136637277657,0.0134224689084667,0.0021693294706137,0.0070428837738486
break-crit-edges,correlated-propagation,0.0087623616310835,0.0093570006363605,0.0092590345630029,0.0039687066117717,0.008645792115376,0.0079802783906162,0.0019591268545281,0.0124728027518855,0.0089779345608933,0.0094378411992199,0.0105590334640141,0.0036967993937447,0.0058363653901656,0.0084906066465302,0.0070242439006902
mem2reg,instcombine,0.0059459181855142,0.0111163850936806,0.0044748474468722,0.0045759871708047,0.0085064626709009,0.004462354260283,0.0054945412851321,0.0075890049832798,0.003625475640375,0.004363094784315,0.0072885129784034,0.0209360004945188,0.0052795063668685,0.0058811647655351,-0.0005041537270933
mem2reg,simplifycfg,0.0126136485068029,0.010505768404133,0.0151751250398694,0.008798420585354,0.0180294769243467,0.007497542259522,0.0116988638192934,0.0164430096905824,0.012258272012479,0.0140383118589244,0.0157995482280369,0.0076677889568391,0.010124628467543,0.0116921190757119,0.0001287895392548
mem2reg,jump-threading,0.0104737002299341,0.0109446842118464,0.0109170590999335,0.0055471333034587,0.0100894984950383,0.0063099564530845,0.0122318656658329,0.0143534288948463,0.0118265388640733,0.0098525371642907,0.0137947348068491,0.0125638992224327,0.0049305667967588,0.0109388946432468,-0.0016087390317457
mem2reg,gvn,0.0154037083297667,0.0147420365732637,0.0223141604212652,0.0158098146343456,0.0204967942646259,0.0213332913465461,0.0084335207761442,0.0186503925696743,0.0066119493051663,0.0204369560551587,0.0156346666934295,0.0224606542450445,0.0056020460840245,0.012679032137503,0.0007832385856345
mem2reg,early-cse,0.0081515535649667,0.0067925144927756,0.0056285911642414,0.0029325369337767,0.0110051624849012,0.009140766479926,0.010570710202795,0.0099944954024877,0.0076585354071351,0.0061766508865978,0.0066659037562661,0.0123765817958946,0.0102048780693644,0.0114894191746369,0.0051655481668153
loop-unroll,mem2reg,0.0135176089087645,0.0317488667785664,0.0405349726903657,0.0044367116263814,0.0257570882338922,0.0126752706850596,0.0037719344910261,0.0036478876948981,0.0017145354623548,0.0210455073786092,0.0033637854465912,0.0252265176148736,0.0143257154117607,0.0136716048345123,0.0030373574591904
mem2reg,licm,0.0122307287213802,0.0080386316569998,0.0166920679259443,0.0093867523416467,0.0148719279502159,0.0219443484957536,0.0101423440831926,0.0119483030829652,0.0060324680932954,0.0185601517958444,0.0116165843380435,0.0094866232491089,0.0043645159791044,0.0091746760598871,0.0008234768101544
loop-vectorize,mem2reg,0.0343336365932548,0.0123283268132847,0.0776457147040809,0.1123524735511021,0.0215410648307171,0.0919625160990944,0.0033906675103336,0.0024740553232286,0.0012532045098057,0.071830247365871,0.0310372411888558,-0.0002726227773461,0.0149733261921532,0.0022038504292449,0.024041265298158
mem2reg,iroutliner,0.0094724417094037,0.0114811796196254,0.0066145931678471,0.0155873673541733,0.0146969799942291,0.0112718263813397,0.0121006370629205,0.0080294491038375,0.0051261057324842,0.0063726532491573,0.0103294552408327,0.0310082714380205,0.0029091393481339,0.0112095301029328,0.0042452626889323
break-crit-edges,mem2reg,0.005444871394589,0.004941442094412,0.0098451199100678,0.0061705215782132,0.0029165940966265,0.004964142862207,0.0022277382752385,0.0069241683606594,0.0051170217912038,0.0078071947276602,0.0070555056992108,0.0026083067128467,0.0019438179674759,0.0028876640237086,0.0024889464040424
sroa,instcombine,0.0066249085314139,0.0124410129242514,0.0032994209908867,0.0032592385635141,0.0086695938351511,0.0061525805576604,0.0091156073081765,0.0070108382495533,0.0052374968166766,0.0048199082384471,0.0064249316153884,0.0173986640903442,0.0083637188940505,0.0074957240773146,0.0019363735763355
sroa,simplifycfg,0.0128717437722322,0.0107956921506075,0.0140538248000646,0.0065611860783145,0.0163818731716539,0.0094853445917871,0.0142241584306005,0.0160707974494716,0.01300440050542,0.0132721430035694,0.0140000439831903,0.0073990738474499,0.0166335796196243,0.0127788763103846,0.0053019038002433
sroa,jump-threading,0.0107914670261378,0.0104996765891007,0.0113177047676906,0.0028740285002203,0.0108563094491842,0.0072658204365202,0.013568756224361,0.0135871350103703,0.0126484410199249,0.0100510265998413,0.0122348707915633,0.0134274185085643,0.0128575317786848,0.0114779275943145,-0.0011923370714582
sroa,gvn,0.0158836401200984,0.0135051420419928,0.0228579476788372,0.0144069253644092,0.0217017669105684,0.0230909858788355,0.0089115834859237,0.0173943466611412,0.0078593422153225,0.0220265903298056,0.0133352496841333,0.015362636486458,0.0135439049249729,0.013758540055578,-0.0005995077374558
sroa,early-cse,0.0083501957722733,0.0063950706014887,0.0086776186019429,0.0035653006496543,0.0126137629858013,0.0089822386135466,0.0104460833980508,0.0084570268375928,0.0072486460589961,0.0071396728694068,0.0058522058949073,0.0132612950186272,0.0117874109077722,0.0112621710195301,0.00384924918704
loop-unroll,sroa,0.0133464802748544,0.0343332325080502,0.036780546446657,0.0050349373352118,0.0293433743374533,0.0101945026593125,0.0046899230629259,0.0042245622452705,0.0008233671501663,0.0204829274222478,0.0043942366450575,0.0252943128007663,0.0090347871860697,0.0151634438345645,-0.0015365772656464
sroa,licm,0.0132081204901556,0.0100329483534408,0.019603304972076,0.0092144058858061,0.0140044658088946,0.0210847818387282,0.012057473612644,0.0119921704126063,0.0083352084493648,0.0192391310827512,0.0115466587159618,0.0097691062185196,0.0109116658249876,0.010312223703488,0.003518520845387
loop-vectorize,sroa,0.0341459148885226,0.0155762260306267,0.0816270823739299,0.1153761172495584,0.0198126913713752,0.0892096615013865,0.005035153866118,-0.002005374668504,0.0012467604038465,0.0725791731328904,0.031552954400345,0.0045244886516668,0.0125266031154762,0.0019319424588481,0.0165850408451664
sroa,iroutliner,0.0098419467490108,0.0126281067491422,0.0067362768576816,0.0136972490808284,0.013031323665207,0.0123839897912956,0.0123590178525849,0.0086426611104539,0.0056629762245111,0.0057860948540392,0.0094206936764627,0.0342123651517941,0.0074067472790818,0.0119357448126684,0.0093314640212075
break-crit-edges,sroa,0.0052271980978408,0.0044163909047842,0.0090848921015298,0.0073930409873597,0.0014318667731245,0.0046546538227655,0.0008977821918474,0.004611828193977,0.0070043063529424,0.0082316006406451,0.0087551949616516,-0.0021476032064514,-0.0026310869410288,0.0019887921688996,0.0011346835745048
instsimplify,instcombine,0.0093388920097453,0.0132420421839307,0.0102542246292112,0.0092623086453393,0.0098786299332356,0.0111859928562746,0.0074804388402936,0.0065016007576045,0.0082028069483276,0.0127553086357544,0.0074993901949298,0.0109873079728289,0.0065370506318822,0.0081520679698269,0.0057614517984649
instsimplify,dse,0.0060409232344389,0.0068439085825893,0.0025314947093879,0.0037558801437209,0.0040475429661718,0.0095084008131751,0.0090040979662076,0.0041415691698342,0.0068007231235128,0.0076267128029085,0.0047958738133103,0.0015972468985428,0.0071512552214201,0.0060775727033454,0.0006570138668862
loop-unroll,instsimplify,0.0106240291021835,0.021807424265432,0.0231665383321262,0.0001142111459119,0.0190872146088694,0.0126166941707318,0.0058178086765924,0.0065937242307174,0.0027800510173565,0.0164122952564506,0.0036934336165855,0.0184383304031415,0.0114344705004936,0.010265384408359,0.003739455374948
licm,instsimplify,0.0064612964429296,0.0086191172735673,0.0082020538231533,8.675277699732309e-05,0.0060912044674918,0.0080047386075337,0.0096066721094015,0.0059493475607099,0.0056009011275334,0.008530426278044,0.0056046065138716,0.0064153371218564,0.0131558809921696,0.004317785528994,0.0018612123328772
loop-vectorize,instsimplify,0.020421476623761,0.0124975643835942,0.0448798192765255,0.0556250602913992,0.0115406795792066,0.0474273184093453,0.0039285146115008,0.0072999900802676,0.0038692664519698,0.0382973649510391,0.0183243601416436,0.0073253875849116,0.0195066772213712,0.0041714841940186,0.0150713621062688
early-cse-memssa,instsimplify,0.0058698457023286,0.0047779341758917,0.0080908010736528,-0.0046887399947632,0.0075731479797997,0.0087739374234225,0.0038024723061651,0.0072240714608123,0.0049876248492967,0.0075395865032268,0.0037559658897238,0.0038418628624727,0.0088017712215707,0.0056585355045021,0.0066829849833332
loop-versioning,instsimplify,0.0050949718259473,0.0031924719432398,0.0107078257370342,0.0035595046098155,0.0052827695357593,0.0132365871024097,0.0020161499905008,0.0038527707093765,0.0003695226539815,0.0108831992796399,0.003298820755311,0.0044324572654554,0.00080485607365,0.0026359160569405,-0.0011268391781223
break-crit-edges,instsimplify,0.0097240977661677,0.0082913486345199,0.0109786722182775,0.0056916653346137,0.0091201332033881,0.0071024125792437,0.011882465335816,0.0138482342352865,0.0099541959369227,0.0108418495036464,0.0130827377385036,0.0010757389945816,0.0062077352373858,0.0081734535250269,0.002839974287997
