level,n_causal,n_correlation,n_both,n_only_causal,n_only_correlation,false_correlation_rate
global,608,5124,376,232,4748,0.9266198282591726
class_crypto,684,1662,245,439,1417,0.8525872442839952
class_general,890,1617,344,546,1273,0.7872603586889301
class_loop_bench,956,373,70,886,303,0.8123324396782842
class_multimedia,612,1421,204,408,1217,0.856439127375088
class_numeric,956,1739,362,594,1377,0.7918343875790684
class_pointer_data,571,556,118,453,438,0.7877697841726619
class_string_parse,525,1980,293,232,1687,0.852020202020202
class_systems,487,2785,336,151,2449,0.8793536804308797
cluster_0,867,2254,420,447,1834,0.8136645962732919
cluster_1,545,1988,299,246,1689,0.8495975855130785
cluster_2,397,1554,198,199,1356,0.8725868725868726
cluster_3,468,810,154,314,656,0.8098765432098766
cluster_4,466,2571,269,197,2302,0.8953714507973551
cluster_5,113,1669,31,82,1638,0.981426003594967
