pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,newgvn,0.005333333333333333,0.0011926457229160744,1125,15.968493127865989,6.440549852858405e-05,0.0001806259470012169,True,True
bdce,scalarizer,0.004541326067211626,0.0011953523363704755,1101,10.205349817748854,0.001400338270225958,0.001997390156196022,True,True
bdce,simple-loop-unswitch,0.004528985507246377,0.0011953623285323792,1104,10.157667213140918,0.0014370234027694748,0.001997390156196022,True,True
bdce,loop-instsimplify,0.004911591355599214,0.0011950759527875356,1018,11.644359422275649,0.000643975061975756,0.0015107087931884088,True,True
bdce,break-crit-edges,0.004456327985739751,0.0011954222850120797,1122,9.877327345649947,0.0016732781199256443,0.0020839118533764207,True,True
ipsccp,gvn-hoist,0.004528985507246377,0.0011953623285323792,1104,10.157667213140918,0.0014370234027694748,0.001997390156196022,True,True
ipsccp,separate-const-offset-from-gep,0.004363001745200698,0.001195502236341596,1146,9.518286983312558,0.00203434390928904,0.002204250858051116,True,True
ipsccp,iroutliner,0.0052585451358457495,0.0011926988992615299,1141,15.614736548284295,7.764709035638212e-05,0.0001997404462271071,True,True
correlated-propagation,simplifycfg,0.010036496350364963,0.0011786177015561655,1096,71.19862066921789,3.230138454184253e-17,2.4096832868214526e-15,True,True
correlated-propagation,gvn,0.004448398576512456,0.0011954289472144277,1124,9.846775086066591,0.0017012974515964213,0.002094336466816717,True,True
correlated-propagation,partial-inliner,0.004440497335701598,0.0011954356094910341,1126,9.816339818564588,0.0017296822377269162,0.0021073497140615643,True,True
correlated-propagation,load-store-vectorizer,0.0073059360730593605,0.001186973385047479,1095,33.94474204644483,5.669970494376832e-09,1.0761948207037357e-07,True,True
mem2reg,sccp,0.004288164665523156,0.0011955688706193827,1166,9.23127590888403,0.0023791580086204604,0.002444699551557663,True,True
mem2reg,adce,0.004524886877828055,0.0011953656592901367,1105,10.141834855954404,0.0014494181851827449,0.001997390156196022,True,True
