pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,ipsccp,0.01749271137026239,0.00782513528303034,1029,12.3014764418984,0.00045260012369490767,0.010473054415064463,True,True
bdce,mem2reg,0.018830525272547076,0.007821619649805447,1009,15.642729494492045,7.650614570653762e-05,0.0028081147372384816,True,True
bdce,sroa,0.018072289156626505,0.00782435032662255,996,13.380816697526408,0.0002542110111822923,0.006887731797524581,True,True
bdce,rpo-function-attrs,0.016227180527383367,0.007830191833620583,986,8.893802625461396,0.0028614018556098685,0.041079586177551315,True,True
bdce,loop-reroll,0.017745302713987474,0.007826486044539544,958,12.058287449312388,0.0005156263825879714,0.01150279094809274,True,True
ipsccp,instcombine,0.022526934378060724,0.00780974500528959,1021,28.287380185579728,1.0457553682728036e-07,1.657856010425672e-05,True,True
ipsccp,simplifycfg,0.016299137104506232,0.007828508539914753,1043,9.572023755907853,0.0019756487586085184,0.03105603143542631,True,True
ipsccp,memcpyopt,0.017857142857142856,0.00782463574709464,1008,12.978182485546828,0.00031514173566046685,0.00804151052193883,True,True
ipsccp,gvn-sink,0.01684836471754212,0.007827699416342412,1009,10.502710061681116,0.0011919958949472423,0.021349907243393997,True,True
ipsccp,loop-load-elim,0.01606425702811245,0.007830429852905862,996,8.637997354057736,0.003292231298218579,0.04509267537321072,True,True
correlated-propagation,newgvn,0.01634320735444331,0.007830025228730357,979,9.076934821531067,0.002588535554281917,0.03811695338923827,True,True
correlated-propagation,mergeicmps,0.018386108273748723,0.007823946016596249,979,13.97207916525202,0.00018554568295206509,0.005486114617761258,True,True
correlated-propagation,loop-reduce,0.016260162601626018,0.007830144231499917,984,8.945780052304173,0.0027811130794134936,0.04023703602856299,True,True
correlated-propagation,slp-vectorizer,0.017543859649122806,0.007826747720364742,969,11.705340845230733,0.0006232096504224463,0.013191861094595587,True,True
mem2reg,bdce,0.015984015984015984,0.007830548867975,1001,8.512602586698472,0.0035269527122258905,0.04795497200510057,True,True
mem2reg,correlated-propagation,0.01752577319587629,0.007826771509943799,970,11.673749252468905,0.0006338814021968807,0.01330436712047594,True,True
mem2reg,globaldce,0.020618556701030927,0.00781765294119435,970,20.334689993547773,6.50111743662724e-06,0.0004175847070716342,True,True
mem2reg,instcombine,0.01678183613030602,0.007827794598669731,1013,10.389040640301102,0.0012676547094932387,0.022435380618608367,True,True
mem2reg,simplifycfg,0.023952095808383235,0.007806254122753954,1002,33.41422665723918,7.447716096656186e-09,1.8497644212061744e-06,True,True
mem2reg,reassociate,0.01917255297679112,0.007821191690629769,991,16.335272443586124,5.3066954874704754e-05,0.0020593847956845057,True,True
mem2reg,memcpyopt,0.020263424518743668,0.007818056914967992,987,19.556661829957218,9.765958968925265e-06,0.0005729618919485209,True,True
mem2reg,dce,0.01968503937007874,0.007818746143066031,1016,18.299856748506304,1.8872135952280366e-05,0.0009865828083287541,True,True
mem2reg,adce,0.018,0.007824445464466256,1000,13.245279461179708,0.00027326716613693385,0.0071947478971247135,True,True
mem2reg,jump-threading,0.029940119760479042,0.0077880152112521925,1002,62.89846103720954,2.1764221682345778e-15,4.05413039387896e-12,True,True
mem2reg,loop-idiom,0.021739130434782608,0.00781257124791386,1012,25.107142186517503,5.423162361524041e-07,5.7725689651022325e-05,True,True
mem2reg,gvn,0.021169354838709676,0.007815136012547989,992,22.631021836901397,1.9628951450450807e-06,0.0001661992241560329,True,True
mem2reg,gvn-sink,0.022417153996101363,0.007809863714990135,1026,28.002532379685995,1.2115679633952596e-07,1.770077038285898e-05,True,True
mem2reg,newgvn,0.027245206861755803,0.007796873955097302,991,47.95073285996457,4.3706470193267976e-12,2.9605173582730883e-09,True,True
mem2reg,early-cse,0.02531645569620253,0.007804972934858261,948,37.19356230721329,1.0696632027478109e-09,3.795266916035209e-07,True,True
mem2reg,strip-dead-prototypes,0.018367346938775512,0.007823969798382317,980,13.936602556717244,0.00018908042298237653,0.0055466072111877455,True,True
mem2reg,indvars,0.016683022571148183,0.007827937376500988,1019,10.220674120156485,0.0013887508224667319,0.023897418887297045,True,True
mem2reg,lower-expect,0.01811248808388942,0.007822570837893712,1049,14.20625195110699,0.00016382530242085183,0.0049419527463067485,True,True
mem2reg,rpo-function-attrs,0.017258883248730966,0.007827128370984607,985,11.209493686071744,0.0008137992037835989,0.016041317109501574,True,True
mem2reg,attributor,0.02133850630455868,0.007813022514881224,1031,24.12505477316525,9.027803550871313e-07,8.735865487992488e-05,True,True
mem2reg,licm,0.017329255861365953,0.007827033204858535,981,11.331553368105686,0.0007620113257834183,0.015303898621057277,True,True
mem2reg,sink,0.018311291963377416,0.007824041144607977,983,13.830701982796503,0.00020004062509764887,0.005777142238769697,True,True
mem2reg,dfa-jump-threading,0.020750988142292492,0.007815611158905268,1012,21.660466407931395,3.254294662466125e-06,0.00024247749530035097,True,True
mem2reg,mldst-motion,0.01641025641025641,0.007829930029119072,975,9.183118490335067,0.0024425749387613506,0.03654543347130688,True,True
mem2reg,loop-sink,0.022727272727272728,0.007809531336922455,1012,28.808176673370383,7.991302318542279e-08,1.323182079454634e-05,True,True
mem2reg,scalarizer,0.01639344262295082,0.007829953828804867,976,9.156466725382977,0.002478406451827371,0.03685949395721705,True,True
mem2reg,always-inline,0.02033271719038817,0.007814234068236203,1082,21.685396295658705,3.2122745313302833e-06,0.00024176421750446406,True,True
mem2reg,globalsplit,0.01761252446183953,0.007824968763965016,1022,12.52319945497595,0.00040193003792860497,0.00959865613014755,True,True
mem2reg,loop-reroll,0.016585365853658537,0.007828080159540833,1025,10.054832720146928,0.0015194881388949182,0.02549933811465323,True,True
mem2reg,partially-inline-libcalls,0.0184645286686103,0.007822095214932814,1029,14.90746945386224,0.00011291501757601813,0.0037226982122075714,True,True
mem2reg,iroutliner,0.030737704918032786,0.00778739973190919,976,65.76629618837882,5.076904557357826e-16,1.260933861895772e-12,True,True
mem2reg,unreachableblockelim,0.022840119165839126,0.007809412637325892,1007,29.102076195948445,6.866336137174611e-08,1.2181207275735242e-05,True,True
sroa,bdce,0.01949317738791423,0.007818983836105343,1026,17.885939907189805,2.345475391089254e-05,0.0011497458644082915,True,True
sroa,correlated-propagation,0.016314779270633396,0.007828484739775087,1042,9.598280177181207,0.0019475969631201173,0.03081007425097239,True,True
sroa,mem2reg,0.016314779270633396,0.007828484739775087,1042,9.598280177181207,0.0019475969631201173,0.03081007425097239,True,True
sroa,constmerge,0.019821605550049554,0.007818579766536965,1009,18.59540818800506,1.61609348136196e-05,0.0008601080378305689,True,True
sroa,deadargelim,0.01722488038277512,0.007825515924651288,1045,11.80861086813687,0.0005895740522326766,0.01262332259536113,True,True
sroa,elim-avail-extern,0.017258883248730966,0.007827128370984607,985,11.209493686071744,0.0008137992037835989,0.016041317109501574,True,True
sroa,instcombine,0.021400778210116732,0.00781295125873637,1028,24.277340879174982,8.341458199068002e-07,8.286960672167424e-05,True,True
sroa,simplifycfg,0.034013605442176874,0.007773454125372409,1029,90.62639650325681,1.7352982213935578e-21,1.29297070476034e-17,True,True
sroa,sccp,0.017364657814096015,0.007826985622663303,979,11.393053881726855,0.0007371923845607032,0.014966813235318253,True,True
sroa,adce,0.01646090534979424,0.007829858630929765,972,9.26350022323538,0.00233765827743275,0.03533040938164588,True,True
sroa,dse,0.017341040462427744,0.007825349389385616,1038,12.021891556624327,0.0005257931404370357,0.011590783104722937,True,True
sroa,jump-threading,0.0320962888665998,0.007781817297520761,997,75.40041618727443,3.843089911084773e-18,1.431743146374632e-14,True,True
sroa,loop-idiom,0.01725790987535954,0.007825468342423524,1043,11.869180508733585,0.0005707051911795296,0.012254537116653242,True,True
sroa,loop-deletion,0.01848249027237354,0.007822071435302988,1028,14.94340743865113,0.00011078448017130837,0.0036850676864125832,True,True
sroa,gvn-hoist,0.01951219512195122,0.007818960066151077,1025,17.926899061321198,2.2955368799988046e-05,0.0011402696861914062,True,True
sroa,gvn-sink,0.027411167512690356,0.0077967317559516575,985,48.47888524650905,3.3386429039524847e-12,2.4876228277349964e-09,True,True
sroa,newgvn,0.027426160337552744,0.007798894295500895,948,46.72416539824429,8.171511427199732e-12,4.348995117433228e-09,True,True
sroa,early-cse,0.022325581395348838,0.007807986767773204,1075,28.976353070144675,7.326724299502654e-08,1.269567971060332e-05,True,True
sroa,mergereturn,0.016634050880626222,0.00782800876736982,1022,10.137440557843334,0.0014528775321085896,0.024659203853624377,True,True
sroa,globalopt,0.022351797862001945,0.007809934942542713,1029,27.83313553539209,1.3224174049274597e-07,1.8591192611536796e-05,True,True
sroa,indvars,0.022072936660268713,0.007810243610284349,1042,27.111921186216385,1.9201022459593832e-07,2.4666692818350626e-05,True,True
sroa,mergeicmps,0.016683022571148183,0.007827937376500988,1019,10.220674120156485,0.0013887508224667319,0.023897418887297045,True,True
sroa,separate-const-offset-from-gep,0.01627670396744659,0.007830120430656624,983,8.97187216089195,0.002741675232127578,0.03974362286883771,True,True
sroa,libcalls-shrinkwrap,0.01603206412825651,0.007830477458499381,998,8.587641228294437,0.003384521237639935,0.04627168392964249,True,True
sroa,loop-reduce,0.01940755873340143,0.007820906410529195,979,16.814010672106562,4.122778962960477e-05,0.001755361488743915,True,True
sroa,lower-expect,0.022517911975435005,0.007811740103102811,977,27.03143830902299,2.0017317166430418e-07,2.527949664526662e-05,True,True
sroa,rpo-function-attrs,0.019436345966958212,0.007819055146835289,1029,17.763631869193524,2.501188699492557e-05,0.0011946382692255796,True,True
sroa,attributor,0.018274111675126905,0.007824088709481312,985,13.760539958154222,0.0002076524075931321,0.005928038655082097,True,True
sroa,called-value-propagation,0.017324350336862367,0.007825373179703889,1039,11.991201418658491,0.0005345231851795639,0.01171391839050862,True,True
sroa,licm,0.016145307769929364,0.007830310841454444,991,8.765055604216094,0.0030705671505245552,0.043086244517059245,True,True
sroa,div-rem-pairs,0.02142857142857143,0.007814850952463457,980,23.235450120199648,1.4333072052514293e-06,0.00012713776174200475,True,True
sroa,float2int,0.01652089407191448,0.007828175351127866,1029,9.945652833302013,0.001612296826842528,0.026519257520537916,True,True
sroa,inline,0.018789144050104383,0.007823446632483412,958,14.73799558335025,0.00012353154380692722,0.003950358510323668,True,True
sroa,sink,0.020429009193054137,0.007817866804462142,979,19.918848402290482,8.07997897110346e-06,0.000497553085237123,True,True
sroa,loop-vectorize,0.018410852713178296,0.007822166554689803,1032,14.800164956569981,0.00011952504617500171,0.003872091821956251,True,True
sroa,slp-vectorizer,0.02705314009661836,0.007794876783792494,1035,49.09907786583757,2.433545880707221e-12,2.0147055952388334e-09,True,True
sroa,callsite-splitting,0.01691542288557214,0.007827604236329812,1005,10.617535413496551,0.0011202025154495672,0.02045742387895766,True,True
sroa,slsr,0.017964071856287425,0.007824493034255716,1002,13.178011005586288,0.00028325323787428154,0.007379440123780671,True,True
sroa,loop-interchange,0.016494845360824743,0.007829811032860283,970,9.317445606856507,0.0022698221047820952,0.03451519286271713,True,True
sroa,loop-fusion,0.02268041237113402,0.0078115738953613845,970,27.435341991135076,1.6243538618781098e-07,2.1612608258667493e-05,True,True
sroa,loop-distribute,0.019328585961342827,0.007821001501583654,983,16.652876286540053,4.4882199868332444e-05,0.0018374575341700277,True,True
sroa,irce,0.01768172888015717,0.007824873613395308,1018,12.651607995489975,0.0003752427918793279,0.009137039353898275,True,True
sroa,nary-reassociate,0.018633540372670808,0.007823636866533132,966,14.441443245000027,0.0001445852487905957,0.004433352628554438,True,True
sroa,scalarizer,0.0199203187250996,0.007818460930494125,1004,18.809509749651458,1.4444511180505635e-05,0.0007972300207847962,True,True
sroa,always-inline,0.01633045148895293,0.007828460939780135,1041,9.62460219860815,0.0019198802963426625,0.03050112598731168,True,True
sroa,early-cse-memssa,0.01805416248746239,0.007824374110866578,997,13.346806721070623,0.00025886304095518945,0.006954263111597369,True,True
sroa,loop-versioning,0.019550342130987292,0.007818912526676111,1023,18.009103750807352,2.1985106629656243e-05,0.001099402882534018,True,True
sroa,loop-flatten,0.022066198595787363,0.007812215021339202,997,25.912933483821416,3.571680771813935e-07,4.224221179489782e-05,True,True
sroa,loop-predication,0.016701461377870562,0.007829525456595677,958,9.647231470124888,0.001896371833356703,0.030386809742668375,True,True
sroa,partially-inline-libcalls,0.027992277992277992,0.007791860348460021,1036,54.07267780108321,1.9320926592585923e-13,2.0565746291622533e-10,True,True
sroa,load-store-vectorizer,0.021235521235521235,0.007813141278011023,1036,23.873507884066875,1.0287783775583502e-06,9.827471398958035e-05,True,True
sroa,iroutliner,0.027,0.007797087263541549,1000,47.17144391370132,6.504115904541593e-12,3.727859046518416e-09,True,True
instsimplify,mem2reg,0.018090452261306532,0.007824326542523118,995,13.414910872983766,0.0002496320237187855,0.006813216881790003,True,True
instsimplify,instcombine,0.01633045148895293,0.007828460939780135,1041,9.62460219860815,0.0019198802963426625,0.03050112598731168,True,True
constmerge,sccp,0.017126546146527116,0.007825658674806486,1051,11.6286450846032,0.000649438448073097,0.013516664459755993,True,True
constmerge,loop-vectorize,0.016553067185978577,0.007828127755044963,1027,10.000105747118727,0.001565312371688877,0.02597581844421787,True,True
function-attrs,sroa,0.01890359168241966,0.007819744550957554,1058,16.623983506872612,4.557110329738346e-05,0.0018453820145043704,True,True
deadargelim,mem2reg,0.021847070506454815,0.007812452502112706,1007,25.37268195462549,4.7256303203987284e-07,5.3349502298925645e-05,True,True
deadargelim,simplifycfg,0.0182370820668693,0.007824136274932975,987,13.690726134110449,0.00021551611901745015,0.006082615919693262,True,True
deadargelim,jump-threading,0.016052880075542966,0.007828889361831504,1059,9.160691105023478,0.0024726916796784845,0.03685949395721705,True,True
globaldce,indvars,0.01818181818181818,0.007822475708674344,1045,14.343865816422781,0.00015227502046740373,0.004631025214296429,True,True
globaldce,mergeicmps,0.016080402010050253,0.007830406050326165,995,8.663275123559911,0.0032468719638162526,0.04488393877995343,True,True
globaldce,float2int,0.01633045148895293,0.007828460939780135,1041,9.62460219860815,0.0019198802963426625,0.03050112598731168,True,True
elim-avail-extern,simplifycfg,0.01873767258382643,0.007821738535665973,1014,15.455612898544796,8.446572007787313e-05,0.0030403578758465347,True,True
elim-avail-extern,newgvn,0.02001906577693041,0.007816490331995623,1049,19.97831017256144,7.832561319178401e-06,0.00048633678657665226,True,True
mergefunc,simplifycfg,0.02456499488229273,0.007805660927925299,977,35.106165023170504,3.1221079670595685e-09,9.692844359400352e-07,True,True
instcombine,mem2reg,0.01942645698427382,0.00781725085743475,1081,18.632397694518314,1.5850393688666708e-05,0.0008496495206780981,True,True
instcombine,sroa,0.016293279022403257,0.007830096629958023,982,8.998033480169639,0.0027027027567090222,0.03940868540164173,True,True
instcombine,instsimplify,0.016617790811339198,0.00782803256461547,1023,10.109835358646961,0.0014748013823467805,0.024974420681513322,True,True
instcombine,constmerge,0.016666666666666666,0.007827961173312581,1020,10.192859733854469,0.0014098550012954533,0.024093645905166106,True,True
instcombine,mergefunc,0.01725703905540418,0.007823807728328691,1101,12.529100247133371,0.0004006626986709154,0.00959865613014755,True,True
instcombine,simplifycfg,0.029927760577915376,0.007790273556231003,969,60.75279920110468,6.471103801984635e-15,8.036032404764586e-12,True,True
instcombine,sccp,0.016553067185978577,0.007828127755044963,1027,10.000105747118727,0.001565312371688877,0.02597581844421787,True,True
instcombine,jump-threading,0.027,0.007797087263541549,1000,47.17144391370132,6.504115904541593e-12,3.727859046518416e-09,True,True
instcombine,loop-deletion,0.019250253292806486,0.007821096594950484,987,16.493303175758047,4.8822213043425384e-05,0.001955775856917003,True,True
instcombine,newgvn,0.025590551181102362,0.007800506455329485,1016,41.13122252695966,1.423442130882702e-10,6.23886312776883e-08,True,True
instcombine,early-cse,0.020527859237536656,0.007815872514029659,1023,21.145457380307633,4.25709146893118e-06,0.00029644475266360953,True,True
instcombine,mergereturn,0.018357487922705314,0.007822237895748083,1035,14.693619479398913,0.00012647379959220565,0.004010026726644784,True,True
instcombine,globalopt,0.017657992565055763,0.007823213020648053,1076,13.310247738133897,0.0002639594846589012,0.006999153452645811,True,True
instcombine,alignment-from-assumptions,0.01642512077294686,0.007828318142849325,1035,9.783922570750775,0.0017604435377035215,0.02845350281871787,True,True
instcombine,attributor,0.01691542288557214,0.007827604236329812,1005,10.617535413496551,0.0011202025154495672,0.02045742387895766,True,True
instcombine,called-value-propagation,0.016666666666666666,0.007826348707314626,1080,10.794408608563348,0.001018071321608267,0.01910742926272846,True,True
instcombine,licm,0.015968063872255488,0.00783057267142297,1002,8.4877210613281,0.0035755140182816792,0.04843846354584871,True,True
instcombine,loop-vectorize,0.020242914979757085,0.007818080679431336,988,19.51187257082957,9.997636134779245e-06,0.0005819717721893762,True,True
instcombine,callsite-splitting,0.016112789526686808,0.007830358445600896,993,8.714031079175475,0.0031577019986151864,0.04414265964668246,True,True
instcombine,consthoist,0.017786561264822136,0.007824730891879485,1012,12.846591321773687,0.0003380945643091704,0.008425226082500431,True,True
instcombine,slsr,0.023,0.007809246463952531,1000,29.51913237117253,5.536744206895579e-08,1.031357027139474e-05,True,True
instcombine,loop-load-elim,0.02108433734939759,0.007815231037197582,996,22.433287378917893,2.1757038871711887e-06,0.00017923941452741734,True,True
instcombine,loop-sink,0.016634050880626222,0.00782800876736982,1022,10.137440557843334,0.0014528775321085896,0.024659203853624377,True,True
instcombine,early-cse-memssa,0.021400778210116732,0.00781295125873637,1028,24.277340879174982,8.341458199068002e-07,8.286960672167424e-05,True,True
instcombine,speculative-execution,0.01710261569416499,0.007827342503229728,994,10.93937925032339,0.0009414170495666259,0.017939893699030512,True,True
instcombine,partially-inline-libcalls,0.01971830985915493,0.007816870576216769,1065,19.293353089890907,1.1209590470010242e-05,0.0006340199392751424,True,True
simplifycfg,mem2reg,0.0265748031496063,0.007797466507373394,1016,45.82321147550705,1.2942090406632783e-11,6.428767707988057e-09,True,True
simplifycfg,sroa,0.018274111675126905,0.007824088709481312,985,13.760539958154222,0.0002076524075931321,0.005928038655082097,True,True
simplifycfg,constmerge,0.023162134944612285,0.007809080297650892,993,29.942843090473414,4.4497127305172645e-08,8.501233219252343e-06,True,True
simplifycfg,function-attrs,0.021863117870722433,0.007810481063611792,1052,26.570986763486864,2.5403010950340553e-07,3.102915321163729e-05,True,True
simplifycfg,deadargelim,0.01745877788554801,0.007825182861207888,1031,12.238817608916861,0.00046805480030929087,0.01073069636032162,True,True
simplifycfg,globaldce,0.01778242677824268,0.007826438468996666,956,12.123546573692693,0.0004978912162299867,0.011207817075920336,True,True
simplifycfg,elim-avail-extern,0.019342359767891684,0.007819174000942435,1034,17.561666707837617,2.781390049256415e-05,0.0012792677319141696,True,True
simplifycfg,instcombine,0.018774703557312252,0.00782169098088808,1012,15.530190975559485,8.119801634312324e-05,0.0029512508281590794,True,True
simplifycfg,tailcallelim,0.018627450980392157,0.00782188120346923,1020,15.234004000805253,9.497777537462068e-05,0.003355932296604687,True,True
simplifycfg,memcpyopt,0.017723880597014924,0.007823117875809143,1072,13.439465018036117,0.00024638587276300326,0.006749342418960063,True,True
simplifycfg,dce,0.01966568338249754,0.007818769911719642,1017,18.258029133668664,1.929110742380361e-05,0.0009981808431580603,True,True
simplifycfg,dse,0.017119838872104734,0.007827318710179465,993,10.969086648334072,0.0009264441106092257,0.017745334365422468,True,True
simplifycfg,gvn-hoist,0.018304431599229287,0.007822309238107688,1038,14.587826444986446,0.00013377596283698127,0.004170563594553755,True,True
simplifycfg,newgvn,0.018234165067178502,0.007822404363278175,1042,14.447928305833162,0.00014408825996101466,0.004433352628554438,True,True
simplifycfg,early-cse,0.0205078125,0.007815896274453176,1024,21.09927917511014,4.360921370210726e-06,0.0003008631956429641,True,True
simplifycfg,flattencfg,0.01787487586891758,0.007824611961259963,1007,13.011282747949451,0.00030961977508828394,0.007955092910975185,True,True
simplifycfg,loop-rotate,0.01606425702811245,0.007830429852905862,996,8.637997354057736,0.003292231298218579,0.04509267537321072,True,True
simplifycfg,partial-inliner,0.018962075848303395,0.007821453215672089,1002,15.908490091395278,6.647983274440018e-05,0.0024891519285353053,True,True
simplifycfg,alignment-from-assumptions,0.01706827309236948,0.007827390089764205,996,10.880190914712838,0.0009719822690608735,0.01838131950957505,True,True
simplifycfg,attributor,0.02133850630455868,0.007813022514881224,1031,24.12505477316525,9.027803550871313e-07,8.735865487992488e-05,True,True
simplifycfg,licm,0.01662049861495845,0.007826420096933283,1083,10.711357144809892,0.0010647989637210889,0.019834542696714582,True,True
simplifycfg,div-rem-pairs,0.01627670396744659,0.007830120430656624,983,8.97187216089195,0.002741675232127578,0.03974362286883771,True,True
simplifycfg,float2int,0.016683022571148183,0.007827937376500988,1019,10.220674120156485,0.0013887508224667319,0.023897418887297045,True,True
simplifycfg,callsite-splitting,0.018311291963377416,0.007824041144607977,983,13.830701982796503,0.00020004062509764887,0.005777142238769697,True,True
simplifycfg,loop-unroll-and-jam,0.018590998043052837,0.007821928760560213,1022,15.160835884466227,9.873006989097492e-05,0.0034536983603645735,True,True
simplifycfg,hotcoldsplit,0.022916666666666665,0.007811336467999356,960,28.02395562164279,1.198229151622143e-07,1.770077038285898e-05,True,True
simplifycfg,irce,0.023231256599788808,0.007811027834005021,947,28.810216982379405,7.982888311858733e-08,1.323182079454634e-05,True,True
simplifycfg,nary-reassociate,0.017928286852589643,0.007824540604623592,1004,13.111073336333467,0.00029355545171036066,0.007568448687522136,True,True
simplifycfg,vector-combine,0.01898101898101898,0.007821429439945527,1001,15.946822238844634,6.514705341241947e-05,0.002464013680080901,True,True
simplifycfg,early-cse-memssa,0.023346303501945526,0.00780687114102529,1028,31.752023160600906,1.7516669791313477e-08,4.078647081721147e-06,True,True
simplifycfg,loop-versioning,0.018536585365853658,0.007822000097280997,1025,15.05173432734925,0.0001046040940547774,0.003542750476373393,True,True
simplifycfg,loop-reroll,0.01710261569416499,0.007827342503229728,994,10.93937925032339,0.0009414170495666259,0.017939893699030512,True,True
simplifycfg,loop-instsimplify,0.019436345966958212,0.007819055146835289,1029,17.763631869193524,2.501188699492557e-05,0.0011946382692255796,True,True
simplifycfg,loop-simplifycfg,0.019462465245597776,0.007817203320259054,1079,18.713741002735357,1.5188402895706991e-05,0.0008321234557052411,True,True
simplifycfg,loop-predication,0.02093244529019981,0.007813497589064751,1051,23.135470558448155,1.5097970998887545e-06,0.000132347037544366,True,True
simplifycfg,load-store-vectorizer,0.018967334035827187,0.007823232630235244,949,15.07886315289595,0.0001031114098247937,0.003508142075819807,True,True
simplifycfg,iroutliner,0.019943019943019943,0.00781658538958275,1053,19.80476094096598,8.576877604244456e-06,0.0005153735083002052,True,True
simplifycfg,unreachableblockelim,0.017804154302670624,0.007824707105466351,1011,12.87936811020146,0.00033222439240641237,0.00839119982311925,True,True
tailcallelim,mem2reg,0.01949317738791423,0.007818983836105343,1026,17.885939907189805,2.345475391089254e-05,0.0011497458644082915,True,True
tailcallelim,instcombine,0.018357487922705314,0.007822237895748083,1035,14.693619479398913,0.00012647379959220565,0.004010026726644784,True,True
tailcallelim,mldst-motion,0.02099236641221374,0.007813426324254151,1048,23.28111792810205,1.3996739045759874e-06,0.00012565024413247809,True,True
tailcallelim,iroutliner,0.02512562814070352,0.007803048265212448,995,38.19440774623392,6.403567931267655e-10,2.511209718730279e-07,True,True
reassociate,mem2reg,0.021484375,0.00781285625256502,1024,24.481991880023863,7.500762703243267e-07,7.762247625259108e-05,True,True
reassociate,sroa,0.022988505747126436,0.0078112652426051326,957,28.203258443172945,1.0922054328378369e-07,1.686935972152242e-05,True,True
reassociate,instcombine,0.01818181818181818,0.007824207624194857,990,13.586653660411029,0.00022779935250400493,0.006380951035741883,True,True
reassociate,slsr,0.01593625498007968,0.007830620278753059,1004,8.438153866703418,0.0036742907212602054,0.04941722051283356,True,True
reassociate,loop-fusion,0.01641025641025641,0.007829930029119072,975,9.183118490335067,0.0024425749387613506,0.03654543347130688,True,True
memcpyopt,simplifycfg,0.023278370514064017,0.007806942341717892,1031,31.566287116198414,1.9274693739887568e-08,4.3519922138152205e-06,True,True
memcpyopt,jump-threading,0.02178217821782178,0.00781252374916023,1010,25.212995934411595,5.133510868889997e-07,5.543447751318749e-05,True,True
memcpyopt,loop-simplify,0.016112789526686808,0.007830358445600896,993,8.714031079175475,0.0031577019986151864,0.04414265964668246,True,True
memcpyopt,consthoist,0.016981132075471698,0.007825872809804535,1060,11.363520411313353,0.0007490072063218025,0.015093590817329638,True,True
sccp,sroa,0.02066115702479339,0.007817605417612712,968,20.428328093122737,6.190661565369149e-06,0.0004046194677505748,True,True
sccp,instcombine,0.01608325449385052,0.00782884175706572,1057,9.211217685302428,0.0024053664799173627,0.03628013287826776,True,True
sccp,simplifycfg,0.016546018614270942,0.007829739636841113,967,9.398904459010511,0.0021711513743819535,0.033355152351587494,True,True
sccp,tailcallelim,0.01691542288557214,0.007827604236329812,1005,10.617535413496551,0.0011202025154495672,0.02045742387895766,True,True
sccp,inline,0.018404907975460124,0.007823922234954756,978,14.007644433120172,0.00018206891124597854,0.005426381830775145,True,True
sccp,early-cse-memssa,0.0160075329566855,0.007828960770065703,1062,9.085369497260821,0.0025766241970765066,0.03801668691567733,True,True
sccp,iroutliner,0.019367991845056064,0.007820953955767384,981,16.733247126925477,4.3020450048465656e-05,0.0017808076295062088,True,True
dce,attributor,0.017154389505549948,0.007827271124512885,991,11.028729046625992,0.0008971063265387446,0.017316941033782864,True,True
dce,early-cse-memssa,0.020710059171597635,0.0078156586767187,1014,21.565857731930834,3.4188408644902023e-06,0.0002522156760526386,True,True
dce,iroutliner,0.017408123791102514,0.007825254229559032,1034,12.14539818414385,0.0004920913439562698,0.01111082607217626,True,True
dse,sroa,0.0193756727664155,0.007822757111597373,929,15.864909338195009,6.802845222937284e-05,0.002521791032642075,True,True
dse,simplifycfg,0.01820020222446916,0.007824183840962977,989,13.62125839938698,0.00022363873475547891,0.0062880460855210315,True,True
dse,alignment-from-assumptions,0.018446601941747572,0.007822118994707226,1030,14.871616543365617,0.0001150816103602039,0.0037774144440258996,True,True
jump-threading,correlated-propagation,0.0185546875,0.007821976318229491,1024,15.088015102745567,0.00010261270134425424,0.003508142075819807,True,True
jump-threading,mem2reg,0.02231237322515213,0.007811953809163392,986,26.52170735073639,2.605933609870112e-07,3.131743762442291e-05,True,True
jump-threading,sroa,0.017341040462427744,0.007825349389385616,1038,12.021891556624327,0.0005257931404370357,0.011590783104722937,True,True
jump-threading,function-attrs,0.02109704641350211,0.007817130213572995,948,21.39008956929245,3.7470302895033976e-06,0.00026758660625054374,True,True
jump-threading,simplifycfg,0.01616161616161616,0.007830287039598273,990,8.790669088561572,0.0030277517989514705,0.04291414124256054,True,True
jump-threading,memcpyopt,0.017716535433070866,0.007824826038978213,1016,12.716284503433672,0.0003624852277442766,0.008913786904035,True,True
jump-threading,dce,0.015920398009950248,0.007830644082635181,1005,8.41346780797215,0.003724515487367614,0.04991252679204333,True,True
jump-threading,loop-idiom,0.017804154302670624,0.007824707105466351,1011,12.87936811020146,0.00033222439240641237,0.00839119982311925,True,True
jump-threading,gvn,0.021442495126705652,0.007812903755361872,1026,24.37943628424948,7.910863774442142e-07,8.074499449776493e-05,True,True
jump-threading,gvn-hoist,0.01833180568285976,0.00782052919319626,1091,15.415601390692627,8.627306853980916e-05,0.003090483815817875,True,True
jump-threading,newgvn,0.019387755102040816,0.00782093018307603,980,16.773579661220122,4.2115624725925694e-05,0.001772901241993629,True,True
jump-threading,early-cse,0.018730489073881373,0.007823517969167923,961,14.626086912201247,0.00013108735323679764,0.004103915415829325,True,True
jump-threading,globalopt,0.01593625498007968,0.007830620278753059,1004,8.438153866703418,0.0036742907212602054,0.04941722051283356,True,True
jump-threading,strip-dead-prototypes,0.016194331983805668,0.007830239436320031,988,8.842099524686969,0.002943603249978075,0.04209748141187454,True,True
