source,target,ate,p_adj
mem2reg,bdce,0.006634016949690458,0.000367643996613407
sroa,bdce,0.008087483617323088,7.700510236791624e-06
bdce,instcombine,0.009885709316476698,5.851673186909169e-07
bdce,simplifycfg,0.00591091176523012,0.016081862109329888
bdce,dse,0.006666898158555756,0.003583462221334712
bdce,jump-threading,0.005581587368994501,0.02547285652343857
loop-reduce,bdce,0.005588622208164307,0.02194622533884728
loop-unroll,bdce,0.016222592479097964,3.23224982241178e-13
licm,bdce,0.008439740640219073,0.00021905437108172348
loop-vectorize,bdce,0.008528871570124053,0.00015425856927489542
consthoist,bdce,0.00533419391504697,0.035898690866474216
loop-interchange,bdce,0.007057100831297347,0.002240755308130053
global-merge,bdce,0.005557675246840144,0.026541909492120336
break-crit-edges,bdce,0.007514284135142157,0.0009995004244016997
ipsccp,instcombine,0.009068062028564028,7.350129859980494e-06
ipsccp,simplifycfg,0.005813648486077239,0.01816916473101495
ipsccp,dse,0.00758405227615272,0.0009013627358218886
ipsccp,jump-threading,0.007903351486632793,0.0006066567566589847
loop-unroll,ipsccp,0.01789783079056545,1.790094397716887e-15
loop-vectorize,ipsccp,0.01428636648765208,3.858289377727304e-11
loop-unroll-and-jam,ipsccp,0.0055280822557103315,0.03011279198197091
irce,ipsccp,0.005726816313201377,0.02186066419373339
scalarizer,ipsccp,0.005675446705663112,0.02680321137752638
break-crit-edges,ipsccp,0.009173493535312549,3.921731385656136e-05
correlated-propagation,instcombine,0.011676869259461986,1.4531294882231047e-09
correlated-propagation,simplifycfg,0.009516473967744243,1.3277058378946495e-05
correlated-propagation,dse,0.009749281231958284,4.339400586455123e-06
correlated-propagation,jump-threading,0.005379513687960802,0.036071042191532565
loop-unroll,correlated-propagation,0.020383434286610713,3.1516714892876843e-20
correlated-propagation,attributor,0.006466364691242399,0.003425270853005995
licm,correlated-propagation,0.006965849774182631,0.003583462221334712
loop-vectorize,correlated-propagation,0.008993533089112271,6.100752157895748e-05
loop-simplifycfg,correlated-propagation,0.0057531986390646495,0.019358889882845256
