source,target,ate,p_adj
bdce,instcombine,0.012272558582559545,3.072886710706051e-10
bdce,simplifycfg,0.008277507005353235,0.0003885406943371491
bdce,dse,0.008148566182471895,0.00024294657470079516
bdce,jump-threading,0.0077728171766434095,0.0011648903918094107
bdce,gvn,0.00888875465033745,4.8603425438661854e-05
loop-unroll,bdce,0.021410238888418198,1.0003383131564545e-20
inferattrs,bdce,0.005224682571007111,0.04262640995720571
loop-vectorize,bdce,0.04207609726533468,4.2048063133017964e-54
mldst-motion,bdce,0.007420623107068924,0.0020721236290181942
scalarizer,bdce,0.007577431935742618,0.002875761296904369
loop-versioning,bdce,0.010209813246972066,6.321582789265348e-05
break-crit-edges,bdce,0.01118636442326848,1.0663965721830675e-06
constmerge,ipsccp,0.006552263125574498,0.01045298853680467
ipsccp,instcombine,0.013328802313925026,2.1384077235172585e-11
ipsccp,simplifycfg,0.007897238970696774,0.0007659490376567544
memcpyopt,ipsccp,0.005847977493505518,0.02556799401635423
ipsccp,dse,0.009177714448323937,2.7483817717974358e-05
ipsccp,jump-threading,0.006283865321660531,0.012728607293163705
flattencfg,ipsccp,0.00574048234276453,0.026168299692484825
loop-unroll,ipsccp,0.024680375914159502,1.4076394434871493e-29
loop-vectorize,ipsccp,0.040894089351895035,5.778601702485467e-51
scalarizer,ipsccp,0.007262174489955864,0.004134046227564958
globalsplit,ipsccp,0.006710478188096947,0.0059781844046024836
loop-versioning,ipsccp,0.01046591858670326,2.7483817717974358e-05
break-crit-edges,ipsccp,0.01109933835784227,9.099773636735304e-07
correlated-propagation,instcombine,0.013271426988441526,1.8683539389396496e-11
correlated-propagation,simplifycfg,0.009008255264637444,5.9967101729347775e-05
correlated-propagation,dse,0.007848452473887213,0.0005977369341292639
correlated-propagation,jump-threading,0.006232298264578273,0.014278067971584854
correlated-propagation,gvn,0.005052175500225076,0.039307113329981616
loop-unroll,correlated-propagation,0.021908261467941115,7.032806917737976e-22
licm,correlated-propagation,0.006618558204000757,0.0200076610622181
loop-vectorize,correlated-propagation,0.03713567474945689,1.427098836748866e-42
scalarizer,correlated-propagation,0.006476920590965496,0.014528235348880397
loop-versioning,correlated-propagation,0.00638619579601396,0.020885226506310996
