source,target,ate,p_adj
bdce,instcombine,0.012704677793866026,7.16217089813639e-13
bdce,simplifycfg,0.007644470476376675,0.0001558444850407165
tailcallelim,bdce,0.012527306353480872,1.8491380699327287e-11
reassociate,bdce,0.005143114480018196,0.02131657875916688
bdce,gvn,0.01553669942754693,7.534281093778075e-21
bdce,newgvn,0.006226465257158087,0.0006686958703976411
bdce,early-cse,0.005596233956596142,0.00747117351117904
inferattrs,bdce,0.00917068962209494,2.2395146576570397e-06
loop-vectorize,bdce,0.0531571099710485,5.8043259235045036e-179
scalarizer,bdce,0.009050433089469234,1.6276289092414613e-05
lowerswitch,bdce,0.006547434786941642,0.002014437157716674
loop-versioning,bdce,0.008037307586793552,0.00013785306506026703
break-crit-edges,bdce,0.005170023545996161,0.02144973322470476
function-attrs,ipsccp,0.005323989699214826,0.016019727627350062
ipsccp,instcombine,0.00886315479322003,1.348546424076174e-06
ipsccp,simplifycfg,0.007260301708671257,0.00040626647089274555
tailcallelim,ipsccp,0.015257341578964634,1.6427974885089516e-16
ipsccp,dse,0.005131127520637713,0.015750735331489827
ipsccp,gvn,0.011311098492591487,1.4846571555096795e-11
ipsccp,newgvn,0.0078868404030365,7.18586233633588e-06
globalopt,ipsccp,0.005203840473737009,0.018728992104966116
loop-reduce,ipsccp,0.007103151463862034,0.0006807617599780465
inferattrs,ipsccp,0.008523379929430641,1.590582189707857e-05
loop-vectorize,ipsccp,0.05439261972361309,1.043853731672891e-187
loop-fusion,ipsccp,0.0061798034833831506,0.003861602710760688
scalarizer,ipsccp,0.008807633375117252,2.8712323080084535e-05
lowerswitch,ipsccp,0.006692112227349889,0.0016140386057058593
break-crit-edges,ipsccp,0.005972378960141245,0.006501264662806298
correlated-propagation,instcombine,0.015033453705856292,8.422730785220767e-18
correlated-propagation,simplifycfg,0.008945422207351506,8.424344429006933e-06
tailcallelim,correlated-propagation,0.010516989568642165,3.2785290939324815e-08
correlated-propagation,gvn,0.01591167535023258,8.567995343183676e-22
correlated-propagation,newgvn,0.009132235951767875,1.5000386912008217e-07
loop-reduce,correlated-propagation,0.005535037934884135,0.010825232637974112
inferattrs,correlated-propagation,0.007708093557154627,0.00010369017765157478
loop-vectorize,correlated-propagation,0.050721295110232545,3.4341198044695177e-162
scalarizer,correlated-propagation,0.007359301443135791,0.0006802550720306898
correlated-propagation,early-cse-memssa,0.006496898976397936,0.0005502788611405649
function-attrs,mem2reg,0.00513747118078417,7.594726553473552e-07
mem2reg,simplifycfg,0.008798420585354072,1.2289976178122701e-20
mem2reg,jump-threading,0.00554713330345874,7.691199015705322e-09
mem2reg,gvn,0.01580981463434561,2.100681083295884e-54
loop-reduce,mem2reg,0.009334096766547895,1.7950967723225398e-21
mem2reg,licm,0.009386752341646765,1.4414354098395132e-19
loop-vectorize,mem2reg,0.11235247355110212,0.0
scalarizer,mem2reg,0.014976351736350535,8.753412377126274e-40
loop-versioning,mem2reg,0.008543639706064143,4.5615877829839126e-15
mem2reg,iroutliner,0.015587367354173376,4.454441167326887e-72
break-crit-edges,mem2reg,0.006170521578213295,3.0193732167746048e-09
elim-avail-extern,sroa,0.0054632866605989205,1.445828798548611e-07
sroa,simplifycfg,0.006561186078314518,1.2194864458608417e-11
tailcallelim,sroa,0.006957799670748888,7.94668636994086e-12
sroa,gvn,0.014406925364409295,1.4502489836775232e-45
mergeicmps,sroa,0.005028555658666889,1.8542805728182582e-06
separate-const-offset-from-gep,sroa,0.005857042585392158,1.7009345910649904e-08
loop-reduce,sroa,0.010337025961717872,2.820689481056415e-26
loop-unroll,sroa,0.00503493733521182,2.250882816890232e-06
sroa,loop-rotate,0.005369880976645869,1.3102031090615042e-06
attributor,sroa,0.0061730980544644765,3.2602702834648836e-10
sroa,licm,0.009214405885806187,6.560759657141908e-19
loop-vectorize,sroa,0.11537611724955843,0.0
scalarizer,sroa,0.015409623620511959,1.282241726260814e-41
loop-versioning,sroa,0.009992246640893987,9.610235423323605e-20
sroa,iroutliner,0.013697249080828477,5.191453763513661e-55
break-crit-edges,sroa,0.007393040987359767,6.725070263181043e-13
function-attrs,instsimplify,0.0061946651136204345,0.003984907075096924
instsimplify,instcombine,0.00926230864533939,3.673669417386958e-07
instsimplify,simplifycfg,0.005869829262251214,0.005999148901438429
tailcallelim,instsimplify,0.013709549420354517,1.3349976397414927e-13
instsimplify,gvn,0.014273480769203206,1.0405055806269098e-17
instsimplify,newgvn,0.007012561848247945,7.814886604588684e-05
loop-reduce,instsimplify,0.009689836173045197,1.3756583680198879e-06
inferattrs,instsimplify,0.009665358521514789,6.157655581590513e-07
div-rem-pairs,instsimplify,0.005415254294877436,0.013259184993697605
loop-vectorize,instsimplify,0.05562506029139924,2.8289184663804185e-196
slp-vectorizer,instsimplify,0.005153560342039176,0.020832664625934076
irce,instsimplify,0.005084788902583293,0.023463008846194774
scalarizer,instsimplify,0.011794724750479879,7.617569549021541e-09
globalsplit,instsimplify,0.007228717642849103,0.0005218514854430765
lowerswitch,instsimplify,0.005224426153446093,0.01926876456523673
break-crit-edges,instsimplify,0.005691665334613738,0.010302785933608224
constmerge,instcombine,0.01006449194794412,2.2939385114836473e-08
constmerge,simplifycfg,0.0069777662783499506,0.0007664928472138936
tailcallelim,constmerge,0.013417784583415027,4.653456493719064e-13
constmerge,gvn,0.01527467120532705,4.4220460854341855e-20
constmerge,newgvn,0.0074269131314226855,2.766009077332604e-05
loop-reduce,constmerge,0.008105141238995361,7.359734246044781e-05
inferattrs,constmerge,0.007734945795960568,0.00010263967312725823
constmerge,licm,0.006680700835550779,0.0031032943168964513
loop-vectorize,constmerge,0.04506142371334637,6.195382146019445e-129
loop-fusion,constmerge,0.005201455618297157,0.019998626081197016
scalarizer,constmerge,0.008369056465829194,7.526514267873275e-05
constmerge,early-cse-memssa,0.006423014613255951,0.0006624140678523953
loop-versioning,constmerge,0.005751209584935191,0.009637946171031628
break-crit-edges,constmerge,0.005556340642084601,0.012615517407187783
function-attrs,instcombine,0.016797725469126612,1.3443652223099063e-22
function-attrs,simplifycfg,0.006428174525092756,0.0019043093729044747
tailcallelim,function-attrs,0.008174512508302534,2.8801929937686688e-05
function-attrs,dse,0.007398120876397685,0.00019320945141109374
function-attrs,gvn,0.015390037440464077,2.0686530005678517e-21
function-attrs,newgvn,0.008926559148910607,1.3945819751849883e-07
function-attrs,early-cse,0.005848029983231695,0.004572850747085944
inferattrs,function-attrs,0.005739612317326781,0.00579642585283075
function-attrs,licm,0.008041227212513324,0.0002096024127932377
function-attrs,loop-simplify,0.005587293265031268,0.010651951713745998
function-attrs,sink,0.007269569105795959,0.0004570361328847378
loop-vectorize,function-attrs,0.04896064757891366,1.035970454022598e-151
function-attrs,early-cse-memssa,0.00574785513253484,0.0023241206160484755
deadargelim,instcombine,0.011618829995068414,6.576741248661468e-11
deadargelim,simplifycfg,0.008702109814572478,1.4102565182045304e-05
tailcallelim,deadargelim,0.01082394482431659,9.873707956796349e-09
deadargelim,dse,0.005803255823387254,0.00550913731545312
deadargelim,gvn,0.01668209324646741,4.725045277188664e-24
deadargelim,newgvn,0.008599891782916924,8.59102304550147e-07
loop-reduce,deadargelim,0.006931176021326535,0.0010117494038616613
inferattrs,deadargelim,0.008163023851659013,3.4088460275278804e-05
loop-vectorize,deadargelim,0.04846324598846241,6.407124664014916e-147
slsr,deadargelim,0.005177077429986188,0.020832664625934076
loop-versioning,deadargelim,0.005994761786484171,0.0070066299985739626
globaldce,instcombine,0.011181923355227386,2.9522876670910823e-10
globaldce,simplifycfg,0.008485288143602887,2.6759648253390277e-05
tailcallelim,globaldce,0.010680455629186236,2.1641923143189313e-08
globaldce,dse,0.005342267564441061,0.012726566283286436
globaldce,gvn,0.018989648576686446,4.15567777149509e-31
globaldce,newgvn,0.008332617091053818,1.773540105139362e-06
globaldce,early-cse,0.0051394571225222285,0.016143773864958615
globaldce,indvars,0.006891453608482756,0.001017074621406178
loop-reduce,globaldce,0.005429158852256977,0.01293703975843746
inferattrs,globaldce,0.0056968056237696185,0.00646490283760738
globaldce,licm,0.007118718058734652,0.0013801832566320618
loop-vectorize,globaldce,0.05239632878639722,1.0733117198566438e-171
globaldce,early-cse-memssa,0.007867123455980118,1.590582189707857e-05
break-crit-edges,globaldce,0.005122018422629104,0.021323185063744483
elim-avail-extern,instcombine,0.013028295504863396,1.6897784400376186e-13
elim-avail-extern,simplifycfg,0.01226708562599682,3.210211692612791e-10
tailcallelim,elim-avail-extern,0.012157660920010638,1.0812136144467816e-10
elim-avail-extern,dse,0.005247901405339983,0.014185066313333976
elim-avail-extern,gvn,0.017513349714160964,1.0914085761141547e-26
elim-avail-extern,newgvn,0.010450699416148845,1.0173344129130744e-09
elim-avail-extern,early-cse,0.009242388820064895,2.161693321018292e-06
elim-avail-extern,indvars,0.006315139978536,0.0030752567559438272
loop-reduce,elim-avail-extern,0.0066491544857362195,0.0016809921078444416
elim-avail-extern,partial-inliner,0.005722538720054182,0.008594817217659007
inferattrs,elim-avail-extern,0.005736778734712511,0.006456462243772672
elim-avail-extern,licm,0.005126922497375674,0.03033645902734239
loop-vectorize,elim-avail-extern,0.04707408000040053,8.132398012034653e-140
elim-avail-extern,early-cse-memssa,0.007135677570604182,0.00011405484305405495
mergefunc,instcombine,0.01095250403525666,1.1783834351074199e-09
mergefunc,simplifycfg,0.009359704925159473,2.321688497927381e-06
tailcallelim,mergefunc,0.01142356510319531,1.452729799585727e-09
mergefunc,dse,0.005021871294063673,0.01926876456523673
mergefunc,gvn,0.017706483360733605,6.577380173481289e-27
mergefunc,newgvn,0.008251163358219071,2.8227176857768404e-06
inferattrs,mergefunc,0.006454617605867796,0.0015896341640212902
mergefunc,licm,0.005451807771515049,0.02030442089121265
loop-vectorize,mergefunc,0.05036877466766615,7.250450546916465e-160
scalarizer,mergefunc,0.006608398807450344,0.0027090287749940863
mergefunc,early-cse-memssa,0.008834726362051348,1.1087677415731252e-06
loop-versioning,mergefunc,0.005659171121524642,0.011189182918951936
tailcallelim,instcombine,0.03377919548452907,9.400300444394717e-107
reassociate,instcombine,0.00945759060152479,1.746335213331111e-07
memcpyopt,instcombine,0.010021873784336333,3.3022198750839855e-08
sccp,instcombine,0.010421471239704938,5.758643986074771e-09
dce,instcombine,0.011343255624343074,1.9977013443752003e-10
adce,instcombine,0.011567372641367424,7.250345254666611e-11
jump-threading,instcombine,0.010019581273781553,1.1563535632245882e-08
loop-idiom,instcombine,0.01450156996099572,1.776187297917333e-16
