source,target,ate,p_adj
mem2reg,bdce,0.005827782456157116,2.540235254739437e-05
sroa,bdce,0.007088306824199475,4.237575239609371e-08
bdce,instcombine,0.01035954483216689,2.308463937855269e-14
bdce,simplifycfg,0.00835467055398853,2.1845833780883765e-07
bdce,dse,0.005606813685112011,0.0010822237232287854
loop-unroll,bdce,0.016010798431766282,5.580552866993374e-21
loop-vectorize,bdce,0.0118779845163976,7.860102566384227e-11
early-cse-memssa,bdce,0.005795447997816505,1.5204524670263836e-05
break-crit-edges,bdce,0.008887872140258324,1.559766186323883e-07
ipsccp,instcombine,0.00932574467093139,1.852748009071671e-11
ipsccp,simplifycfg,0.005700284083281881,0.001141714595490902
ipsccp,dse,0.007003361285176701,2.962946899470918e-05
loop-unroll,ipsccp,0.017150791727694514,1.476878659616046e-23
loop-vectorize,ipsccp,0.010780018912821765,7.820711634574686e-09
irce,ipsccp,0.0052370563124997105,0.003555573898591123
break-crit-edges,ipsccp,0.00839576520409796,5.969403025979231e-07
correlated-propagation,instcombine,0.009687721655627979,1.9823932413574355e-12
correlated-propagation,simplifycfg,0.009938698130957047,4.641473475122805e-10
loop-unroll,correlated-propagation,0.018677924773714716,3.878423616412912e-28
loop-vectorize,correlated-propagation,0.009715531045441594,3.760347310988946e-07
break-crit-edges,correlated-propagation,0.008645792115376083,3.213784644959585e-07
mem2reg,function-attrs,0.005522332794242857,7.12764732968869e-05
mem2reg,instcombine,0.008506462670900938,1.052851739550435e-12
mem2reg,simplifycfg,0.018029476924346755,2.0556101380739e-48
mem2reg,sccp,0.006426143401044859,5.587103951938933e-06
mem2reg,jump-threading,0.010089498495038318,2.1986100059842117e-15
mem2reg,gvn,0.020496794264625917,1.568045732971645e-64
mem2reg,gvn-hoist,0.005028947267777584,0.00043616423196393006
mem2reg,newgvn,0.007325970234491663,1.0999993257630213e-08
mem2reg,early-cse,0.011005162484901243,3.506862360412834e-18
mem2reg,indvars,0.006132539590438357,1.089840283188003e-05
loop-unroll,mem2reg,0.025757088233892278,1.7565424330971158e-62
mem2reg,licm,0.014871927950215968,2.613270682846015e-27
mem2reg,float2int,0.006113794080873813,7.859536625132716e-06
loop-vectorize,mem2reg,0.02154106483071716,9.5868612378118e-35
mem2reg,partially-inline-libcalls,0.0054458184837192225,0.00015356915507639491
mem2reg,iroutliner,0.014696979994229142,5.572239777332425e-29
sroa,instsimplify,0.005496328055847044,8.868153092198788e-05
sroa,instcombine,0.008669593835151146,3.13005599617286e-13
sroa,simplifycfg,0.016381873171653905,7.266464073583333e-38
sroa,dce,0.006262046734822113,8.300207831278844e-06
sroa,adce,0.005822085518072784,2.3189063034364283e-05
sroa,jump-threading,0.010856309449184254,2.889486479691837e-16
sroa,gvn,0.021701766910568465,3.965817583285e-73
sroa,newgvn,0.00576766037413573,1.2191435020052842e-05
sroa,early-cse,0.012613762985801358,1.1836546631675909e-23
loop-unroll,sroa,0.029343374337453376,2.00068479740009e-82
sroa,attributor,0.005080389050150236,0.0003453872826984731
sroa,licm,0.01400446580889464,3.8039026740428245e-23
loop-vectorize,sroa,0.019812691371375202,4.7274931844805194e-30
sroa,load-store-vectorizer,0.006131362278708807,1.5078522803253097e-06
sroa,iroutliner,0.013031323665207095,4.60955638766459e-21
instsimplify,instcombine,0.009878629933235628,5.281939294156642e-13
gvn-sink,instsimplify,0.005170132858285659,0.002893522715849952
loop-reduce,instsimplify,0.007043693222616554,2.2847564781331752e-05
loop-unroll,instsimplify,0.01908721460886942,5.4812780046515755e-31
licm,instsimplify,0.006091204467491895,0.0008719925002341225
div-rem-pairs,instsimplify,0.005360948906168284,0.0023782558202891497
loop-vectorize,instsimplify,0.01154067957920668,1.1241077430619297e-10
loop-sink,instsimplify,0.006326930924287266,0.0001382741313628247
hotcoldsplit,instsimplify,0.005237759874060222,0.003415328340504299
irce,instsimplify,0.005135727901163456,0.003580799509413417
early-cse-memssa,instsimplify,0.007573147979799744,8.616047105809353e-09
simple-loop-unswitch,instsimplify,0.005328788865055334,0.0022158835487594234
loop-versioning,instsimplify,0.005282769535759346,0.003844353845809094
loop-predication,instsimplify,0.005267904234579623,0.002343366689199155
break-crit-edges,instsimplify,0.009120133203388114,4.626714460195005e-08
constmerge,instcombine,0.008383945921515923,1.5839795637054724e-09
constmerge,simplifycfg,0.009811157723221386,5.750648766730717e-10
loop-unroll,constmerge,0.014190110472468376,2.9337608260987064e-16
loop-vectorize,constmerge,0.008812392540001657,3.745503618343443e-06
break-crit-edges,constmerge,0.005947534686702338,0.0009278051506122512
function-attrs,instcombine,0.010776553320276272,3.3767274004037406e-15
function-attrs,simplifycfg,0.008252370582905177,5.595654185559786e-07
function-attrs,dse,0.007062391187672212,3.192728362582862e-05
function-attrs,jump-threading,0.005202608841201606,0.003179537300630834
loop-reduce,function-attrs,0.005903019189172909,0.0008067160563760079
loop-unroll,function-attrs,0.016016840655980413,6.484235426270595e-21
loop-vectorize,function-attrs,0.011351724218695014,3.5947982217202354e-09
break-crit-edges,function-attrs,0.008001682243118369,3.0389304097068828e-06
deadargelim,instcombine,0.01115259691960313,1.152269717826787e-15
deadargelim,simplifycfg,0.0070158330878505315,2.2368758307244153e-05
loop-unroll,deadargelim,0.013510523082525594,5.435189101699703e-15
loop-vectorize,deadargelim,0.01276502955129949,3.567394837514691e-12
break-crit-edges,deadargelim,0.008436786801415908,4.0225153973704065e-07
globaldce,instcombine,0.01267807418673017,1.48375608535289e-20
globaldce,simplifycfg,0.010016119957999059,4.911941255251892e-10
globaldce,adce,0.005022166350033053,0.005940892038611683
globaldce,dse,0.007683728473490803,4.637361246842452e-06
loop-unroll,globaldce,0.016678409842333597,3.3761573064512156e-22
loop-vectorize,globaldce,0.008087553185799956,3.578916796978616e-05
elim-avail-extern,instcombine,0.010395294605185956,5.455757409415655e-14
elim-avail-extern,simplifycfg,0.009365525706998834,5.0824024956139035e-09
elim-avail-extern,dse,0.00811901995595965,8.119989532086109e-07
elim-avail-extern,early-cse,0.005654895525740888,0.0004108693472172043
loop-unroll,elim-avail-extern,0.01511855817844121,1.5978847704254463e-18
loop-vectorize,elim-avail-extern,0.009197603463472426,1.0174946745923256e-06
break-crit-edges,elim-avail-extern,0.005428389376740839,0.002427063506660029
mergefunc,instcombine,0.013240782088482062,6.458095174723157e-23
mergefunc,simplifycfg,0.009542796061784542,6.513978301951996e-09
mergefunc,sccp,0.005564819744715954,0.001382568966391821
mergefunc,dse,0.00674450486140743,4.9583900813388756e-05
mergefunc,jump-threading,0.005333683313666404,0.0017588273173157433
loop-unroll,mergefunc,0.013177905940914836,2.25763293452743e-14
mergefunc,attributor,0.005072007384385402,0.003278745857141065
loop-vectorize,mergefunc,0.00674951193558021,0.0008880123185798872
break-crit-edges,mergefunc,0.0058652250849730025,0.0012298604736151813
tailcallelim,instcombine,0.010699489095800818,5.6736174385723114e-15
reassociate,instcombine,0.010843520066131429,1.152269717826787e-15
memcpyopt,instcombine,0.010062030258189136,2.4186930245263036e-13
sccp,instcombine,0.007454634178582553,1.5495867296827391e-07
dce,instcombine,0.01150048331563125,1.0034180061390667e-16
adce,instcombine,0.008025309813571413,8.383922422541483e-09
dse,instcombine,0.006722488485099265,1.5523248410643474e-06
jump-threading,instcombine,0.005181698472896901,0.0003985780087912146
loop-idiom,instcombine,0.011826311866116657,1.3235160519724823e-17
loop-deletion,instcombine,0.013351655901327808,9.647225951855732e-23
gvn,instcombine,0.034580689222101224,7.282480507399727e-209
gvn-hoist,instcombine,0.011914883540939503,1.3596719504684364e-18
gvn-sink,instcombine,0.01219378547103861,1.6484581514686778e-19
newgvn,instcombine,0.021075113491136666,5.207648885433811e-76
early-cse,instcombine,0.006933060054739759,3.1008523340644623e-07
mergereturn,instcombine,0.009125963238566903,3.5749455486809453e-11
globalopt,instcombine,0.012754951904089096,2.7601116966467472e-21
strip-dead-prototypes,instcombine,0.010229178760165103,4.009988407954572e-14
indvars,instcombine,0.01356862148655491,3.9379725825739875e-24
mergeicmps,instcombine,0.010694685168861406,2.2717192593565336e-15
separate-const-offset-from-gep,instcombine,0.00840776096976692,3.207350231423437e-09
libcalls-shrinkwrap,instcombine,0.009469900712002266,4.704108796388214e-12
flattencfg,instcombine,0.011428523793452217,1.034767047485006e-17
loop-reduce,instcombine,0.014279911176090454,1.3164572005118884e-26
loop-unroll,instcombine,0.030194980533631288,1.0367113626998669e-92
loop-rotate,instcombine,0.013447329387290763,7.63254949549196e-22
partial-inliner,instcombine,0.011721240107484321,2.9916595440458474e-18
lower-expect,instcombine,0.008940183768457177,8.161583253522102e-11
alignment-from-assumptions,instcombine,0.01138576681447967,1.2502646032191533e-16
rpo-function-attrs,instcombine,0.010249904085371242,1.1332974935099102e-13
attributor,instcombine,0.008761631258367097,2.0324288176344006e-11
inferattrs,instcombine,0.009306927218730332,1.7545363740419514e-11
called-value-propagation,instcombine,0.011261948343253059,7.94052208386313e-17
licm,instcombine,0.017928650498748033,7.664761193587641e-36
loop-simplify,instcombine,0.012567923688610871,1.3424013005496249e-20
div-rem-pairs,instcombine,0.012041211313688793,1.5355636154068684e-19
float2int,instcombine,0.009716163757300278,6.931490774415202e-13
inline,instcombine,0.011752210233228255,1.0638179056975234e-18
sink,instcombine,0.01150264831681147,2.3076764739942145e-16
loop-vectorize,instcombine,0.02034926902144002,9.721079109280114e-43
slp-vectorizer,instcombine,0.010101603855956542,1.2833058938399384e-13
callsite-splitting,instcombine,0.011456067865774189,5.998159648673442e-17
dfa-jump-threading,instcombine,0.011246596955470145,3.1559115521008284e-16
consthoist,instcombine,0.011932753359773618,1.5140313984032546e-18
mldst-motion,instcombine,0.009876301486776762,2.650994333131583e-13
slsr,instcombine,0.01000632675669716,3.5646073576185427e-13
loop-interchange,instcombine,0.01226932189609431,1.1091773934879818e-19
loop-fusion,instcombine,0.011072284282752087,2.1187558392181833e-15
loop-distribute,instcombine,0.010357893785421013,7.06121248757386e-14
loop-load-elim,instcombine,0.010977839417571134,6.787676629914605e-16
loop-sink,instcombine,0.010189773501615151,5.766231885835132e-14
loop-unroll-and-jam,instcombine,0.012328040967454379,1.2658143386206849e-19
hotcoldsplit,instcombine,0.01140276012058794,1.4364909028345707e-16
irce,instcombine,0.012199237260321627,7.061249180021127e-19
