source,target,ate,p_adj
bdce,instcombine,0.01495002795888295,9.771669029085189e-34
bdce,simplifycfg,0.007108441751391914,1.3881941176905968e-06
bdce,dse,0.00952172342053792,1.066456674683828e-11
bdce,gvn,0.005720105776259865,8.615773379824469e-06
loop-reduce,bdce,0.007117328404869394,2.0648680325682464e-06
loop-unroll,bdce,0.010341278645198015,2.717959741471831e-12
bdce,attributor,0.00524186681703992,0.00021542226699294124
loop-vectorize,bdce,0.04124818827524218,1.8414888292921719e-155
loop-versioning,bdce,0.012190292573379391,7.613277559742583e-16
break-crit-edges,bdce,0.00816175714961026,3.311843519916341e-08
mem2reg,ipsccp,0.009334401402603831,7.166012180006533e-18
sroa,ipsccp,0.011814471079055422,2.693056628572022e-29
function-attrs,ipsccp,0.006889812094848624,5.650759827026496e-06
deadargelim,ipsccp,0.005382715931982418,0.0005341713609842168
globaldce,ipsccp,0.005196000473494888,0.0008831915682919204
mergefunc,ipsccp,0.007647303062559618,4.263679965010367e-07
ipsccp,instcombine,0.010872792542656773,6.110911998221886e-18
tailcallelim,ipsccp,0.00589663590135564,0.00013345889751699322
ipsccp,dse,0.008241149922889657,1.3440634732128086e-08
gvn,ipsccp,0.0062159570226588134,1.0435993218368114e-06
newgvn,ipsccp,0.00812660966405826,1.09730402938275e-11
indvars,ipsccp,0.005000528813226435,0.0016150921253775979
libcalls-shrinkwrap,ipsccp,0.006480171016747083,2.1355006558643942e-05
loop-reduce,ipsccp,0.01083351321737036,2.1170354165613952e-13
loop-unroll,ipsccp,0.011082083884136007,7.878852761051573e-14
loop-vectorize,ipsccp,0.042951750052751536,1.2291828050856902e-166
slp-vectorizer,ipsccp,0.006063285634035687,7.559085987929262e-05
loop-load-elim,ipsccp,0.007066183560339889,2.4206741225823694e-06
irce,ipsccp,0.007390011186654666,1.0806940672116427e-06
scalarizer,ipsccp,0.00767455821324875,5.137399906161617e-07
early-cse-memssa,ipsccp,0.009599414732224032,5.671940473094459e-16
loop-versioning,ipsccp,0.014571506713884075,5.914383785230191e-22
loop-reroll,ipsccp,0.005716077926513297,0.00021154755568532683
partially-inline-libcalls,ipsccp,0.005748522734586592,0.0002045473870853146
load-store-vectorizer,ipsccp,0.005377725995400484,0.0005718037484171828
break-crit-edges,ipsccp,0.007007023913863153,3.875787329071694e-06
unreachableblockelim,ipsccp,0.006717641914120498,9.612600724054805e-06
correlated-propagation,instcombine,0.01600563655787013,3.098397415804051e-38
correlated-propagation,dse,0.0114066270239504,3.740213390860627e-16
correlated-propagation,gvn,0.006004566315095605,2.703010935415825e-06
loop-reduce,correlated-propagation,0.009072187906814577,8.505307108718024e-10
loop-unroll,correlated-propagation,0.009265202227195513,4.973695557864958e-10
correlated-propagation,loop-rotate,0.005471550485795673,0.0014018803615624491
correlated-propagation,attributor,0.005722176208974417,5.1551697621086334e-05
licm,correlated-propagation,0.005469470961996126,0.0013424701655506785
loop-vectorize,correlated-propagation,0.0412912497764662,7.173757961148363e-153
irce,correlated-propagation,0.005488541843754247,0.0003477785000699328
early-cse-memssa,correlated-propagation,0.005871672671681039,1.551026444126744e-06
loop-versioning,correlated-propagation,0.011327877754058358,1.5831474280567384e-13
break-crit-edges,correlated-propagation,0.007980278390616213,8.65859489596862e-08
mem2reg,simplifycfg,0.007497542259522039,2.5639832896075443e-11
mem2reg,jump-threading,0.00630995645308452,1.6352657852201983e-08
mem2reg,gvn,0.0213332913465461,3.8846287697437976e-92
mem2reg,early-cse,0.009140766479926066,1.2883105630775848e-17
loop-reduce,mem2reg,0.012401827470309268,2.562486375916524e-29
loop-unroll,mem2reg,0.012675270685059692,2.4533948072427863e-28
mem2reg,loop-rotate,0.012563496048573097,2.9540579680515004e-22
mem2reg,attributor,0.005130998225934769,5.063379631716212e-06
mem2reg,licm,0.021944348495753607,4.3923923736442504e-79
loop-vectorize,mem2reg,0.0919625160990944,0.0
loop-versioning,mem2reg,0.01963516980551544,2.9585800841566663e-56
mem2reg,iroutliner,0.011271826381339778,3.4832043836162985e-26
sroa,instcombine,0.006152580557660436,1.755317428985132e-08
sroa,simplifycfg,0.009485344591787181,2.87251167730815e-18
sroa,jump-threading,0.007265820436520243,2.459124899019496e-11
sroa,gvn,0.023090985878835568,3.2543205151171088e-111
sroa,early-cse,0.008982238613546634,1.6974438963027796e-17
loop-reduce,sroa,0.010292170074758134,4.461061089852502e-21
