source,target,ate,p_adj
mem2reg,bdce,0.005035073615747343,0.0013231280018098617
sroa,bdce,0.0051284797065411225,0.0010241088692333046
bdce,instcombine,0.011582583521628331,1.4683536214598055e-11
bdce,dse,0.008376142665891817,6.919253985432639e-05
loop-idiom,bdce,0.005071609239918895,0.03447313037772986
gvn,bdce,0.006780427511718479,5.649038314827105e-05
newgvn,bdce,0.005807610382582373,0.00044224087736257446
separate-const-offset-from-gep,bdce,0.006263239043937441,0.00611713869085042
called-value-propagation,bdce,0.005557683159301385,0.01633125895636529
loop-vectorize,bdce,0.008030551241693107,0.00032923408100584865
early-cse-memssa,bdce,0.005358107710662752,0.0014421338804925907
loop-flatten,bdce,0.005235760759864205,0.028074826892686196
break-crit-edges,bdce,0.007339462094395288,0.001053710495618575
sroa,ipsccp,0.005681905360325756,0.0002481871823936356
ipsccp,instcombine,0.006672252784699906,0.00031367935084768877
ipsccp,dse,0.01034309475996864,3.9308240373068604e-07
gvn,ipsccp,0.0121694786443734,2.3166967664939232e-14
gvn-sink,ipsccp,0.00511023102176833,0.032084269105247004
loop-vectorize,ipsccp,0.005673626550893318,0.01870560867520418
early-cse-memssa,ipsccp,0.0059879891226765625,0.0002724372486309033
loop-flatten,ipsccp,0.005403637428580188,0.022716216102440113
mem2reg,correlated-propagation,0.005535735607960224,0.00028814004850512184
correlated-propagation,instcombine,0.006299085139835847,0.0007004514394211628
correlated-propagation,dse,0.007921151886840838,0.0002126081014521597
gvn,correlated-propagation,0.005378928954549389,0.0022508219913875745
loop-unroll,correlated-propagation,0.005420719529693474,0.021409770131748246
loop-rotate,correlated-propagation,0.005627572392480906,0.021134854679190043
loop-vectorize,correlated-propagation,0.0072524107158286055,0.001422960778691314
early-cse-memssa,correlated-propagation,0.0060590595824429605,0.00020671057506639726
mem2reg,instsimplify,0.005616629363040249,0.0001810473531991384
mem2reg,instcombine,0.005494541285132104,0.00018568403752707726
mem2reg,simplifycfg,0.01169886381929347,3.2582864223714842e-18
mem2reg,jump-threading,0.012231865665832953,2.1700942672593526e-19
mem2reg,loop-idiom,0.005202691712098972,0.0007641815126026264
mem2reg,gvn,0.008433520776144288,1.8120162896713766e-09
mem2reg,gvn-sink,0.005389894840851395,0.0004896327848842786
mem2reg,early-cse,0.010570710202795097,4.933952716194768e-15
mem2reg,lower-expect,0.005054558784714058,0.0011301069415351431
mem2reg,called-value-propagation,0.0053683926077223165,0.0004876060301376422
mem2reg,licm,0.010142344083192645,1.9193689839149358e-12
mem2reg,inline,0.005119976640576285,0.0009756669882921048
mem2reg,mldst-motion,0.005173464751686063,0.000894390863917596
mem2reg,slsr,0.005857225856990722,0.0001291298983381785
mem2reg,irce,0.005110639617647295,0.0010556927335885788
mem2reg,loop-reroll,0.005537767151866546,0.0003446160007585533
mem2reg,speculative-execution,0.0057946642711433904,0.0001810473531991384
mem2reg,iroutliner,0.012100637062920583,3.235757786724201e-18
sroa,instsimplify,0.008303075916113845,5.967664549056419e-09
sroa,constmerge,0.005218235289791651,0.0008801611526261416
sroa,function-attrs,0.005369086187758387,0.00057009664550334
sroa,elim-avail-extern,0.006103789971837192,5.74105947403337e-05
sroa,instcombine,0.009115607308176565,6.616335627318633e-11
sroa,simplifycfg,0.014224158430600542,9.993693540401298e-27
sroa,memcpyopt,0.00654448036051597,1.2336491973260111e-05
sroa,dce,0.006633622070799705,9.436816022662647e-06
sroa,jump-threading,0.013568756224361045,6.881116671000075e-24
sroa,gvn,0.008911583485923746,1.8627122067028024e-10
sroa,early-cse,0.010446083398050865,7.82336179092536e-15
sroa,mergereturn,0.005553438376887321,0.0003166263844999793
sroa,globalopt,0.005501908790612131,0.0004058320058136337
sroa,strip-dead-prototypes,0.00732381303467905,5.149615086069444e-07
sroa,indvars,0.006270438501229214,3.12220807482152e-05
sroa,mergeicmps,0.006471265050164654,1.6035333980751127e-05
sroa,separate-const-offset-from-gep,0.005434581784380665,0.0004945170325646364
sroa,flattencfg,0.0055560240689541684,0.0003166263844999793
sroa,loop-rotate,0.006166317655944886,0.0001217585797078654
sroa,partial-inliner,0.0056321369196866145,0.0002646580341455381
sroa,lower-expect,0.005849068837244453,0.00013008283834644053
sroa,rpo-function-attrs,0.0060960915897262935,6.18047754785247e-05
sroa,licm,0.012057473612644087,3.511545859418333e-17
sroa,loop-simplify,0.0052040938120473945,0.0008719407200038308
sroa,div-rem-pairs,0.005524329313303489,0.000400485140808259
sroa,inline,0.005501608746652398,0.0003860037774465163
loop-vectorize,sroa,0.005035153866118081,0.003242365660554608
sroa,slp-vectorizer,0.005323648671446246,0.0005720998086642274
sroa,callsite-splitting,0.005155803993103669,0.0009641128819367771
sroa,slsr,0.006283866308875841,3.187144729956857e-05
sroa,loop-fusion,0.006441561999223133,1.8981228935324003e-05
sroa,loop-sink,0.007343877660752451,5.744089527786253e-07
sroa,loop-unroll-and-jam,0.005989326167433862,9.503666741337599e-05
sroa,nary-reassociate,0.006689852061051549,7.689026110800825e-06
sroa,vector-combine,0.00715489069964409,1.4629630955194458e-06
sroa,always-inline,0.005451093207726687,0.0004876060301376422
sroa,simple-loop-unswitch,0.006144964166010014,5.787340564983593e-05
sroa,loop-simplifycfg,0.005185740924053939,0.0009002080404499849
sroa,loop-predication,0.0069029618215668,3.7031911054692196e-06
sroa,speculative-execution,0.005148036270944789,0.0009824935246138863
sroa,partially-inline-libcalls,0.005130608264518333,0.0009969695552158133
sroa,load-store-vectorizer,0.006729986680391098,4.869212697487722e-06
sroa,iroutliner,0.012359017852584975,1.1392980442077033e-18
sroa,global-merge,0.006320476224587646,3.12220807482152e-05
instsimplify,instcombine,0.007480438840293646,3.12220807482152e-05
instsimplify,dse,0.009004097966207658,8.160622604589837e-06
gvn,instsimplify,0.006994492310396894,3.053213994148648e-05
newgvn,instsimplify,0.006830985599137529,1.8981228935324003e-05
separate-const-offset-from-gep,instsimplify,0.005273443257499066,0.021409770131748246
libcalls-shrinkwrap,instsimplify,0.005040236306448231,0.028954988563629235
loop-unroll,instsimplify,0.005817808676592429,0.00903872739067138
licm,instsimplify,0.009606672109401526,5.2259931853839835e-06
loop-instsimplify,instsimplify,0.006921733589913659,0.0012198794242324704
loop-predication,instsimplify,0.0053554165296434975,0.019128638526969752
break-crit-edges,instsimplify,0.01188246533581605,5.3267190678695274e-09
