source,target,ate,p_adj
mem2reg,bdce,0.0058002210575093804,2.5948826478713625e-06
sroa,bdce,0.006363716553999144,1.7735918739991455e-07
bdce,instcombine,0.009426694681384129,1.303377542389509e-12
bdce,simplifycfg,0.00901213650966648,3.4026316618345253e-10
bdce,dse,0.007952563317658645,3.8180524159959105e-08
bdce,jump-threading,0.005472579021060464,0.0003251897803518929
break-crit-edges,bdce,0.012361672790443756,6.539984930338534e-17
sroa,ipsccp,0.00526110832820903,2.830722936812295e-05
ipsccp,instcombine,0.009486807833094801,7.079657431933413e-13
ipsccp,simplifycfg,0.008345189662414765,8.620591526148025e-09
ipsccp,dse,0.008669989027472125,1.787495938133225e-09
loop-unroll,ipsccp,0.006233837948574739,3.7683004759991776e-05
break-crit-edges,ipsccp,0.009692255154735374,9.074043181406715e-11
sroa,correlated-propagation,0.0066445222623667255,6.723564565388953e-08
correlated-propagation,instcombine,0.008771973737846994,3.157897401658953e-11
correlated-propagation,simplifycfg,0.009805699831545334,7.505589303581377e-12
correlated-propagation,dse,0.007696829085356349,1.179398560120911e-07
correlated-propagation,jump-threading,0.007479674793171576,2.518728591093129e-07
loop-unroll,correlated-propagation,0.007769861808790857,1.2127561487049582e-07
licm,correlated-propagation,0.007486099168623694,1.0207677451751417e-06
loop-vectorize,correlated-propagation,0.00515725220706692,0.0012008311266733871
early-cse-memssa,correlated-propagation,0.00599817014026649,4.3727129105448295e-06
break-crit-edges,correlated-propagation,0.012472802751885559,3.213716229539154e-17
mem2reg,function-attrs,0.005287076905701682,2.48246126217277e-05
mem2reg,instcombine,0.007589004983279857,1.3733050855770454e-10
mem2reg,simplifycfg,0.01644300969058249,3.775985392635808e-46
mem2reg,dce,0.0071923483556100565,2.736273235265721e-09
mem2reg,adce,0.005470283362611128,1.6291097491600205e-05
mem2reg,jump-threading,0.014353428894846365,5.809724717397113e-36
mem2reg,gvn,0.01865039256967438,2.854832074334941e-57
mem2reg,early-cse,0.009994495402487757,3.305252521442374e-17
mem2reg,licm,0.011948303082965295,3.220887160602558e-23
mem2reg,mldst-motion,0.005528493350363817,9.188171945289323e-06
mem2reg,loop-interchange,0.005594121919420658,8.284720056963167e-06
mem2reg,iroutliner,0.008029449103837516,1.421637105052947e-11
break-crit-edges,mem2reg,0.006924168360659455,5.24366604319296e-08
sroa,instsimplify,0.006174629813900989,3.5374413938499746e-07
sroa,instcombine,0.007010838249553397,2.736273235265721e-09
sroa,simplifycfg,0.016070797449471652,4.258604464119245e-44
sroa,reassociate,0.0050341698678635916,6.587519912530907e-05
