source,target,ate,p_adj
bdce,instcombine,0.007447391115135593,4.917943752502038e-15
bdce,simplifycfg,0.005109781140320346,1.1922738894120282e-06
bdce,dse,0.006432085381270269,5.884887410367594e-10
bdce,jump-threading,0.005467668572561091,1.9880341637982915e-07
gvn,bdce,0.0074695423792650595,2.81193843440626e-16
break-crit-edges,bdce,0.0067777838936501356,2.223673962577402e-10
ipsccp,instcombine,0.009064079156585136,1.3915784314862423e-21
ipsccp,simplifycfg,0.007242691305764937,1.6027464152992105e-12
ipsccp,dse,0.008036451249771204,4.487427934033137e-15
ipsccp,jump-threading,0.005990591608334372,1.034770057913429e-08
gvn,ipsccp,0.005258723603261906,1.7108554244029214e-08
break-crit-edges,ipsccp,0.0076094443979100035,1.428124034861289e-12
correlated-propagation,instcombine,0.006876685198953625,5.416259636848341e-13
correlated-propagation,simplifycfg,0.006554095895834888,1.683499813046121e-10
correlated-propagation,dse,0.005813637593675536,3.1785968140629056e-08
gvn,correlated-propagation,0.0069374307339847285,3.616725743415673e-14
licm,correlated-propagation,0.005696708462806455,2.447283583867583e-07
break-crit-edges,correlated-propagation,0.008977934560893353,1.9482159565214012e-17
mem2reg,simplifycfg,0.012258272012479032,1.2212949421105576e-55
mem2reg,jump-threading,0.011826538864073366,1.0553803740037676e-50
mem2reg,gvn,0.006611949305166398,1.085048138751554e-15
mem2reg,early-cse,0.007658535407135125,3.52728521544295e-21
mem2reg,licm,0.0060324680932954955,9.574812075135753e-13
mem2reg,iroutliner,0.005126105732484232,7.593766170656599e-10
break-crit-edges,mem2reg,0.005117021791203824,3.727437504735681e-09
sroa,instcombine,0.005237496816676623,1.724758145724482e-10
sroa,simplifycfg,0.01300440050542001,3.1167632937275814e-62
sroa,dce,0.005237308093994808,4.917207157319445e-10
sroa,jump-threading,0.012648441019924905,2.0198317776992432e-57
sroa,gvn,0.007859342215322529,1.4425084472998178e-21
sroa,newgvn,0.005110998906314224,5.150717257357369e-10
sroa,early-cse,0.007248646058996111,7.044368386654087e-19
sroa,licm,0.008335208449364806,5.395921125737193e-23
sroa,iroutliner,0.005662976224511118,1.374873696388742e-11
break-crit-edges,sroa,0.007004306352942469,2.80929270252877e-16
instsimplify,instcombine,0.008202806948327646,5.4455752603185825e-18
instsimplify,simplifycfg,0.005941119131118222,6.1993596313259265e-09
instsimplify,dse,0.00680072312351282,2.8646183291583346e-11
gvn,instsimplify,0.008225422055628206,2.0540934214614404e-19
newgvn,instsimplify,0.005066103835734803,2.6544577836315818e-08
licm,instsimplify,0.00560090112753342,2.889561657191186e-07
break-crit-edges,instsimplify,0.009954195936922705,1.7562200049659525e-21
constmerge,instcombine,0.009486162322610403,9.187979862585846e-24
constmerge,simplifycfg,0.007419081945731987,4.384096317581651e-13
constmerge,dse,0.0077936213393608456,3.427760528586202e-14
constmerge,jump-threading,0.0065692075188531485,2.2937257345110378e-10
gvn,constmerge,0.007337725982188403,9.789646024096395e-16
break-crit-edges,constmerge,0.009182172694026547,4.102216280145085e-18
function-attrs,instcombine,0.00899057490005356,2.136011224456764e-21
function-attrs,simplifycfg,0.008947305904412728,1.745172888102973e-18
function-attrs,dse,0.007843425042006857,2.8759899821793716e-14
function-attrs,jump-threading,0.006423952081536399,6.207782485383245e-10
gvn,function-attrs,0.006424428209987287,3.501767259025937e-12
break-crit-edges,function-attrs,0.008526347948488111,1.5890073286740803e-15
deadargelim,instcombine,0.008468162631518117,4.859745989332948e-19
deadargelim,simplifycfg,0.006228423325723653,1.6592379035851572e-09
deadargelim,dse,0.00647147440873358,4.1208346666818963e-10
deadargelim,jump-threading,0.0058415766019707105,2.112424767438823e-08
gvn,deadargelim,0.005975131751393359,1.0818808933601451e-10
break-crit-edges,deadargelim,0.006651062998226986,4.966741356607772e-10
globaldce,instcombine,0.008712981803598918,5.831996650953997e-20
globaldce,simplifycfg,0.006978447872815874,1.3448132617758194e-11
globaldce,dse,0.007887679290114136,1.9507988167022017e-14
globaldce,jump-threading,0.005428017886409231,2.978606580316461e-07
gvn,globaldce,0.0059303222915213505,1.13012710368781e-10
early-cse-memssa,globaldce,0.005869233095195048,1.5350763672288596e-10
break-crit-edges,globaldce,0.006369077222505903,4.309317204767795e-09
elim-avail-extern,instcombine,0.010704466107193389,4.011279817873734e-30
elim-avail-extern,simplifycfg,0.007447785952345576,2.2343208863303388e-13
elim-avail-extern,dse,0.006721486769965701,7.987582249539778e-11
elim-avail-extern,jump-threading,0.006375562449730809,7.250366835214108e-10
gvn,elim-avail-extern,0.005402202197624828,4.378871671859363e-09
early-cse-memssa,elim-avail-extern,0.005276957375878577,6.2646088823163505e-09
break-crit-edges,elim-avail-extern,0.006537834162552547,1.0327597440189233e-09
mergefunc,instcombine,0.008400532680172768,1.527221439659008e-18
mergefunc,simplifycfg,0.005495386418363668,1.7032784617699244e-07
mergefunc,dse,0.006390577622012894,1.0565743424273122e-09
mergefunc,jump-threading,0.006834731559435703,4.7357425327176556e-11
gvn,mergefunc,0.006755873015138525,2.487943259385248e-13
break-crit-edges,mergefunc,0.008767164656513282,3.0241415974406414e-16
tailcallelim,instcombine,0.008862966699135,6.309684840289786e-21
reassociate,instcombine,0.008938373619280127,3.114511955090069e-21
memcpyopt,instcombine,0.007921188115469269,7.99112598870376e-17
sccp,instcombine,0.008492701358183752,3.1958150968939847e-19
dce,instcombine,0.008659754050862556,9.415011961339441e-20
adce,instcombine,0.007877763446352382,1.040010570513629e-16
loop-idiom,instcombine,0.009950869677399665,1.458554980253535e-25
loop-deletion,instcombine,0.00902267732028128,2.438685028156133e-21
