source,target,ate,p_adj
bdce,instcombine,0.01402031125044162,6.366091868302182e-56
bdce,simplifycfg,0.006980761143474734,1.1564612821253285e-11
bdce,dse,0.008911749890958776,2.0849169649787814e-19
loop-reduce,bdce,0.005950333280638043,1.4096972209514946e-08
loop-unroll,bdce,0.014413189076175226,8.702345066616525e-42
loop-vectorize,bdce,0.03542326358876419,2.142469341695862e-198
loop-versioning,bdce,0.00985938035157391,2.1537316468297932e-19
break-crit-edges,bdce,0.008804211051521627,5.599198582554985e-17
ipsccp,instcombine,0.012204466210145037,4.453416801260056e-41
ipsccp,simplifycfg,0.006119113521862174,6.357500772262033e-09
ipsccp,dse,0.008460851802662261,4.12762448523802e-17
loop-reduce,ipsccp,0.00572614025801732,7.355445867174139e-08
loop-unroll,ipsccp,0.014520066306379309,8.49186830896451e-43
loop-vectorize,ipsccp,0.03400371501843996,7.977003444919854e-179
scalarizer,ipsccp,0.005769262131973374,1.312981331404489e-07
early-cse-memssa,ipsccp,0.005695891217578797,3.5617040839217475e-10
loop-versioning,ipsccp,0.010375984371224556,5.119450468983683e-21
break-crit-edges,ipsccp,0.007959637428147481,6.053834114279478e-14
correlated-propagation,instcombine,0.013412468083643825,5.749483044559914e-50
correlated-propagation,simplifycfg,0.007602989204756938,1.1239840753599967e-13
correlated-propagation,dse,0.008768783249777257,4.259241222931067e-18
loop-reduce,correlated-propagation,0.007518515651553592,5.869974927541324e-13
loop-unroll,correlated-propagation,0.015054011309895254,2.506358848869749e-45
licm,correlated-propagation,0.005109574923205629,1.9196161494823167e-05
loop-vectorize,correlated-propagation,0.03431365714262369,1.8998576101036145e-181
loop-versioning,correlated-propagation,0.008610517232215398,1.1283810001598556e-14
break-crit-edges,correlated-propagation,0.00943784119921992,1.4536266009990523e-19
mem2reg,simplifycfg,0.014038311858924402,4.0537795804680254e-66
mem2reg,jump-threading,0.009852537164290798,2.244815577506274e-32
mem2reg,gvn,0.020436956055158717,5.646324003015879e-137
mem2reg,early-cse,0.0061766508865978564,2.740822873619209e-13
loop-reduce,mem2reg,0.00877726237361165,4.869091739117972e-24
loop-unroll,mem2reg,0.021045507378609274,5.448844326273822e-113
mem2reg,loop-rotate,0.006866162497516315,4.934818124682146e-14
mem2reg,licm,0.01856015179584447,1.2682968536214475e-94
loop-vectorize,mem2reg,0.07183024736587101,0.0
scalarizer,mem2reg,0.005084798834936788,4.887401294317462e-08
loop-versioning,mem2reg,0.016494693584559406,1.2545035770803336e-65
mem2reg,iroutliner,0.006372653249157312,2.8982817082150097e-13
break-crit-edges,mem2reg,0.007807194727660227,2.9495510534815975e-19
sroa,simplifycfg,0.013272143003569492,1.7067572916933835e-58
sroa,jump-threading,0.010051026599841362,5.084439988644716e-32
sroa,gvn,0.02202659032980564,2.6468093657017505e-158
sroa,early-cse,0.007139672869406866,2.3643726067654165e-17
loop-reduce,sroa,0.008565270361298782,4.932083080979465e-23
loop-unroll,sroa,0.020482927422247832,7.733172135290707e-109
sroa,loop-rotate,0.006458365486378681,9.134619158297581e-13
sroa,licm,0.01923913108275127,8.541415173412661e-102
loop-vectorize,sroa,0.07257917313289047,0.0
loop-versioning,sroa,0.015020094043037058,1.010080096346701e-54
sroa,iroutliner,0.005786094854039248,3.501919067646057e-11
break-crit-edges,sroa,0.008231600640645154,1.3656011143944864e-21
instsimplify,instcombine,0.012755308635754414,6.426443326739394e-46
instsimplify,dse,0.007626712802908553,1.2960654258645191e-14
newgvn,instsimplify,0.00654364322409251,2.754315706007614e-13
indvars,instsimplify,0.005009168187799062,1.8134286401202626e-06
loop-reduce,instsimplify,0.007855522830647554,2.926660369962575e-14
loop-unroll,instsimplify,0.016412295256450604,3.547805821660421e-55
licm,instsimplify,0.008530426278044012,6.258776118866079e-14
loop-vectorize,instsimplify,0.03829736495103914,3.54213216448838e-235
loop-interchange,instsimplify,0.005697609335417575,5.011688846204866e-08
loop-sink,instsimplify,0.005762953851287389,3.9457772431078415e-08
irce,instsimplify,0.00620722059518708,3.758188264331755e-09
scalarizer,instsimplify,0.006004010083681288,1.8851351646358104e-08
early-cse-memssa,instsimplify,0.007539586503226892,4.391794959373943e-17
loop-versioning,instsimplify,0.010883199279639988,1.5897757263838164e-23
break-crit-edges,instsimplify,0.010841849503646472,8.234052006796679e-26
constmerge,instcombine,0.015254891391702441,1.6750890112824314e-64
constmerge,simplifycfg,0.008658548243225206,3.48770281330882e-17
constmerge,dse,0.011459924810157951,7.654615381106417e-31
constmerge,jump-threading,0.007296659774229719,2.46930876327143e-12
loop-reduce,constmerge,0.006814330377637179,1.2333076639275626e-10
loop-unroll,constmerge,0.01087524343074825,6.665985896205554e-24
constmerge,attributor,0.006509430758703139,5.706365981798982e-11
loop-vectorize,constmerge,0.031391731527453615,6.910279229954947e-151
loop-versioning,constmerge,0.006923845079220781,9.915718174448756e-10
break-crit-edges,constmerge,0.007624481219894508,6.984605969950804e-13
function-attrs,instcombine,0.015343693647940082,1.9988997817367954e-66
function-attrs,simplifycfg,0.011277587968747393,3.327001910211922e-28
function-attrs,dse,0.01214441909543007,2.8238463358191357e-33
function-attrs,jump-threading,0.00664269829437808,2.785760290994752e-10
function-attrs,gvn,0.005281229651170283,4.189449112496329e-08
function-attrs,early-cse,0.006056891730498559,1.5506403614810432e-09
loop-reduce,function-attrs,0.00542501722887101,4.435061500656738e-07
loop-unroll,function-attrs,0.010313313560798842,1.5655390931599793e-21
function-attrs,attributor,0.006740487097871395,7.086201699242305e-12
loop-vectorize,function-attrs,0.03139374837630288,1.5672820262538858e-148
loop-versioning,function-attrs,0.009289077042179184,1.3739479058187236e-16
break-crit-edges,function-attrs,0.007253717546811367,9.364481303390931e-12
deadargelim,instcombine,0.015346602787306152,1.0342567500244132e-63
deadargelim,simplifycfg,0.009903381531118971,4.963052678761118e-22
deadargelim,dse,0.011112960728630883,1.8304541581480942e-28
deadargelim,jump-threading,0.0061041961734362715,6.651993136454718e-09
deadargelim,gvn,0.00715916857851423,7.998610752293098e-14
loop-reduce,deadargelim,0.005039094187485549,4.0913268330044735e-06
loop-unroll,deadargelim,0.010407722236753847,1.1234070003869981e-21
deadargelim,attributor,0.005856821890744768,5.8725441694515195e-09
loop-vectorize,deadargelim,0.03385381563029216,6.613892002342136e-172
loop-versioning,deadargelim,0.009455735318031344,3.48770281330882e-17
break-crit-edges,deadargelim,0.007400943176934405,2.7250462778632177e-12
globaldce,instcombine,0.014880162350914272,2.0086971866131755e-62
globaldce,simplifycfg,0.010668177195081563,1.7884364455355234e-25
globaldce,dse,0.011297025874519528,1.6876894625173076e-29
globaldce,jump-threading,0.006216538500886493,2.967336383745177e-09
globaldce,gvn,0.005294707203740867,3.139643672045415e-08
globaldce,early-cse,0.005962159968408265,2.641632849829577e-09
loop-unroll,globaldce,0.0105459803242694,2.6871191037767514e-22
globaldce,attributor,0.006331431800261522,1.6894564934693378e-10
loop-vectorize,globaldce,0.030857314771947253,1.6798750658356497e-145
loop-versioning,globaldce,0.0068687920876482345,1.547607787073769e-09
break-crit-edges,globaldce,0.006464462961100814,1.7219754282122751e-09
elim-avail-extern,instcombine,0.01496146982890123,3.8384084640484965e-62
elim-avail-extern,simplifycfg,0.009593558900602484,5.328838471796281e-21
elim-avail-extern,dse,0.011155990403911908,6.259020212870769e-29
elim-avail-extern,jump-threading,0.007369713804727784,1.0625402201937926e-12
elim-avail-extern,gvn,0.005071363602776546,1.1006049082830204e-07
loop-reduce,elim-avail-extern,0.005825514518066122,5.634658041966173e-08
loop-unroll,elim-avail-extern,0.011681418107313102,1.1678932438294374e-27
elim-avail-extern,attributor,0.006559894254603071,2.1753466595424225e-11
loop-vectorize,elim-avail-extern,0.03205940093868648,5.567414766649493e-159
loop-versioning,elim-avail-extern,0.006147893324892906,5.9405419211000823e-08
break-crit-edges,elim-avail-extern,0.00818159302207383,6.844164656124326e-15
mergefunc,instcombine,0.0145393878528699,1.989242851810592e-58
mergefunc,simplifycfg,0.011091441177048578,1.9854421345013096e-27
mergefunc,dse,0.011916107610545512,3.642482885262299e-32
mergefunc,jump-threading,0.006427389636930625,1.024019991538149e-09
mergefunc,gvn,0.005162211914337134,9.402801505839106e-08
loop-unroll,mergefunc,0.010033351362288057,2.8117641533483953e-20
mergefunc,attributor,0.006255004165944322,6.305098256921568e-10
loop-vectorize,mergefunc,0.030751800256161532,1.3369244251690408e-141
loop-versioning,mergefunc,0.008167675850096257,7.659313791279552e-13
break-crit-edges,mergefunc,0.00626076405210102,6.399144753974738e-09
simplifycfg,instcombine,0.005851948557113185,1.3673448526420818e-10
tailcallelim,instcombine,0.01584592867535123,4.121410989339089e-69
reassociate,instcombine,0.014755024581049048,1.507151423207093e-59
memcpyopt,instcombine,0.013952678495526838,1.7410561569395897e-54
sccp,instcombine,0.013269518166435956,6.397915246148292e-49
dce,instcombine,0.015635022105697893,1.4355824558113718e-67
adce,instcombine,0.01254518436521923,6.054365411922731e-44
jump-threading,instcombine,0.008550304783746465,4.829051692547621e-21
loop-idiom,instcombine,0.016425091605416275,3.7693881078623194e-75
loop-deletion,instcombine,0.016047972396127208,3.693739200677675e-70
gvn,instcombine,0.0402595794859999,0.0
gvn-hoist,instcombine,0.015848048328709785,5.8849194723157456e-71
gvn-sink,instcombine,0.01635394647091709,5.6041922537318395e-77
newgvn,instcombine,0.030294140083602705,4.07370282337659e-302
early-cse,instcombine,0.01184062188744417,4.2339422144204486e-42
mergereturn,instcombine,0.014446187093350826,4.6682578713617033e-57
globalopt,instcombine,0.017153388090939414,1.0373716259345074e-81
strip-dead-prototypes,instcombine,0.014625984276497583,6.659370639713242e-60
indvars,instcombine,0.01568500339363932,3.794009848847538e-69
mergeicmps,instcombine,0.014746607117090638,1.0702736770821816e-60
separate-const-offset-from-gep,instcombine,0.015503869847007967,1.1810861842810966e-65
libcalls-shrinkwrap,instcombine,0.014425040977404102,4.737820896393594e-58
flattencfg,instcombine,0.01438713837140132,2.9313853513165935e-58
loop-reduce,instcombine,0.022504416136083838,2.0944970103075568e-140
loop-unroll,instcombine,0.029643425606504514,8.753271805005318e-217
loop-rotate,instcombine,0.011608477524239547,2.694041994412527e-35
partial-inliner,instcombine,0.016302302237674315,9.585126855926745e-74
lower-expect,instcombine,0.013832408943896202,8.727212356930859e-54
alignment-from-assumptions,instcombine,0.015342828678025389,7.472667139757031e-65
rpo-function-attrs,instcombine,0.014379168013711308,7.730896107481778e-57
attributor,instcombine,0.01254366450374017,2.276394486647575e-47
inferattrs,instcombine,0.016160904448364988,6.155298456687583e-73
called-value-propagation,instcombine,0.01583701770803414,1.0600334473498672e-68
licm,instcombine,0.023124193186237485,4.5921672720581904e-126
loop-simplify,instcombine,0.01509099192379032,1.4304773595572966e-63
div-rem-pairs,instcombine,0.015013506447739577,1.6600964773077576e-62
float2int,instcombine,0.01455308532437849,6.910428972643684e-59
inline,instcombine,0.015428683743587912,1.2545035770803336e-65
sink,instcombine,0.015961386339720662,1.172906563569365e-68
loop-vectorize,instcombine,0.05765017370207082,0.0
slp-vectorizer,instcombine,0.014988621681849557,9.102794448552672e-63
callsite-splitting,instcombine,0.016568348539358235,1.0772517423100872e-76
dfa-jump-threading,instcombine,0.015068006669518907,1.437832360912102e-62
consthoist,instcombine,0.015357718018162547,2.010063188702636e-65
