source,target,ate,p_adj
bdce,instcombine,0.010739234257242103,1.9251455970025948e-106
bdce,simplifycfg,0.006797496507815637,2.7513635053912184e-36
bdce,dse,0.0070296047961055375,2.3808775247496385e-39
loop-unroll,bdce,0.008932297918323728,1.9546857826886097e-56
loop-vectorize,bdce,0.01848612570684649,1.115627444826747e-217
break-crit-edges,bdce,0.008629079110302529,5.588775953316748e-54
sroa,ipsccp,0.005065329140686692,1.1258786902419518e-29
ipsccp,instcombine,0.009731443072057644,5.571751525334842e-86
ipsccp,simplifycfg,0.005681054175770306,2.9402115628138446e-25
ipsccp,dse,0.007933966464344466,7.39701598229569e-49
loop-unroll,ipsccp,0.00995761925246419,6.886995648800897e-70
loop-vectorize,ipsccp,0.018127082131105365,3.8181594275965526e-206
break-crit-edges,ipsccp,0.008124088326928347,2.0623578906673865e-47
correlated-propagation,instcombine,0.010513824310627473,1.2164487935831742e-101
correlated-propagation,simplifycfg,0.007598935666527196,3.298353930637009e-45
correlated-propagation,dse,0.0072425873986928235,4.0454164973906895e-41
loop-unroll,correlated-propagation,0.010052266628451267,2.5983816502460422e-71
licm,correlated-propagation,0.005409520544139068,2.588193972748996e-20
loop-vectorize,correlated-propagation,0.01739207201022519,7.578792187261353e-191
break-crit-edges,correlated-propagation,0.00876236163108357,9.408257944477835e-56
mem2reg,instcombine,0.005945918185514265,5.397969469871539e-43
mem2reg,simplifycfg,0.01261364850680291,5.123594243820358e-188
mem2reg,jump-threading,0.010473700229934102,3.420511250231449e-128
mem2reg,gvn,0.01540370832976673,6.995441273676878e-270
mem2reg,early-cse,0.008151553564966718,3.484388718101053e-78
loop-unroll,mem2reg,0.013517608908764578,1.1964808500835812e-175
mem2reg,licm,0.012230728721380202,2.6199627551359826e-156
loop-vectorize,mem2reg,0.034333636593254835,0.0
mem2reg,iroutliner,0.0094724417094037,4.396734400587108e-102
break-crit-edges,mem2reg,0.005444871394589046,1.958509100770719e-32
sroa,instcombine,0.006624908531413953,1.747069308422457e-53
sroa,simplifycfg,0.01287174377223227,1.162474589023083e-194
sroa,jump-threading,0.010791467026137869,1.4382976243604639e-133
sroa,gvn,0.015883640120098463,9.705823374726422e-287
sroa,early-cse,0.008350195772273306,3.352496259670343e-82
loop-unroll,sroa,0.013346480274854466,1.3917079219086743e-172
sroa,licm,0.013208120490155684,2.558773395641023e-183
loop-vectorize,sroa,0.034145914888522644,0.0
sroa,iroutliner,0.009841946749010844,5.001113420501795e-110
break-crit-edges,sroa,0.005227198097840835,2.6169117290066655e-30
instsimplify,instcombine,0.009338892009745359,1.0720749124582404e-80
instsimplify,dse,0.006040923234438944,4.149312927205285e-30
loop-unroll,instsimplify,0.010624029102183574,1.251103148640662e-81
licm,instsimplify,0.006461296442929643,2.538862602895078e-29
loop-vectorize,instsimplify,0.020421476623761092,2.784646269990189e-271
early-cse-memssa,instsimplify,0.00586984570232868,2.3388335343119845e-35
loop-versioning,instsimplify,0.005094971825947314,1.116069570104807e-19
break-crit-edges,instsimplify,0.009724097766167783,5.934542102254205e-70
constmerge,instcombine,0.011540758419540442,8.006918822494717e-122
constmerge,simplifycfg,0.007952639449255616,8.59805848279579e-49
constmerge,dse,0.008170968153832614,2.1233498739435492e-52
constmerge,jump-threading,0.0057474015941457735,6.571857180989775e-26
loop-unroll,constmerge,0.00809710100018729,1.821548392929919e-46
loop-vectorize,constmerge,0.015531623926878957,1.3030837171230464e-151
