pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,0.0010663940241939507,0.14041110159346779,0.8883447265624156,1512,1455,0.9959781919059166,False
bdce,correlated-propagation,0.0031848605353059223,0.3763017359512739,0.7067199590994717,1437,1539,0.9889086270692753,False
bdce,mem2reg,-0.0018807997232929696,-0.2881783622748922,0.7732298775894765,1474,1571,0.9906048351763604,False
bdce,sroa,-0.0039034061540508813,-0.5634207186299192,0.573190919096584,1479,1520,0.9858485348777188,False
bdce,instsimplify,-0.013012665938548273,-1.6816186002277527,0.09274794488168289,1466,1520,0.9825424945573076,False
bdce,constmerge,0.008027187941390235,0.976083251894546,0.3291023275920745,1540,1454,0.9825424945573076,False
bdce,function-attrs,-0.01502983488811771,-1.7953939934964724,0.0727035049348903,1401,1482,0.9825424945573076,False
bdce,deadargelim,-0.0034435083757184404,-0.4303614643203071,0.6669633888747535,1568,1492,0.9862854455488343,False
bdce,globaldce,0.005545830845750166,0.796501619448214,0.4258039788807287,1541,1492,0.9825424945573076,False
bdce,elim-avail-extern,-0.0018437324984649783,-0.23809684704463766,0.8118225619775209,1461,1484,0.9906048351763604,False
bdce,mergefunc,-0.0010884526671540717,-0.13492585126928158,0.8926801542175681,1470,1517,0.9964612402361671,False
bdce,instcombine,0.00228225356832773,0.3698098310252293,0.7115505313220365,1426,1571,0.9906048351763604,False
bdce,simplifycfg,0.0011935265060213363,0.1576278700836747,0.8747604411635572,1544,1538,0.995029517209555,False
bdce,tailcallelim,0.004191176228644122,0.5638573000672453,0.5728938308539274,1479,1506,0.9858485348777188,False
bdce,reassociate,0.0019783413573968844,0.24488978854760554,0.8065587372234613,1458,1544,0.9906048351763604,False
bdce,memcpyopt,-0.0058631293288933795,-0.6685813446876048,0.5038153925596408,1478,1492,0.983837358623912,False
bdce,sccp,0.010940924318147971,1.469864549299723,0.1416997946729583,1635,1484,0.9825424945573076,False
bdce,dce,-0.0036823130526608128,-0.501273058577939,0.6162158109728894,1470,1529,0.9858485348777188,False
bdce,adce,0.007566103788897771,1.031441070346361,0.3024160973812857,1492,1550,0.9825424945573076,False
bdce,dse,-0.008732321350246153,-1.1544432531142588,0.24841363959843282,1435,1485,0.9825424945573076,False
bdce,jump-threading,-0.005014363849360048,-0.6435106259034759,0.5199427695032977,1511,1452,0.983837358623912,False
bdce,loop-idiom,0.006651579280432696,0.8627801385349129,0.38832911871581427,1449,1482,0.9825424945573076,False
bdce,loop-deletion,0.0008989735576924174,0.11622066353757853,0.9074852177146683,1553,1540,0.9968657707611676,False
bdce,gvn,-0.010227266857546657,-1.2647683538520014,0.20605395134701654,1466,1515,0.9825424945573076,False
bdce,gvn-hoist,0.00570424891533855,0.716685952808552,0.473622994860567,1530,1513,0.9825424945573076,False
bdce,gvn-sink,0.004733920445691153,0.5840430735719196,0.5592367423725468,1411,1492,0.9858485348777188,False
bdce,newgvn,-0.0030972647667670272,-0.4780263081473203,0.6326663982550406,1547,1450,0.9858485348777188,False
bdce,early-cse,0.001893674230742659,0.25025774867191813,0.8024050695604139,1531,1505,0.9906048351763604,False
bdce,mergereturn,-0.0110651210277119,-1.530944972421376,0.12588871204276098,1511,1491,0.9825424945573076,False
bdce,globalopt,-0.004048809208558712,-0.5380603760353865,0.5905760680826209,1517,1429,0.9858485348777188,False
bdce,strip-dead-prototypes,-0.0040393809471331865,-0.5269605059352513,0.598261362738743,1444,1545,0.9858485348777188,False
bdce,indvars,-0.00018519049922854913,-0.02444098639320298,0.9805024993428643,1483,1499,0.998893894800863,False
bdce,mergeicmps,0.005160168893644568,0.6738520206029326,0.5004595486600808,1569,1449,0.9838343417092096,False
bdce,separate-const-offset-from-gep,0.0023192003267447636,0.28866650522871956,0.7728571936666879,1454,1457,0.9906048351763604,False
bdce,libcalls-shrinkwrap,0.009317213973636163,1.2257587556269942,0.2203883075248165,1531,1443,0.9825424945573076,False
bdce,flattencfg,0.002947576968764798,0.39213511948303875,0.6949852842272852,1601,1513,0.988560200302095,False
bdce,loop-reduce,0.01567758704189498,1.9794497072307022,0.047859493945011516,1498,1500,0.9825424945573076,False
bdce,loop-unroll,0.01321490982168233,1.614130809463102,0.10660724395369141,1515,1492,0.9825424945573076,False
bdce,loop-rotate,-0.006981255027115607,-0.8911127208814598,0.3729408404515297,1452,1522,0.9825424945573076,False
