pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.013791436096810383,-1.8783163855155656,0.060472120929466494,1087,1082,0.7729977239171516,False
bdce,correlated-propagation,0.006530091563806684,0.8857483763582751,0.37584777675661807,1114,1139,0.9502022310408844,False
bdce,mem2reg,0.004544526884070976,1.3226145440559525,0.18610224369074738,1127,1091,0.8754403855060268,False
bdce,sroa,-0.005125346114844553,-1.460935079661018,0.14418259883817147,1064,1042,0.8648341678559794,False
bdce,instsimplify,0.005418705329289286,0.7379495589538121,0.4606234528225915,1106,1106,0.9687293080119685,False
bdce,constmerge,-0.007702307756550786,-1.0306311556289465,0.30282763329352214,1096,1097,0.9301799375126703,False
bdce,function-attrs,0.000427239136643609,0.05845463961578679,0.9533916978496848,1141,1105,0.9942648800181039,False
bdce,deadargelim,0.003982137891847037,0.5415666870497071,0.5881724493026922,1063,1127,0.9874161299839842,False
bdce,globaldce,0.009640736050953447,1.3066698201451536,0.19146158598706955,1067,1134,0.8780001857299028,False
bdce,elim-avail-extern,-0.0015967222061542552,-0.21643867218123353,0.8286658642063566,1114,1091,0.9942648800181039,False
bdce,mergefunc,-0.002851282508994857,-0.3825001222913314,0.702127144054162,1108,1111,0.9942648800181039,False
bdce,instcombine,0.005064702170403834,0.7817181067082709,0.43446100145720695,1131,1163,0.9687293080119685,False
bdce,simplifycfg,0.010208343908891138,1.4058744467652988,0.1599025149225894,1074,1138,0.8754403855060268,False
bdce,tailcallelim,4.138243640711137e-05,0.005840344735220378,0.9953406462515344,1053,1105,0.9993802249402087,False
bdce,reassociate,-0.008765127602022527,-1.1729552327947774,0.24094038119048536,1115,1094,0.9167285287950414,False
bdce,memcpyopt,-0.009263197797344802,-1.2278071388720004,0.21965156807483022,1061,1141,0.9085781878347714,False
bdce,sccp,0.007711200677026242,1.0311324109411977,0.30259349294097404,1083,1092,0.9301799375126703,False
bdce,dce,-0.014555165028577732,-1.8985091562532792,0.05776246652147243,1104,1055,0.7653065620923821,False
bdce,adce,0.00611830249652251,0.8415429930299065,0.4001342774810444,1103,1130,0.9502022310408844,False
bdce,dse,-0.002418652909075336,-0.33660974014228906,0.7364437912970284,1121,1049,0.9942648800181039,False
bdce,jump-threading,-0.0037734955489740485,-0.5145841596174437,0.6068951648506717,1107,1102,0.9874161299839842,False
bdce,loop-idiom,-0.001522001260104433,-0.20074848907973786,0.8409142351317924,1072,1088,0.9942648800181039,False
bdce,loop-deletion,0.0026612517947261494,0.3661417453326516,0.7142936998974714,1105,1155,0.9942648800181039,False
bdce,gvn,0.008456083766199052,1.3438891719692085,0.17912462494449516,1096,1081,0.8754403855060268,False
bdce,gvn-hoist,-0.010026016472948818,-1.3332727872670767,0.18258734562152518,1063,1033,0.8754403855060268,False
bdce,gvn-sink,0.009836044732511873,1.3248116702440738,0.1853704521584783,1099,1120,0.8754403855060268,False
bdce,newgvn,-0.011591669157448359,-1.8340723016497615,0.06677746702871228,1125,1092,0.7829358110312493,False
bdce,early-cse,0.004814076531511002,0.6996385259462203,0.48422428873479584,1162,1133,0.9726252030341583,False
bdce,mergereturn,-0.009764505601084605,-1.323664947697961,0.18575280603589156,1163,1037,0.8754403855060268,False
bdce,globalopt,-0.008591340187366958,-1.1325743414239948,0.2575205156109786,1065,1071,0.922998223890889,False
bdce,strip-dead-prototypes,-0.009704891125379533,-1.322642132115874,0.18609170477769732,1115,1090,0.8754403855060268,False
bdce,indvars,0.0026831801879839134,0.3719138056854711,0.7099922679676961,1113,1125,0.9942648800181039,False
bdce,mergeicmps,-0.014064814182421781,-1.8810738475229356,0.06009254784313402,1092,1144,0.7729977239171516,False
bdce,separate-const-offset-from-gep,-0.00019739260828316452,-0.027154709217206852,0.978338828536691,1089,1090,0.9990198037713872,False
bdce,libcalls-shrinkwrap,-0.004888784816020453,-0.6526582460496815,0.5140460732636479,1061,1111,0.9774238917491724,False
bdce,flattencfg,0.004389760910139928,0.6001883024741939,0.5484402142148531,1122,1167,0.9786961826004837,False
bdce,loop-reduce,0.005855978501721315,0.8092067563777204,0.4184821413593184,1128,1117,0.9674002748306321,False
bdce,loop-unroll,0.0018548962462039964,0.25069646135370666,0.8020721443058229,1094,1114,0.9942648800181039,False
bdce,loop-rotate,0.013462683238409712,1.8010012675606573,0.07183673346161763,1156,1110,0.7840748251100543,False
bdce,partial-inliner,-0.007862687068527774,-1.0553169896365666,0.2913961142452461,1123,1083,0.9279993210434955,False
bdce,lower-expect,-0.0007388548149637186,-0.0992172664893869,0.9209748308580102,1050,1167,0.9942648800181039,False
bdce,alignment-from-assumptions,-0.00443801106823416,-0.5891731984301315,0.5558066884050998,1066,1099,0.9809315953038664,False
bdce,rpo-function-attrs,-0.001136024569254046,-0.15346026642160746,0.8780493598038446,1148,1069,0.9942648800181039,False
bdce,attributor,-0.004759161683416169,-1.2815680546620154,0.20013427553242696,1053,1079,0.8916107201194358,False
bdce,inferattrs,-0.009682515400694924,-1.371301686600851,0.1704201196971427,1125,1088,0.8754403855060268,False
bdce,called-value-propagation,-0.006124818822325739,-0.8178338329473362,0.413543923663968,1116,1027,0.9633777543534199,False
bdce,licm,0.0033807613670731596,0.42445860969831395,0.6712723445182655,1111,1121,0.9924421532503569,False
bdce,loop-simplify,0.012897629003707445,1.7714361840240047,0.07662425267127014,1130,1114,0.7893264998405759,False
