pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,0.0025027670009226677,0.4287187176470745,0.6681528017583809,1869,1920,0.9968630408000027,False
bdce,correlated-propagation,-0.0005251883099240406,-0.09510123286736369,0.9242393378663495,1973,1906,0.9968630408000027,False
bdce,mem2reg,-0.0017823830701915178,-0.3880588034977225,0.6979946118704896,1918,1847,0.9968630408000027,False
bdce,sroa,-0.0036907475686456803,-0.7898474448732894,0.4296661893962372,1926,1891,0.9861469052187674,False
bdce,instsimplify,-0.00480782565471255,-0.8537415684698837,0.3933039626115446,1823,1860,0.9861469052187674,False
bdce,constmerge,-0.004052575087023169,-0.6707994293511659,0.5023904123472445,1863,1868,0.9908448716237747,False
bdce,function-attrs,0.0008726800448037864,0.1544951744606504,0.8772276828273672,1859,1915,0.9968630408000027,False
bdce,deadargelim,-0.0023799837765702825,-0.41499460660297327,0.6781692228438132,1934,1892,0.9968630408000027,False
bdce,globaldce,-0.007915159800993665,-1.4136027532036533,0.15756573196562793,1780,1795,0.9495163936683377,False
bdce,elim-avail-extern,0.00511578934234419,0.8901532756686125,0.3734416598542662,1921,1823,0.9861469052187674,False
bdce,mergefunc,0.0058474695085157236,1.0036346127255493,0.31562119588591325,1806,1950,0.9861469052187674,False
bdce,instcombine,0.002532572790624854,0.5259845448156072,0.5989294072039689,1969,1864,0.9968630408000027,False
bdce,simplifycfg,0.0017510364617925878,0.2994497004544392,0.7646140427278713,1826,1818,0.9968630408000027,False
bdce,tailcallelim,-0.004373675753302997,-0.7953380794904475,0.42646726095560566,1901,1850,0.9861469052187674,False
bdce,reassociate,0.007558001638957812,1.2829782628333046,0.1995830854870816,1776,1805,0.9737276274633986,False
bdce,memcpyopt,0.002650776409921174,0.45287664642904557,0.6506637243084132,1859,1942,0.9968630408000027,False
bdce,sccp,-0.008157294051989783,-1.3598720855810889,0.17395484610726256,1844,1995,0.9495163936683377,False
