pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,0.0007889111137346916,0.2052280510805199,0.8373992091802782,4006,3971,0.9916488932927471,False
bdce,correlated-propagation,-0.0001346039274649491,-0.03524388355860807,0.9718861510948497,3967,4019,0.9947809021185064,False
bdce,mem2reg,-0.003298561944987455,-1.1209640096240359,0.26233772300973557,3968,3852,0.9714699540376331,False
bdce,sroa,0.0009300442862809621,0.31380211079561016,0.7536795465205541,3941,4050,0.9916488932927471,False
bdce,instsimplify,-0.0015693686325627398,-0.4161695098382984,0.677297089904766,4011,4022,0.9916488932927471,False
bdce,constmerge,0.0002882818856244085,0.07514500489809592,0.9401012249358656,4085,3910,0.9947809021185064,False
bdce,function-attrs,0.003295392610206338,0.8368034080697531,0.4027278830726467,4116,3960,0.9916488932927471,False
bdce,deadargelim,0.005477886195905612,1.4575827953710199,0.14499415345359776,4053,4089,0.9674113070300077,False
bdce,globaldce,0.002909077394153081,0.7438983214107764,0.45695984113144134,4078,3980,0.9916488932927471,False
bdce,elim-avail-extern,-0.004682723726301519,-1.2408247163521322,0.21470615103804824,4069,4103,0.9714699540376331,False
bdce,mergefunc,0.0023080263180838,0.5780914481595842,0.5632188408471748,3968,3963,0.9916488932927471,False
bdce,instcombine,0.0033929555103001108,0.9598427217040164,0.3371636301942555,3946,3995,0.9916488932927471,False
bdce,simplifycfg,0.0027998635316180964,0.7298715228672354,0.46549047322162296,3914,3948,0.9916488932927471,False
bdce,tailcallelim,-0.006738442734964212,-1.7928622711402327,0.0730318272186806,4078,4127,0.9396695865110337,False
bdce,reassociate,-0.009368171420478355,-2.3775427544758614,0.017452049264917602,4067,3846,0.8305358680276428,False
bdce,memcpyopt,0.003403247806840537,0.8754771746434593,0.3813406504137546,4057,3939,0.9916488932927471,False
bdce,sccp,-0.0049192040849433405,-1.2995259134379302,0.19380042049280258,4116,4006,0.9714699540376331,False
bdce,dce,0.00019995429226143946,0.05112850934319635,0.959224411636247,3946,3955,0.9947809021185064,False
bdce,adce,-0.006644430662662848,-1.7591676140815575,0.0785866122539832,4066,4076,0.9396695865110337,False
bdce,dse,0.002165291793344626,0.5838716085270508,0.5593225842593303,4111,4181,0.9916488932927471,False
bdce,jump-threading,0.0007537468614692844,0.19616660651021622,0.8444847080207554,4004,4063,0.9916488932927471,False
bdce,loop-idiom,-0.008136341940711223,-2.1045559767314392,0.03536087359392518,4081,3979,0.8631065494020995,False
bdce,loop-deletion,-0.004731425883295504,-1.2435313853645331,0.21370791441413528,3985,4196,0.9714699540376331,False
bdce,gvn,-0.0016735364701190303,-0.4986583470942031,0.6180339895495557,3958,3938,0.9916488932927471,False
bdce,gvn-hoist,-0.0018676567561402013,-0.49372492501734566,0.6215137244229791,4026,4157,0.9916488932927471,False
bdce,gvn-sink,-0.0026335663682365285,-0.6877434391749976,0.4916342449676517,4005,4020,0.9916488932927471,False
bdce,newgvn,0.0019249032903088659,0.613033115233107,0.5398718215491072,3978,4048,0.9916488932927471,False
bdce,early-cse,-0.004133038881328155,-1.1718386033596349,0.24129596944853918,4146,4055,0.9714699540376331,False
bdce,mergereturn,-0.0030493693701070246,-0.7949244552151704,0.42668093235228766,4045,3993,0.9916488932927471,False
bdce,globalopt,0.0031696812131191687,0.8330395078382261,0.4048471127972325,3990,4080,0.9916488932927471,False
bdce,strip-dead-prototypes,0.001955468244509262,0.5113280510574267,0.6091353378441852,3977,4117,0.9916488932927471,False
bdce,indvars,-0.0012626771453133068,-0.3306601179726646,0.7409097803774498,4134,3996,0.9916488932927471,False
bdce,mergeicmps,-0.0027232055483702444,-0.6954022448246542,0.48682331804895623,4001,4055,0.9916488932927471,False
bdce,separate-const-offset-from-gep,-0.0077113914785283955,-1.9883870171553553,0.04680337318331257,3949,3949,0.9086389285374421,False
bdce,libcalls-shrinkwrap,0.0006339560747635198,0.16478397532747635,0.8691182208330873,4002,3935,0.9916488932927471,False
bdce,flattencfg,-0.0006634059338984089,-0.1736762802057612,0.8621242548439604,3989,4054,0.9916488932927471,False
bdce,loop-reduce,-0.0035307550929632447,-0.9086741089974434,0.3635496723469408,3970,4002,0.9916488932927471,False
bdce,loop-unroll,-0.0037473496650290983,-0.9858309645936689,0.3242461301788875,3961,3975,0.9916488932927471,False
bdce,loop-rotate,0.002043291179585016,0.5174984859165453,0.6048226974989024,3981,3931,0.9916488932927471,False
bdce,partial-inliner,7.932043011305012e-05,0.020763448652792223,0.9834348762722163,3950,4002,0.9956642652278399,False
bdce,lower-expect,0.0029903973483638158,0.7744713914354328,0.4386749738816839,3978,4022,0.9916488932927471,False
bdce,alignment-from-assumptions,0.0028761241499705714,0.757968528082878,0.44849190031584113,4116,3980,0.9916488932927471,False
bdce,rpo-function-attrs,0.0018906836908681446,0.49165976811576784,0.6229734965813201,3882,4060,0.9916488932927471,False
bdce,attributor,-0.003924533925689699,-1.1049323419794697,0.26922182330756095,4015,4065,0.9714699540376331,False
bdce,inferattrs,0.006366103857255223,1.6648522050768086,0.09598074278625975,4048,4092,0.9396695865110337,False
bdce,called-value-propagation,-0.003316408424369033,-0.8644176988255592,0.38738437202481757,4044,3964,0.9916488932927471,False
bdce,licm,-0.0008586192910184365,-0.2147054145465309,0.8300024929627281,3978,4020,0.9916488932927471,False
