pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.012553769695815675,-1.216032197913599,0.22414336186605138,818,867,0.9480795281511335,False
bdce,correlated-propagation,-0.0005306050000202234,-0.050491589979071085,0.9597364792432314,841,894,0.9958950960331937,False
bdce,mem2reg,-0.012744662537606588,-1.6186379076556563,0.10571097774014797,859,841,0.9299306761184165,False
bdce,sroa,-0.010981315552467563,-1.615610619875809,0.1063531727108724,891,922,0.9299306761184165,False
bdce,instsimplify,-0.006916184976052342,-0.6645091833809063,0.5064544937452917,860,844,0.9768003638565478,False
bdce,constmerge,0.019193722281022563,1.8399332679473064,0.0659525795039553,822,879,0.9299306761184165,False
bdce,function-attrs,-0.0035284774112621653,-0.32433585374717394,0.7457239869713566,878,819,0.9880581552424527,False
bdce,deadargelim,-0.006614666657007939,-0.6314853911592692,0.5278071595045292,861,860,0.9768003638565478,False
bdce,globaldce,0.0036507097130887844,0.32411840313899204,0.745889215794298,870,797,0.9880581552424527,False
bdce,elim-avail-extern,-0.0010562298210150534,-0.0973220174213669,0.9224824654916476,818,845,0.9953004618087684,False
bdce,mergefunc,0.011851574230075934,1.136613395854525,0.25585782356929354,858,871,0.9629751696431056,False
bdce,instcombine,0.012912170446173654,1.4687422880472276,0.14207597312754272,895,927,0.9299306761184165,False
bdce,simplifycfg,0.0018001879204185278,0.16591487020106616,0.8682436873359216,890,823,0.994818382563765,False
bdce,tailcallelim,0.007618559946935666,0.7271421911547773,0.4672401226061756,850,833,0.9768003638565478,False
bdce,reassociate,0.005426312681638901,0.5028967449779259,0.6151028770674023,848,849,0.9785454617612823,False
bdce,memcpyopt,0.0010332772673040669,0.09740606519403619,0.9224152876515663,860,861,0.9953004618087684,False
bdce,sccp,0.023862865570734526,2.278297769905095,0.02283287686126443,857,846,0.885282631571401,False
bdce,dce,0.011918755101230749,1.1217746932171888,0.26211772227693697,809,893,0.9629751696431056,False
bdce,adce,-0.015236783888239736,-1.406833586741984,0.15966406415061105,814,855,0.9416332458039048,False
bdce,dse,0.015402299188126134,1.5342285845339443,0.12515721461147447,875,850,0.9299306761184165,False
