pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.0002785099064882557,-0.1334436670109579,0.8938433614972038,15815,15834,0.9890394953464744,False
bdce,correlated-propagation,-0.0003911491635714137,-0.1871547613645443,0.8515404884634208,15973,15799,0.9890394953464744,False
bdce,mem2reg,-0.0036360072502764074,-2.2550236501313217,0.024138699749311054,15768,15689,0.6006553547677038,False
bdce,sroa,-0.003447592516949649,-2.091668788847111,0.03647611883266173,15729,15919,0.6936199239572308,False
bdce,instsimplify,-0.002689908809088759,-1.317881780571773,0.1875527104355445,15839,15993,0.9062318948261302,False
bdce,constmerge,0.00022411122700594088,0.10643611559865697,0.9152370134279675,15880,15831,0.9918619301376721,False
bdce,function-attrs,-0.00216365278255215,-1.017177812514267,0.30907665404488677,15810,15766,0.9391008612685399,False
bdce,deadargelim,-0.003089738793993657,-1.4800757047411106,0.13886295229587947,15855,15951,0.875095528169043,False
bdce,globaldce,-0.00038143271913737564,-0.1845600768400799,0.8535752871037209,15900,15719,0.9890394953464744,False
bdce,elim-avail-extern,-0.0008510975948188282,-0.40917057901428633,0.6824172358054694,16023,15832,0.9851260259868326,False
bdce,mergefunc,-0.0009027182764278496,-0.427553383214257,0.6689792517539505,15603,15888,0.9830104127086192,False
bdce,instcombine,0.002913329249897345,1.592927557300048,0.11118635108973506,15917,15992,0.8466198181042545,False
bdce,simplifycfg,0.001738853884118985,0.8445210383024608,0.39838468407414473,15880,15831,0.9533699543553993,False
bdce,tailcallelim,-0.0023609839409027833,-1.1612870862943807,0.2455338285604011,15997,16021,0.9192260732720179,False
bdce,reassociate,-0.0023316934287173074,-1.0990096330997705,0.27177228914996654,15731,15696,0.9332442778603133,False
bdce,memcpyopt,-0.00012048188981345076,-0.05665495267402586,0.9548204151318088,15854,15924,0.992079298379758,False
bdce,sccp,0.0008640905801151622,0.41298676811555374,0.6796190837699053,15977,15929,0.9851260259868326,False
bdce,dce,-0.002747892253391393,-1.31923956193028,0.18709858937258317,15748,15874,0.9062318948261302,False
bdce,adce,-0.00018019823293657922,-0.08659737123387219,0.9309921037224312,15765,15884,0.992079298379758,False
bdce,dse,0.0016935399983113442,0.834473951655169,0.4040202229365583,15808,16032,0.9533699543553993,False
bdce,jump-threading,-0.00046682631889799486,-0.22637792429920348,0.8209089547525341,15817,15907,0.9888097372236401,False
bdce,loop-idiom,-0.0015940253295353424,-0.7510709864963913,0.45261558233768934,15654,15649,0.9546492758139191,False
bdce,loop-deletion,0.0008280935928218214,0.4055401402879547,0.6850832135493823,15903,16375,0.9851260259868326,False
