source,target,ate_global,cate_crypto,cate_general,cate_loop_bench,cate_multimedia,cate_numeric,cate_pointer_data,cate_string_parse,cate_systems,cate_cluster_0,cate_cluster_1,cate_cluster_2,cate_cluster_3,cate_cluster_4,cate_cluster_5
attributor,bdce,0.0072073271523592,0.0048548041571157,-0.0058178389810427,0.0047591616834161,0.0129839819437078,0.0119769861078755,0.012230746229503,0.0089342922252429,0.0039245339256896,0.0089976574398633,0.0059666733790566,-0.0048381540157035,0.0157559535560802,0.0052439116522821,0.0068253393836489
mem2reg,gvn,0.0103099907314933,0.0025888998822467,0.0129243978614627,-0.0036115668345458,0.0253278473840216,0.0115563046661358,0.0046729761495368,0.015977687750649,0.0058486510377372,0.017715768848058,0.0087406799610677,0.0171631937317555,-0.0085864426513961,0.0072632209113873,0.0061170962026287
loop-unroll,mem2reg,0.0097697667040868,0.0280876125275323,0.020262774715818,0.0001752787093016,0.0200883999579257,0.0070404704844956,0.0054220379256934,0.0029962790580173,0.000677935428138,0.0128485594733512,0.0023928559009878,0.0302767920976833,0.0102848123654163,0.011959702571019,0.0004899181804531
mem2reg,licm,0.0119508337602344,0.0153095891190512,0.0084218000273455,0.0028611130102089,0.0074479956885274,0.0213115021982011,0.0037619757332968,0.0174293294919066,0.0107240751873753,0.0136814213867288,0.0100563084984468,0.0112448834007395,0.0232672814869836,0.0088040605571326,0.0128559709312529
loop-vectorize,mem2reg,0.0317260398771455,0.0073451293609834,0.0464941506473922,0.1051857733478975,0.0350641009042114,0.0905066417801983,0.0053934365954351,0.0026806712064448,0.0001576603782123,0.0665395001555743,0.0305292019173537,-0.0124451948824956,0.0059811547621299,0.0058288682861615,0.0055551797284604
mem2reg,iroutliner,0.0095031523010591,0.014488905989775,0.0019236165008871,0.0249188912249125,0.0184960015327959,0.0160554785115389,0.0106990154418678,0.0042691598694986,0.0006577531212773,0.0095548653749595,0.0092422147687489,0.0424002172333877,0.0102953147682773,0.0066115902394058,-0.0036432577780637
sroa,instcombine,0.0053538673850915,0.0102357302892697,0.0062333084031374,9.570151979720888e-06,0.0063391412526194,0.0046064112182789,-0.0011867660249221,0.00598319465685,0.0031163866856645,0.0033068710661371,0.0058873566925302,0.0089494129210253,0.0081122079557759,0.0029626001214678,0.0082869296027249
sroa,gvn,0.0092801211250737,0.0071730057573084,0.0217588735696758,-0.0035498042987634,0.0149770452407398,0.0158105289537131,0.0017531494124038,0.0112396873798124,0.0019377983561242,0.0135373535655809,0.008329616022617,0.0075840052223138,-0.0019143820097451,0.010658264346368,-0.0043831028558067
loop-unroll,sroa,0.0094087392879288,0.0259252136867763,0.0319357143926424,-0.0031468786418041,0.034292512497896,0.0063719886048441,0.0058703238627594,-0.0002717073068907,-0.0027266344131657,0.0132307575083479,-0.0010516693217479,0.0174190464697797,0.002668644179355,0.0169661095264838,-0.009125950874509
sroa,licm,0.0123529333346986,0.0059186075427213,0.0220652071834304,0.0028230455188986,0.0148139690826294,0.0171144135294711,0.0051763452237643,0.0183737772608006,0.0050854910509028,0.0192156990494802,0.013201987757212,-0.0010414253504177,0.0057814475968661,0.0077045144240923,0.0135322423935183
