level,n_causal,n_correlation,n_both,n_only_causal,n_only_correlation,false_correlation_rate
global,44,5124,39,5,5085,0.9923887587822015
class_crypto,6,1662,5,1,1657,0.9969915764139591
class_general,11,1617,6,5,1611,0.9962894248608535
class_loop_bench,18,373,4,14,369,0.9892761394101877
class_multimedia,19,1421,13,6,1408,0.9908515130190007
class_numeric,31,1739,21,10,1718,0.9879240943070731
class_pointer_data,7,556,3,4,553,0.9946043165467626
class_string_parse,12,1980,11,1,1969,0.9944444444444445
class_systems,12,2785,10,2,2775,0.9964093357271095
cluster_0,42,2254,33,9,2221,0.9853593611357586
cluster_1,23,1988,19,4,1969,0.9904426559356136
cluster_2,3,1554,2,1,1552,0.9987129987129987
cluster_3,4,810,4,0,806,0.9950617283950617
cluster_4,20,2571,19,1,2552,0.9926098794243485
cluster_5,1,1669,0,1,1669,1.0
