pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,mem2reg,0.10218978102189781,0.07052600066453271,1918,29.20474272360207,6.511961234452724e-08,2.642574113379986e-06,True,True
bdce,sroa,0.11318795430944964,0.07049074083212432,1926,53.324757218322894,2.8272091823487363e-13,7.63541459177769e-11,True,True
bdce,instcombine,0.09192483494159472,0.07055659283264379,1969,13.652938276435691,0.00021989694339593282,0.002561768940835938,True,True
bdce,gvn,0.08887706226716338,0.0705691752263625,1879,9.565558697588601,0.0019826185149191718,0.014916299912437035,True,True
bdce,gvn-sink,0.0864461045891142,0.07057681869767594,1874,7.167951185909065,0.0074217490064697085,0.04201456817250978,True,True
bdce,early-cse,0.09146033350176858,0.07055775352245902,1979,13.130499782172658,0.00029052726339825276,0.003218401028196769,True,True
bdce,slp-vectorizer,0.08762612851832183,0.07057292908824453,1883,8.316992642188879,0.003927589319382211,0.025750109816104125,True,True
bdce,loop-sink,0.08603292618162507,0.07057786345296975,1883,6.831186142075921,0.008957975756511952,0.047857343877900145,True,True
bdce,nary-reassociate,0.08996728462377317,0.07056724174794007,1834,10.484409289144246,0.0012038610217682555,0.009966849389523231,True,True
bdce,early-cse-memssa,0.09832522960561858,0.0705412548744846,1851,21.703125532599294,3.182722976178857e-06,7.508158538985785e-05,True,True
bdce,loop-simplifycfg,0.08877721943048576,0.07057211880810363,1791,9.016785143646745,0.002675114907746857,0.019063365829844,True,True
bdce,speculative-execution,0.08628318584070796,0.07057902561606168,1808,6.773071924552723,0.009254340977057325,0.04927260267322432,True,True
bdce,iroutliner,0.0866738894907909,0.07057685792196941,1846,7.265307037830174,0.007029924979291029,0.04042464936696574,True,True
bdce,global-merge,0.08626198083067092,0.07057728302954344,1878,7.017068657634518,0.008073629893701511,0.044218649879349814,True,True
ipsccp,mem2reg,0.09385113268608414,0.07055476061248993,1854,15.283094125189136,9.254104082879508e-05,0.0012474723438401431,True,True
ipsccp,sroa,0.09688195991091314,0.07054803081234336,1796,18.919255971395412,1.3636922220582103e-05,0.0002534069424385035,True,True
ipsccp,instcombine,0.08798283261802575,0.07057236842105263,1864,8.581919492051254,0.003395172770831612,0.02298270798716784,True,True
ipsccp,gvn,0.08992999461497038,0.07056662176586782,1857,10.575398640223245,0.001146025532366612,0.00960992716220054,True,True
ipsccp,newgvn,0.09467455621301775,0.0705520513811564,1859,16.430303757969273,5.047186765957904e-05,0.0007616486849900251,True,True
ipsccp,attributor,0.0861244019138756,0.07057763128245362,1881,6.905177742822389,0.008594648158092152,0.04650412938077637,True,True
ipsccp,early-cse-memssa,0.10596765197992192,0.0705213700373805,1793,34.22080363897419,4.9200169965210496e-09,3.095215335567116e-07,True,True
ipsccp,load-store-vectorizer,0.09552077711818673,0.07054971044931753,1853,17.549926100363926,2.7986165995037946e-05,0.0004556915843516366,True,True
correlated-propagation,mem2reg,0.09973045822102426,0.07053678481733,1855,24.012957937924416,9.568953816916382e-07,2.6388748695101794e-05,True,True
correlated-propagation,sroa,0.10509554140127389,0.07051876706470607,1884,34.210024918002176,4.947343504861312e-09,3.095215335567116e-07,True,True
correlated-propagation,instcombine,0.08776595744680851,0.07057258085739099,1880,8.440858091584083,0.0036688308932599193,0.024413155102813666,True,True
correlated-propagation,memcpyopt,0.09022556390977443,0.07056555735014029,1862,10.931159952507882,0.0009456027368768735,0.008219712136758794,True,True
correlated-propagation,dse,0.09312169312169312,0.07055564876129572,1890,14.617460679493785,0.00013168873984785846,0.0016674532058227442,True,True
correlated-propagation,jump-threading,0.09165302782324058,0.07056219173035586,1833,12.384829385630248,0.00043283618512259935,0.004374158712103482,True,True
correlated-propagation,gvn-hoist,0.08799565453557849,0.07057298819288087,1841,8.488232828699502,0.003574508384647845,0.0239687925244537,True,True
correlated-propagation,strip-dead-prototypes,0.0871191876002138,0.07057482569700638,1871,7.778335254245273,0.005287650152090369,0.03232855268631676,True,True
correlated-propagation,loop-unroll-and-jam,0.09254362771020624,0.07055740962180887,1891,13.883249630548884,0.00019452443096783364,0.002315372862218956,True,True
correlated-propagation,scalarizer,0.08796764408493428,0.07056915276877572,1978,9.092553353031157,0.0025665231141415138,0.018475192123121632,True,True
correlated-propagation,globalsplit,0.09090909090909091,0.07056356444437134,1859,11.68795828514239,0.0006290588914163755,0.005894183761855197,True,True
correlated-propagation,early-cse-memssa,0.09652509652509653,0.07054835860807729,1813,18.583233528272483,1.6264476718156204e-05,0.0002935100959829479,True,True
mem2reg,bdce,0.09907958852192746,0.07053914610940154,1847,22.851687030036913,1.7499566041675104e-06,4.4498896505973834e-05,True,True
