pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,correlated-propagation,0.038064028232921605,0.03002374365731953,3967,8.7724479402787,0.00305814739808674,0.011329900861785877,True,True
bdce,mem2reg,0.04914314516129032,0.02999007681281929,3968,49.79248559107621,1.708972294746122e-12,4.537176614390382e-11,True,True
bdce,sroa,0.052270997208830244,0.029981034547443875,3941,66.98067517660701,2.7418170410742907e-16,1.5906600789402848e-14,True,True
bdce,instsimplify,0.0381451009723261,0.030023223779067052,4011,9.05037607066994,0.002626407904412505,0.009889435916999393,True,True
bdce,deadargelim,0.03676289168517148,0.03002725225449425,4053,6.289576807589314,0.012145004622560731,0.03631908217025416,True,True
bdce,instcombine,0.03852002027369488,0.030022495241391244,3946,9.746859991390735,0.0017962928468388227,0.00709458677581526,True,True
bdce,simplifycfg,0.047266223811957074,0.029996493339642258,3914,39.93239172206484,2.6290694816653637e-10,4.143032631871857e-09,True,True
bdce,dce,0.04308160162189559,0.03000871326912976,3946,23.06868967131482,1.5631558668123856e-06,1.1749171544025531e-05,True,True
bdce,jump-threading,0.043456543456543456,0.03000698317605873,4004,24.775001818955115,6.442764074031604e-07,5.175356741314413e-06,True,True
bdce,gvn,0.03739262253663466,0.030025833778699308,3958,7.347692527250932,0.006714888626843902,0.022209040424595202,True,True
bdce,gvn-hoist,0.03750620963735718,0.03002510004027645,4026,7.707294316965791,0.005499812501577048,0.01874435661982221,True,True
bdce,gvn-sink,0.04169787765293383,0.03001236605040601,4005,18.70686897967792,1.5243238593270398e-05,9.42265545876036e-05,True,True
bdce,newgvn,0.04047259929612871,0.0300163396941246,3978,14.877487487160012,0.00011472398501532014,0.0006087522023306148,True,True
bdce,lower-expect,0.038210155857214684,0.030023230849097488,3978,9.120496982765516,0.0025276128517938046,0.009572661438708451,True,True
bdce,alignment-from-assumptions,0.03814382896015549,0.03002257474630212,4116,9.285125648293205,0.0023102207466192755,0.008834789495860432,True,True
bdce,float2int,0.03927787265186631,0.030019120898138525,4099,12.018621563247503,0.0005267164228862518,0.0024025876668870845,True,True
bdce,callsite-splitting,0.03650912728182046,0.030028307788432015,3999,5.745348437942074,0.016532375842009214,0.04686267375845681,True,True
bdce,loop-interchange,0.03821499013806706,0.030022726855056574,4056,9.310905333979516,0.002277938935028616,0.008746877511488284,True,True
bdce,loop-unroll-and-jam,0.0405709992486852,0.030015918750818334,3993,15.217016880644247,9.583593445747451e-05,0.0005169332222251655,True,True
bdce,globalsplit,0.04662062160828811,0.029996646109410344,4054,38.32131046008308,6.000378718331641e-10,8.850276105833035e-09,True,True
bdce,early-cse-memssa,0.04302382109868741,0.03000721349336772,4114,23.841127325527765,1.046230090749074e-06,8.049188674603878e-06,True,True
bdce,loop-predication,0.036799209681402816,0.03002716028396165,4049,6.351502913369573,0.011728189855014658,0.035261106696535434,True,True
bdce,load-store-vectorizer,0.044221105527638194,0.0300049003843739,3980,27.514515595707238,1.5591988621411155e-07,1.4183095805213956e-06,True,True
bdce,iroutliner,0.040697674418604654,0.03001583407603419,3956,15.440731252905653,8.513344206284392e-05,0.0004617486968394692,True,True
ipsccp,correlated-propagation,0.03775510204081633,0.03002496018620605,3920,8.01294905223139,0.004644404274819286,0.01623158156197441,True,True
ipsccp,mem2reg,0.05002513826043238,0.0299872437064613,3978,54.63627133765785,1.4503395699707061e-13,5.026132527438305e-12,True,True
ipsccp,sroa,0.05412960609911054,0.029975537205269263,3935,78.53291850632688,7.867620605145618e-19,6.287673936683722e-17,True,True
ipsccp,instsimplify,0.0382085020242915,0.030023398833733523,3952,9.057034045796337,0.002616861227141105,0.009863616158917782,True,True
ipsccp,globaldce,0.03780671006509765,0.030024364359734948,3994,8.27438793937095,0.004020821454903742,0.014367089174407016,True,True
ipsccp,instcombine,0.043243243243243246,0.030006968214222815,4070,24.389757422542147,7.86859375296264e-07,6.237533023603583e-06,True,True
ipsccp,simplifycfg,0.0492091388400703,0.029989655571099,3983,50.32736107319342,1.3012259184236457e-12,3.5509412519491266e-11,True,True
ipsccp,tailcallelim,0.037637088733798604,0.03002477817560345,4012,7.952335870127772,0.004802535120123229,0.016731963995020076,True,True
ipsccp,sccp,0.037248572138068044,0.03002588874348857,4027,7.185791172193316,0.0073483143350150685,0.02394009894835192,True,True
ipsccp,jump-threading,0.042081673306772906,0.030011087425267077,4016,20.01473614292761,7.684765970600938e-06,5.0365763248323474e-05,True,True
ipsccp,loop-idiom,0.036926889714993805,0.03002683839153423,4035,6.571149185238003,0.010364500612150308,0.03197115746134747,True,True
ipsccp,gvn-hoist,0.0366121552355382,0.03002749821387959,4097,6.075818733332094,0.013704476675379577,0.04022993302907528,True,True
ipsccp,gvn-sink,0.0425,0.030009954058192956,4000,21.34483725554737,3.836525302730174e-06,2.6614407591658744e-05,True,True
ipsccp,newgvn,0.041182415361293585,0.03001434869629001,3958,16.886923520745345,3.967396185634686e-05,0.0002269733157479245,True,True
ipsccp,early-cse,0.040253164556962026,0.030017227518088895,3950,14.15708106338842,0.0001681629810210555,0.0008585739682900306,True,True
ipsccp,strip-dead-prototypes,0.03824604141291108,0.030022321855891935,4105,9.495538781933371,0.0020597209152504246,0.008013777550045368,True,True
ipsccp,attributor,0.037065052950075644,0.03002678337623676,3966,6.720484665452273,0.009531172239493796,0.0297996570777307,True,True
ipsccp,float2int,0.036915297092288246,0.030027296149826386,3955,6.418782093440161,0.011291957595063629,0.034305124858238306,True,True
ipsccp,inline,0.03765478898155168,0.03002504511719752,3957,7.879615962373451,0.004999509587976757,0.017333403759643186,True,True
ipsccp,slp-vectorizer,0.04150099403578529,0.030012802685501112,4024,18.165949280242007,2.024666244654652e-05,0.00012254394148481635,True,True
ipsccp,dfa-jump-threading,0.03673163418290855,0.030027611068317105,4002,6.152508326436946,0.01312258562546357,0.03882479803935719,True,True
ipsccp,early-cse-memssa,0.04011170347804011,0.030017740365878776,3939,13.7288600087546,0.00021118430847094652,0.0010521599897865479,True,True
ipsccp,loop-predication,0.037092357480706994,0.030026424539982527,4017,6.860250692378693,0.008813418308090975,0.027844571274291453,True,True
correlated-propagation,mem2reg,0.049635036496350364,0.02998644602531607,4110,54.27162530038493,1.7460497609193703e-13,5.91994014178377e-12,True,True
correlated-propagation,sroa,0.05522535908865775,0.029970244157180685,4038,88.09619709548446,6.234737998476491e-21,6.782009445009427e-19,True,True
correlated-propagation,function-attrs,0.03728231542801079,0.0300255068637278,4077,7.343637368547412,0.006730052550388134,0.022249798047547432,True,True
correlated-propagation,instcombine,0.05134596211365902,0.02998266446552342,4012,62.63229153654024,2.491349901259157e-15,1.2119411445131501e-13,True,True
correlated-propagation,simplifycfg,0.04678650578675203,0.029996041162718933,4061,39.16002110479536,3.9045403134405336e-10,5.961907461201168e-09,True,True
correlated-propagation,tailcallelim,0.03784713688867043,0.03002379145605702,4069,8.518331597774013,0.003515866696375721,0.012748272206488262,True,True
correlated-propagation,dce,0.03890954151177199,0.030020712653095603,4035,10.905002616134116,0.0009590490411406276,0.004062716406185803,True,True
correlated-propagation,dse,0.037543510691198406,0.03002500807823715,4022,7.7768235492644315,0.005292076800082767,0.018146911338987843,True,True
correlated-propagation,jump-threading,0.04337957124842371,0.030007618478830964,3965,24.25209624867143,8.45150512154755e-07,6.659173854321972e-06,True,True
correlated-propagation,gvn-sink,0.04405737704918033,0.03000621700089427,3904,26.367616742152475,2.8223289069095146e-07,2.4210821466500896e-06,True,True
correlated-propagation,newgvn,0.04174000502891627,0.030012488294616557,3977,18.7102739698091,1.5216043472598925e-05,9.413274287313963e-05,True,True
correlated-propagation,early-cse,0.04352176088044022,0.03000684531876674,3998,24.978992238242075,5.795839172392353e-07,4.703939108619369e-06,True,True
correlated-propagation,indvars,0.03884711779448621,0.030021209638517315,3990,10.631629009332721,0.0011116974369517873,0.004636216361132268,True,True
correlated-propagation,partial-inliner,0.03657314629258517,0.030028146841366975,3992,5.849479276875661,0.015581661138410462,0.044728681787292765,True,True
correlated-propagation,attributor,0.03948013732221677,0.030018638172877095,4078,12.48665109991215,0.0004098702929985207,0.0019256773453895707,True,True
correlated-propagation,inline,0.03818497396479048,0.0300229638268042,4033,9.190016533895049,0.0024333869206298255,0.009251595321540192,True,True
correlated-propagation,sink,0.03780154190499876,0.030024219378718953,4021,8.319401683706047,0.0039223837742578625,0.014072517521649428,True,True
correlated-propagation,slp-vectorizer,0.038941587618572145,0.030020811734203987,4006,10.904832324598127,0.000959137210806633,0.004062716406185803,True,True
correlated-propagation,dfa-jump-threading,0.03649815043156597,0.030028063969003288,4055,5.806273942672196,0.01596909450725885,0.04553437401905966,True,True
correlated-propagation,loop-distribute,0.03685623627044179,0.03002673246022101,4097,6.536071505165846,0.01057085317623959,0.03246702826521901,True,True
correlated-propagation,loop-load-elim,0.03903756444880923,0.030020054719750798,4073,11.328389117175284,0.0007633108807024749,0.0033531676696232434,True,True
correlated-propagation,loop-sink,0.0387192851824274,0.030021340443241083,4029,10.426191484764493,0.0012424067881697852,0.005126728116409777,True,True
correlated-propagation,early-cse-memssa,0.041791044776119404,0.030011945052757318,4020,19.078682658993223,1.2543821108236898e-05,7.846901511159056e-05,True,True
correlated-propagation,simple-loop-unswitch,0.03775484520513466,0.030024647269926274,3973,8.12107566888704,0.004375359054167427,0.015401263870669344,True,True
correlated-propagation,loop-instsimplify,0.040683073832245106,0.030015665940285662,3982,15.499933305030838,8.25081650304434e-05,0.0004500027496646468,True,True
correlated-propagation,partially-inline-libcalls,0.03789004457652303,0.03002384449164677,4038,8.546502829266068,0.0034618667187619047,0.01258743739152425,True,True
correlated-propagation,load-store-vectorizer,0.039470397202098426,0.030019211376442673,4003,12.231000438112783,0.0004700198922947315,0.0021743625495879134,True,True
correlated-propagation,iroutliner,0.044050632911392405,0.03000574250602963,3950,26.653559531577013,2.434019631219292e-07,2.1181379724121664e-06,True,True
correlated-propagation,global-merge,0.036404160475482915,0.030028438806029577,4038,5.614578553499985,0.017811664132544997,0.049946635691404374,True,True
mem2reg,bdce,0.05192107995846314,0.029983585321112154,3852,63.41826135358221,1.6716115033068705e-15,8.446491157354458e-14,True,True
mem2reg,ipsccp,0.054355919583023084,0.029973100474665976,4029,81.9332612970339,1.4076039662821705e-19,1.267167156772639e-17,True,True
mem2reg,correlated-propagation,0.04595997034840623,0.02999878249829818,4047,35.265721828580816,2.8765057669554906e-09,3.699309222790706e-08,True,True
mem2reg,sroa,0.05012224938875306,0.029985221033608747,4090,56.72688375882511,5.007427515440552e-14,1.894597695697121e-12,True,True
mem2reg,instsimplify,0.0489281210592686,0.029990773601013754,3965,48.64048653185485,3.074561220047212e-12,7.742753529070663e-11,True,True
mem2reg,constmerge,0.049485546300832926,0.029987334579965972,4082,53.08112026782695,3.2005392156280614e-13,1.0231274749713869e-11,True,True
mem2reg,function-attrs,0.045701581027667984,0.02999957119404082,4048,34.13813697401756,5.13352440438916e-09,6.243130921611165e-08,True,True
mem2reg,deadargelim,0.04556589906908378,0.02999958649777398,4082,33.83155891155956,6.009604366535771e-09,7.142218725145397e-08,True,True
mem2reg,globaldce,0.04821648216482165,0.02999153862941111,4065,46.182357857852395,1.0774280077516536e-11,2.404107167154117e-10,True,True
mem2reg,elim-avail-extern,0.05252774352651048,0.029978291581957892,4055,70.52601341645875,4.542371203371602e-17,2.9160533823611793e-15,True,True
mem2reg,mergefunc,0.047630799605133264,0.02999353726182053,4052,43.11409545073568,5.163888543816019e-11,9.816401717273558e-10,True,True
mem2reg,instcombine,0.0701051577366049,0.02992558992837705,3994,220.5592937842382,6.829486392024915e-50,1.0697707484467828e-46,True,True
mem2reg,simplifycfg,0.07254901960784314,0.029915308747855918,4080,253.65569366583182,4.1446526200769623e-57,3.246091932044277e-53,True,True
mem2reg,tailcallelim,0.053034166241713414,0.029979067100127252,3922,71.31358996328515,3.047296553111124e-17,2.0055820675601954e-15,True,True
mem2reg,reassociate,0.05005030181086519,0.029987197785033046,3976,54.746377952204035,1.371317043954244e-13,4.8162130440581345e-12,True,True
mem2reg,memcpyopt,0.044585987261146494,0.030002649477225984,4082,29.693704797618963,5.0598870443314e-08,5.067651576880246e-07,True,True
mem2reg,sccp,0.046134663341645885,0.029998698305500043,4010,35.713771893563774,2.285426622828095e-09,3.0133773249140806e-08,True,True
mem2reg,dce,0.05309953074833292,0.029976622400074735,4049,74.04933838425221,7.618877026585764e-18,5.576733165628009e-16,True,True
mem2reg,adce,0.04957882069795427,0.029985947796254533,4155,54.55323496652152,1.5129339471458854e-13,5.219955363016112e-12,True,True
mem2reg,dse,0.044757354790042746,0.030003300095021296,3977,29.613572481536544,5.273439248198716e-08,5.261347285591381e-07,True,True
mem2reg,jump-threading,0.0721336370539104,0.029920776326156216,3951,240.83393317473914,2.587451144144526e-54,6.754972453646643e-51,True,True
mem2reg,loop-idiom,0.047238190452386905,0.02999542878669892,4001,40.689902977914336,1.784066463981921e-10,2.9603407936242382e-09,True,True
mem2reg,loop-deletion,0.04538539553752535,0.030001776340371315,3944,31.928414634168192,1.599600338792373e-08,1.7472900771857553e-07,True,True
mem2reg,gvn,0.05095075572891272,0.029982433543814295,4102,61.68703308985695,4.026230259971928e-15,1.9111172967333417e-13,True,True
mem2reg,gvn-hoist,0.04819277108433735,0.029991584560616815,4067,46.08462705242609,1.1325364223837805e-11,2.498598664819653e-10,True,True
mem2reg,gvn-sink,0.07012345679012345,0.029923810253072475,4050,223.86574763117517,1.2977708628222454e-50,2.5410353494059566e-47,True,True
mem2reg,newgvn,0.06084205402774397,0.029951198070895656,4109,134.1110499862417,5.1663429423927975e-31,1.9267999011819233e-28,True,True
mem2reg,early-cse,0.053790983606557374,0.0299771226617339,3904,75.73665900052303,3.241336897997723e-18,2.417728627154111e-16,True,True
mem2reg,mergereturn,0.045880611741489885,0.029998943294745724,4054,34.97541065008711,3.33895371084315e-09,4.197541807917102e-08,True,True
mem2reg,globalopt,0.050347222222222224,0.029985420776006765,4032,57.18038344555248,3.976174003005026e-14,1.5493231239569835e-12,True,True
mem2reg,strip-dead-prototypes,0.04786967418546366,0.029993644765354016,3990,43.61371963154615,4.0002477124030814e-11,7.774178680779388e-10,True,True
mem2reg,indvars,0.0464294726217512,0.02999838442555609,3963,36.599387254552,1.4507731419821794e-09,1.979521820209831e-08,True,True
mem2reg,mergeicmps,0.04875621890547264,0.029990505214474952,4020,48.42329735597974,3.434634288144307e-12,8.563575703156035e-11,True,True
mem2reg,separate-const-offset-from-gep,0.047511877969492376,0.02999461715572959,3999,41.9748269132159,9.245602105551123e-11,1.6457171747881e-09,True,True
mem2reg,libcalls-shrinkwrap,0.04346739945041219,0.030006960199755437,4003,24.808919049051195,6.330387742197819e-07,5.095539239146282e-06,True,True
mem2reg,flattencfg,0.048652694610778445,0.029990995350660646,4008,47.745474096458004,4.853032858667092e-12,1.1688779116726925e-10,True,True
mem2reg,loop-reduce,0.04017857142857143,0.03001681511338716,4032,14.24138473207958,0.00016079519490508974,0.0008247203447915278,True,True
mem2reg,loop-unroll,0.04256908140403286,0.03000957899145701,4017,21.67433745681864,3.230846956656991e-06,2.271453623387572e-05,True,True
mem2reg,loop-rotate,0.03910614525139665,0.03001953467500534,4117,11.626542275571586,0.0006501730720742705,0.002893270170730504,True,True
mem2reg,partial-inliner,0.05015274949083503,0.02998762702209373,3928,54.638898299596754,1.4484021787105587e-13,5.026132527438305e-12,True,True
mem2reg,lower-expect,0.04894578313253012,0.02999044422120403,3984,48.96576486663129,2.604693024092536e-12,6.732658668215426e-11,True,True
mem2reg,alignment-from-assumptions,0.049987565282268095,0.02998669963299563,4021,55.02112421134532,1.1924134538072185e-13,4.244991895553698e-12,True,True
mem2reg,rpo-function-attrs,0.04950248756218906,0.0299882080889447,4020,52.363567607790436,4.612011763041648e-13,1.4000494623310927e-11,True,True
mem2reg,attributor,0.05829249419654372,0.029964252983830774,3877,106.43407977276964,5.923033772507124e-25,1.0788186164250184e-22,True,True
mem2reg,inferattrs,0.045867059112092226,0.029998705896136298,4077,35.114267075830476,3.1091450677774694e-09,3.946648974203102e-08,True,True
mem2reg,called-value-propagation,0.04853888063397722,0.029990918571903318,4038,47.517202102606994,5.452338781596538e-12,1.297954934269425e-10,True,True
mem2reg,licm,0.051249034251867116,0.02998506259393301,3883,60.06200835960004,9.191550512892242e-15,4.0671312777950304e-13,True,True
mem2reg,loop-simplify,0.0511820619059225,0.029981690745901093,4103,63.07524958501158,1.98958496333179e-15,9.800270083531183e-14,True,True
mem2reg,div-rem-pairs,0.047340165934602246,0.029993828020785634,4098,42.175452783182244,8.344083442656855e-11,1.502318655698586e-09,True,True
mem2reg,float2int,0.045771144278606964,0.029999693716595967,4020,34.20325710632267,4.9645790735788685e-09,6.065925632491373e-08,True,True
mem2reg,inline,0.043728135932033986,0.030006171525530666,4002,25.775896607806946,3.8344730788938177e-07,3.1880672137894245e-06,True,True
mem2reg,sink,0.04531059683313033,0.030000114863752446,4105,32.91249098744255,9.640187213331166e-09,1.0961551251699999e-07,True,True
mem2reg,loop-vectorize,0.05038663008231479,0.029985658400402453,4009,57.0741634043489,4.1968310745780787e-14,1.6191911810884487e-12,True,True
mem2reg,slp-vectorizer,0.057072570725707254,0.02996397217319392,4065,102.17810682212725,5.074766709516737e-24,7.793249582144135e-22,True,True
mem2reg,callsite-splitting,0.048198757763975156,0.029992151457723156,4025,45.637343700711206,1.4230256827293839e-11,3.0451194391083427e-10,True,True
mem2reg,dfa-jump-threading,0.05008635578583765,0.02998590295011972,4053,56.011273475920376,7.2056654573495e-14,2.6371388720542652e-12,True,True
mem2reg,consthoist,0.0422360248447205,0.030010528532322594,4025,20.577629999335297,5.726132388667916e-06,3.839646307195815e-05,True,True
mem2reg,mldst-motion,0.050731707317073174,0.02998315338081017,4100,60.37137324595258,7.854702641980107e-15,3.515316062399326e-13,True,True
mem2reg,slsr,0.04663589992713141,0.029995795948029036,4117,38.99050091711756,4.2587270820443457e-10,6.451518473224626e-09,True,True
mem2reg,loop-interchange,0.04850934815563416,0.029992144203632044,3958,46.42429968650688,9.522720834428359e-12,2.1493357226294784e-10,True,True
