pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,mem2reg,0.1124031007751938,0.06972486268214993,774,21.625182679042386,3.3147109625464336e-06,4.6358600461899406e-05,True,True
bdce,sroa,0.14498644986449866,0.06963078131922328,738,64.29236869257545,1.0726038686467036e-15,2.3335093053447175e-13,True,True
bdce,elim-avail-extern,0.09387755102040816,0.06978872797943703,735,6.543274761858678,0.010528137303733946,0.049528785834516566,True,True
bdce,dce,0.10875706214689265,0.06974742156026946,708,16.531140493291165,4.7857603471321376e-05,0.000490603076423284,True,True
bdce,gvn,0.10256410256410256,0.06976656720908658,702,11.586601767034566,0.000664286912415782,0.00498820239505312,True,True
bdce,newgvn,0.09779614325068871,0.06977774434330516,726,8.744122648905249,0.0031060150386325105,0.018208315705516336,True,True
bdce,alignment-from-assumptions,0.10977242302543508,0.06973789252381371,747,18.367284586423,1.8215893261321367e-05,0.00020918896777517441,True,True
bdce,slp-vectorizer,0.12191582002902758,0.06971263335158016,689,28.81199923943275,7.975545746732455e-08,1.8701938409703171e-06,True,True
bdce,slsr,0.09620596205962059,0.06978124399194188,738,7.905845028253411,0.004927531773927081,0.02645128776792111,True,True
bdce,early-cse-memssa,0.10599721059972106,0.06975422407776566,717,14.45028582280591,0.00014390801601564643,0.0012910510669353298,True,True
bdce,load-store-vectorizer,0.14385474860335196,0.0696410959362097,716,60.505071517273244,7.338915652047045e-15,1.3685330330198205e-12,True,True
bdce,iroutliner,0.11559888579387187,0.06972526140704273,718,23.182382350187428,1.4734100569765282e-06,2.3176751498795538e-05,True,True
ipsccp,mem2reg,0.13770053475935828,0.0696504104458897,748,53.138892922657256,3.107777558568125e-13,3.7362630882606587e-11,True,True
ipsccp,sroa,0.12975098296199214,0.06967149730183876,763,42.24767167752109,8.041569311955656e-11,4.343556610430117e-09,True,True
ipsccp,loop-deletion,0.09933774834437085,0.06976948316579239,755,10.126024932839195,0.0014619034381566365,0.009653986279631347,True,True
ipsccp,gvn,0.0970464135021097,0.069781728370297,711,8.10943860674775,0.0044035362240868155,0.024154738029324156,True,True
ipsccp,newgvn,0.10128205128205128,0.06976005350723184,780,11.888225613017639,0.0005648991078565927,0.004347014899699552,True,True
ipsccp,early-cse,0.10690121786197564,0.06974809935593348,739,15.649640995971785,7.622705040446844e-05,0.0007416276506432258,True,True
ipsccp,globalopt,0.09495548961424333,0.06979183206170662,674,6.549298623383115,0.010492551263366203,0.04947481125507772,True,True
ipsccp,loop-simplify,0.09523809523809523,0.06978454851315487,735,7.305679347455761,0.006873700440382816,0.035003135142443575,True,True
ipsccp,slp-vectorizer,0.12567567567567567,0.06968987712112347,740,35.58402364065178,2.4428282964517474e-09,8.541174650808074e-08,True,True
ipsccp,irce,0.09766162310866575,0.06977803596728423,727,8.672071996355347,0.003231235946225398,0.018836392817267393,True,True
ipsccp,early-cse-memssa,0.09645390070921986,0.06978415762970393,705,7.694101068674526,0.005540159621455173,0.029278360428634898,True,True
ipsccp,load-store-vectorizer,0.10526315789473684,0.06975004179903026,760,14.703557690983628,0.0001258087974503942,0.0011457377925947528,True,True
ipsccp,unreachableblockelim,0.1,0.0697680250783699,750,10.51583416829279,0.0011835599254392296,0.008046563659756985,True,True
correlated-propagation,mem2reg,0.116991643454039,0.06972108223769444,718,24.61577268983217,6.997663152520865e-07,1.223341468985344e-05,True,True
correlated-propagation,sroa,0.1103448275862069,0.06973983909727301,725,18.339673367149334,1.848180222973366e-05,0.00021162203956619013,True,True
correlated-propagation,dce,0.09446693657219973,0.06978629853004485,741,6.92463264118962,0.008501645438536381,0.041667638970348524,True,True
correlated-propagation,early-cse,0.09646739130434782,0.06978066069279122,736,8.041617246193557,0.004571470525815791,0.024919385227753853,True,True
correlated-propagation,loop-rotate,0.09475032010243278,0.06978124647289723,781,7.468769321536179,0.006277845129017816,0.0325400946727118,True,True
correlated-propagation,float2int,0.09710144927536232,0.06978396222472943,690,7.901124605160692,0.004940407208306135,0.026465984442854754,True,True
correlated-propagation,slp-vectorizer,0.10899182561307902,0.06974246236406342,734,17.347614463308073,3.112887655763381e-05,0.0003376750155116177,True,True
correlated-propagation,loop-interchange,0.10309278350515463,0.06976821925363842,679,11.571163320914074,0.0006698249923381482,0.005005791354954558,True,True
correlated-propagation,hotcoldsplit,0.10441767068273092,0.06975461122744542,747,13.769217486662933,0.00020669540111137118,0.001782861653639052,True,True
correlated-propagation,early-cse-memssa,0.10038610038610038,0.06976335887435572,777,11.176596437400937,0.0008283558910681902,0.006007114202635245,True,True
correlated-propagation,load-store-vectorizer,0.11797752808988764,0.06971933402427201,712,25.441371884896768,4.560326250845357e-07,8.403876516851961e-06,True,True
correlated-propagation,iroutliner,0.13846153846153847,0.06965752136573541,715,51.93337996646373,5.741599257784742e-13,6.424029340995729e-11,True,True
correlated-propagation,break-crit-edges,0.09416445623342175,0.06978591073622965,754,6.874309704350515,0.008744352555872645,0.04269686360199162,True,True
mem2reg,bdce,0.10785619174434088,0.06974323821625168,751,16.735271427262198,4.29745742584769e-05,0.00044638841590502796,True,True
mem2reg,ipsccp,0.10978835978835978,0.06973633612546187,756,18.604125487140237,1.6087203733264028e-05,0.00018805220841630428,True,True
mem2reg,correlated-propagation,0.11313394018205461,0.06972340541150604,769,22.22959492530866,2.4191604112660197e-06,3.548101936523496e-05,True,True
mem2reg,sroa,0.13220815752461323,0.06967725219295497,711,42.655913805262266,6.526680874970844e-11,3.6706334426350428e-09,True,True
mem2reg,instsimplify,0.12952646239554316,0.06968346971355974,718,39.451049757076575,3.363868520365772e-10,1.5737059566655572e-08,True,True
mem2reg,constmerge,0.10679611650485436,0.0697512109295007,721,15.180788009747076,9.769230990549073e-05,0.0009263028706777281,True,True
mem2reg,function-attrs,0.10899182561307902,0.06974246236406342,734,17.347614463308073,3.112887655763381e-05,0.0003376750155116177,True,True
mem2reg,deadargelim,0.12056737588652482,0.069713115610439,705,27.97530987709895,1.2287324824481694e-07,2.6806219505665914e-06,True,True
mem2reg,globaldce,0.11590296495956873,0.06971971679107909,742,24.27933592961628,8.332822842276476e-07,1.4280671444356533e-05,True,True
mem2reg,elim-avail-extern,0.12175102599179206,0.06970397335216848,731,30.380406115793328,3.550969142017061e-08,9.148417868512376e-07,True,True
mem2reg,mergefunc,0.12055837563451777,0.06969550022574118,788,31.268602954032843,2.2468410525560953e-08,6.110159417923381e-07,True,True
mem2reg,instcombine,0.11032531824611033,0.06974295111014531,707,17.865765975619396,2.3704717724062496e-05,0.00026560135796116946,True,True
mem2reg,simplifycfg,0.13150684931506848,0.06967442638023989,730,42.81945359706658,6.003219354730711e-11,3.457109353358965e-09,True,True
mem2reg,tailcallelim,0.11559139784946236,0.06972029959541244,744,24.016600356140202,9.550868854605116e-07,1.598341984386053e-05,True,True
mem2reg,reassociate,0.10106382978723404,0.06976442854276733,752,11.301489800262562,0.000774449240529951,0.005679294430552973,True,True
mem2reg,memcpyopt,0.12411847672778561,0.0697017439017765,709,32.21328448076196,1.3814299364037276e-08,4.0220666401167266e-07,True,True
mem2reg,sccp,0.11907983761840325,0.06971048353053778,739,27.633043719142158,1.4665198143171418e-07,3.095898432811821e-06,True,True
mem2reg,dce,0.11901681759379043,0.06970367057230162,773,28.834512103948438,7.88337750081391e-08,1.8541325101013373e-06,True,True
mem2reg,adce,0.12064343163538874,0.06970416377573625,746,29.696202342691613,5.053372187632478e-08,1.2564447928107164e-06,True,True
mem2reg,dse,0.1076923076923077,0.06973915224479559,780,17.233970644194077,3.3047396452322574e-05,0.0003570030469166764,True,True
mem2reg,jump-threading,0.10800508259212198,0.06973701262055156,787,17.67787710540011,2.6165211745486804e-05,0.000289035174034771,True,True
mem2reg,loop-idiom,0.11296534017971759,0.06972213977869836,779,22.344461747722203,2.2786924486521065e-06,3.373670937210454e-05,True,True
mem2reg,loop-deletion,0.1172316384180791,0.06972234759206325,708,24.519748671902196,7.355208408975936e-07,1.2744688552898126e-05,True,True
mem2reg,gvn,0.13577023498694518,0.06965147094476537,766,51.36870371230869,7.654919892323458e-13,7.993777679556976e-11,True,True
mem2reg,gvn-hoist,0.1016949152542373,0.06976831653377463,708,11.07297262725315,0.0008759514068584274,0.006293992127078168,True,True
mem2reg,gvn-sink,0.1034965034965035,0.06976199928955011,715,12.4843996235029,0.0004103645771651809,0.003296384993187381,True,True
mem2reg,newgvn,0.12066574202496533,0.06970941871204744,721,28.72324485216498,8.349549878617882e-08,1.934724102051339e-06,True,True
mem2reg,early-cse,0.13593539703903096,0.06965731410157279,743,50.07152568865807,1.4824261723715328e-12,1.3988387689173306e-10,True,True
mem2reg,globalopt,0.10661268556005399,0.06974868239021312,741,15.448594092891181,8.477998658047832e-05,0.0008157209519635211,True,True
mem2reg,strip-dead-prototypes,0.11187845303867404,0.06973536836122303,724,19.728216683708133,8.927345947316137e-06,0.000111353776033506,True,True
mem2reg,indvars,0.1095360824742268,0.06973380597264489,776,18.857311514268215,1.4087009676776821e-05,0.000167673951046377,True,True
mem2reg,mergeicmps,0.11286089238845144,0.06972554527290815,762,21.74949665081497,3.1067136621648585e-06,4.415931288942862e-05,True,True
mem2reg,separate-const-offset-from-gep,0.12968299711815562,0.06968901740867342,694,38.32885832923104,5.977215078445284e-10,2.55811740406467e-08,True,True
