source,target,ate,p_adj
loop-vectorize,mem2reg,0.04649415064739221,0.0006984489499406148
loop-unroll,sroa,0.03193571439264248,0.034819163795429944
loop-vectorize,sroa,0.06523973484948092,1.530036871087193e-08
gvn,instcombine,0.03635171077465971,6.092837123175344e-06
gvn,dse,0.03565842295935656,1.1822835307938264e-05
loop-unroll,gvn,0.03734453664113552,0.0009169585220869367
gvn,attributor,0.05225219677181875,1.4422066928264944e-10
loop-vectorize,gvn,0.07279515446136262,8.369431047084165e-08
gvn-hoist,div-rem-pairs,0.02992130107592167,0.03668444356387151
loop-vectorize,licm,0.08848317845440073,2.007100489978635e-08
loop-versioning,loop-vectorize,0.05062860937899755,0.03146717090109483
