source,target,ate,p_adj
loop-vectorize,mem2reg,0.10518577334789753,6.744348664057916e-111
mem2reg,iroutliner,0.024918891224912587,1.016441764467992e-12
loop-vectorize,sroa,0.10592720983611426,6.744348664057916e-111
sroa,iroutliner,0.02771314511540679,6.403220923163585e-16
loop-vectorize,instcombine,0.03507150170852652,1.8626627901115418e-05
tailcallelim,gvn,0.0656723623612479,1.4081999096091608e-32
tailcallelim,newgvn,0.04187992086664666,3.4135672503506935e-13
reassociate,globalopt,0.02802858445016282,0.03742283414239989
gvn,attributor,0.017374930889475892,7.151439854424731e-05
inferattrs,gvn,0.02845583543998237,7.151439854424731e-05
loop-vectorize,gvn,0.09292593980550642,2.965108879100315e-43
iroutliner,gvn,0.03536229462767343,2.1030048056633924e-07
inferattrs,newgvn,0.03366448104719516,3.9216917366272193e-07
loop-vectorize,newgvn,0.034036097198978155,2.1194463684389977e-05
loop-vectorize,attributor,0.02110504588887996,0.0002014853724817403
loop-vectorize,licm,0.10004627888602746,3.3143611161320624e-32
scalarizer,loop-vectorize,0.05021550393518617,1.5868597813992587e-07
loop-versioning,loop-vectorize,0.030766720734740294,0.03967676170563628
