source,target,ate,p_adj
mem2reg,gvn,0.025327847384021662,7.628364647764197e-05
mem2reg,early-cse,0.019599429878962682,0.0008452525115962723
loop-vectorize,mem2reg,0.03506410090421147,7.628364647764197e-05
loop-unroll,sroa,0.034292512497896055,2.6270701604958814e-08
gvn,instcombine,0.04399971902086652,5.002444678384257e-21
newgvn,instcombine,0.019263556565298434,0.0010032813807258597
early-cse-memssa,instcombine,0.015565279708934066,0.03989631505216155
break-crit-edges,simplifycfg,0.02284634493341836,0.018556336921960938
gvn,dse,0.03408338025937513,9.490909334695203e-12
newgvn,dse,0.021807212217462346,7.628364647764197e-05
early-cse-memssa,dse,0.018083565984115924,0.006998262616255931
break-crit-edges,jump-threading,0.03039709070596941,0.00016268890684016773
loop-unroll,gvn,0.04186605640703389,9.490909334695203e-12
gvn,attributor,0.030120053511121403,5.5299784175269695e-08
licm,gvn,0.01673840325356496,0.048325059672305194
newgvn,attributor,0.015061192067051588,0.03492698718180893
global-merge,inferattrs,0.022384472746297013,0.04284941939505539
loop-vectorize,licm,0.034487995508594216,0.0033126504231962184
licm,early-cse-memssa,0.019168509273554124,0.03492698718180893
