source,target,ate,p_adj
mem2reg,ipsccp,0.014814676074698663,0.022296139399129
mem2reg,licm,0.02131150219820116,3.330032131823211e-05
loop-vectorize,mem2reg,0.09050664178019835,9.348500859049308e-63
mem2reg,iroutliner,0.016055478511538934,0.005658414076385139
sroa,gvn,0.0158105289537131,0.0031588910620556025
sroa,licm,0.01711441352947113,0.003290155636061076
loop-vectorize,sroa,0.08139116317260425,3.5511811587965555e-51
gvn,instcombine,0.04936507264412349,1.539587976251457e-34
newgvn,instcombine,0.035742688880846585,9.993007841643538e-17
loop-vectorize,instcombine,0.02340373927453593,0.002662393594497798
early-cse-memssa,instcombine,0.026949506533844314,5.975653664480292e-09
gvn,dse,0.04689247705338273,1.9753401468609804e-26
newgvn,dse,0.030838912247310668,5.59617549216924e-12
licm,dse,0.019822126611536872,0.04529711780033321
early-cse-memssa,dse,0.034997509988665854,4.585649465559109e-18
jump-threading,loop-versioning,0.019512249371940404,0.04529711780033321
loop-reduce,gvn,0.01661265706399362,0.03794310471749893
loop-unroll,gvn,0.04509315434685107,1.8156766694845385e-18
gvn,attributor,0.05132045618924291,2.9022361434628227e-34
licm,gvn,0.03917688987304374,1.0594259348926723e-12
loop-vectorize,gvn,0.052126289581419016,5.878740256275677e-20
early-cse-memssa,gvn,0.017881192166362914,0.009345990300174876
newgvn,attributor,0.014828466369470938,0.017354519432703164
licm,newgvn,0.028443006300845897,7.56326744558457e-06
loop-vectorize,newgvn,0.027511328055407347,1.2513980556362405e-05
licm,early-cse,0.023521437420344182,0.002315205895289296
loop-versioning,loop-rotate,0.03615229695321465,7.384368444013856e-07
loop-vectorize,licm,0.09110227214366498,2.4738314616484295e-35
licm,early-cse-memssa,0.026000052123708206,0.00011997820617822748
loop-vectorize,early-cse-memssa,0.020060976599972802,0.005658414076385139
loop-simplifycfg,loop-unroll-and-jam,0.01984397068582716,0.03794310471749893
