source,target,ate,p_adj
mem2reg,gvn,0.015977687750649006,0.048366986867380314
mem2reg,licm,0.017429329491906675,0.021297206692187473
sroa,licm,0.018373777260800694,0.0040286392376004
gvn,instcombine,0.044107444814004526,2.6825288629339602e-20
newgvn,instcombine,0.019997043660102687,0.0010099218740685075
break-crit-edges,simplifycfg,0.031997001188151075,1.2305059340254384e-06
gvn,dse,0.02783365740321153,4.864668305216354e-07
licm,dse,0.03344727569810596,7.933020153421357e-08
early-cse-memssa,dse,0.026358457821763714,1.0334357984634382e-06
break-crit-edges,jump-threading,0.03926966340790655,6.739072212640472e-11
gvn,attributor,0.03535942307433332,5.112593267835698e-12
licm,gvn,0.027738704792689584,5.688952912767336e-06
