source,target,ate,p_adj
ipsccp,loop-interchange,0.015287232956906815,0.022863815394169672
gvn,instcombine,0.03723029614094836,3.4080222788083437e-29
newgvn,instcombine,0.024440111714439494,2.3944999565367945e-11
early-cse-memssa,instcombine,0.01631924614427188,4.459181510100912e-05
break-crit-edges,simplifycfg,0.02941505075576417,3.409441129239121e-12
gvn,dse,0.04049409878143606,1.0076560247249807e-34
newgvn,dse,0.03203732406953008,1.1876201048732662e-20
early-cse-memssa,dse,0.02134466661536394,8.365271493208754e-09
break-crit-edges,jump-threading,0.03441525304990162,1.5372516278679908e-16
gvn,attributor,0.03997590181732874,4.5442294761844077e-32
licm,gvn,0.01330985081175362,0.024696429020270232
early-cse-memssa,attributor,0.01467335786569729,0.002287904408999587
