source,target,ate,p_adj
mem2reg,early-cse,0.010872652840404617,0.005463757551135423
loop-unroll,mem2reg,0.011959702571019026,0.030802745329510405
sroa,gvn,0.010658264346368074,0.0035590109098370725
loop-unroll,sroa,0.016966109526483864,1.0408981716223889e-05
gvn,instcombine,0.03863005278860243,1.4479186080754015e-43
newgvn,instcombine,0.020767744886587725,6.9187315167474894e-15
early-cse-memssa,instcombine,0.016919245148469486,3.3368540445742014e-08
break-crit-edges,simplifycfg,0.015665599114296602,0.005315479987878814
gvn,dse,0.030099585194237666,6.2084861880588585e-28
newgvn,dse,0.02412611142078469,4.928420157015813e-18
early-cse-memssa,dse,0.02180975763976506,3.586619019983823e-16
break-crit-edges,jump-threading,0.026342703658434774,1.0753278283401857e-09
loop-unroll,gvn,0.020317698930489958,1.067931093957933e-07
gvn,attributor,0.032488741432577906,3.4079316747628427e-28
licm,gvn,0.014196235846172023,0.00036566939508639583
early-cse-memssa,gvn,0.011486947601756947,0.008400371586764642
newgvn,attributor,0.014603596787099993,1.0408981716223889e-05
early-cse-memssa,attributor,0.011695082460223438,0.0032174631290475737
licm,early-cse-memssa,0.013469907986421614,0.0006140105025582982
loop-reroll,loop-vectorize,0.01493030588847144,0.014925816728469432
