source,target,ate,p_adj
attributor,bdce,0.0072073271523592775,0.017973864672972406
mem2reg,gvn,0.010309990731493357,1.8088058839840398e-08
loop-unroll,mem2reg,0.009769766704086857,5.651999535151271e-06
mem2reg,licm,0.011950833760234425,2.5403516372725304e-11
loop-vectorize,mem2reg,0.03172603987714556,1.2521536991782881e-56
mem2reg,iroutliner,0.009503152301059192,6.509122454500327e-07
sroa,instcombine,0.005353867385091526,0.04033359603685196
sroa,gvn,0.00928012112507376,6.896911593705944e-07
loop-unroll,sroa,0.009408739287928847,1.4193801466907993e-05
sroa,licm,0.012352933334698668,4.144579037892112e-12
loop-vectorize,sroa,0.03124466750452254,4.82681810561388e-49
sroa,iroutliner,0.009267506936992354,3.32100073606182e-06
gvn,instcombine,0.03995304148719031,1.5804860959621727e-120
newgvn,instcombine,0.023131176258528396,9.969274948637834e-42
attributor,instcombine,0.007589555919742641,0.0019027484644772064
licm,instcombine,0.006943437945549247,0.04423177052018729
loop-vectorize,instcombine,0.009644584386776955,0.0001755693105538197
early-cse-memssa,instcombine,0.01766674857016365,1.0807215630318657e-23
break-crit-edges,simplifycfg,0.020692990372095987,3.933245646388452e-21
gvn,dse,0.03610799376976487,7.344042739155009e-98
newgvn,dse,0.02380394015839138,2.5983824981725592e-42
licm,dse,0.0179435121624828,1.9602918236407605e-14
early-cse-memssa,dse,0.021291661841978116,1.7003503047660885e-34
break-crit-edges,jump-threading,0.025540000670261076,6.774591182020397e-32
loop-interchange,loop-deletion,0.0072743169995836965,0.04215446613856382
loop-reduce,gvn,0.010530444058719668,8.293000189645962e-07
loop-unroll,gvn,0.02082564393056069,4.6163426994321385e-25
gvn,attributor,0.03910996893276475,5.117125215458706e-110
licm,gvn,0.02002444666823866,8.362600943586573e-24
loop-vectorize,gvn,0.029220855822062464,5.491056466802789e-41
early-cse-memssa,gvn,0.010559015819213646,7.926651424054552e-07
newgvn,attributor,0.012619029757647171,4.144579037892112e-12
licm,newgvn,0.01354439796293605,4.5811487587203286e-10
loop-vectorize,newgvn,0.01057883727589648,2.8250174036139436e-06
licm,early-cse,0.008035770995974634,0.0133657399686623
loop-reduce,licm,0.008291002664832903,0.01709548838967111
loop-versioning,loop-rotate,0.011391401120228128,4.313121430592678e-05
break-crit-edges,loop-rotate,0.008751975260247569,0.007002498865549413
early-cse-memssa,attributor,0.01332649241112216,1.0875967205060847e-12
loop-vectorize,licm,0.041553030507902045,7.954183319353762e-54
licm,early-cse-memssa,0.015311520632099507,2.8819003901517464e-13
licm,simple-loop-unswitch,0.00889283235348709,0.007074477854151803
loop-versioning,loop-vectorize,0.011587818928182336,0.0006230317805240492
loop-reroll,loop-vectorize,0.009381929343887097,0.003849272189833363
